,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
270,Charles City County Elementary,2010-2011,SCH,19.0,Charles City County ,80.0,01,3.0,M,Y,N,N,SLI,10
271,Charles City County High,2010-2011,SCH,19.0,Charles City County ,100.0,09,5.0,M,Y,N,N,SLD,11
272,Charles City County Middle,2010-2011,SCH,19.0,Charles City County ,110.0,07,3.0,M,Y,N,Y,SLD,10
273,Charles M. Johnson Elementary,2010-2011,SCH,43.0,Henrico County ,530.0,01,3.0,M,Y,N,N,SLI,13
274,Charlottesville High,2010-2011,SCH,104.0,Charlottesville City ,140.0,09,3.0,M,Y,N,Y,SLD,15
275,Chase City Elementary,2010-2011,SCH,58.0,Mecklenburg County ,910.0,01,3.0,M,Y,N,Y,SLI,11
276,Chatham Elementary,2010-2011,SCH,71.0,Pittsylvania County ,640.0,01,5.0,M,Y,N,Y,SLI,12
277,Chatham High,2010-2011,SCH,71.0,Pittsylvania County ,1720.0,09,3.0,M,Y,N,Y,OHI,10
278,Chatham Middle,2010-2011,SCH,71.0,Pittsylvania County ,1660.0,06,3.0,M,Y,N,Y,SLD,11
279,Check Elementary,2010-2011,SCH,31.0,Floyd County ,90.0,07,5.0,F,Y,N,N,SLD,10
280,Cherry Run Elementary,2010-2011,SCH,29.0,Fairfax County ,480.0,06,5.0,M,Y,N,N,SLI,10
281,Chesterbrook Elementary,2010-2011,SCH,29.0,Fairfax County ,100.0,04,5.0,M,Y,N,N,OHI,10
282,Chesterfield Academy Elementary,2010-2011,SCH,118.0,Norfolk City ,220.0,,3.0,M,Y,N,Y,SLI,12
283,Chickahominy Middle,2010-2011,SCH,42.0,Hanover County ,61.0,06,5.0,F,Y,N,N,OHI,16
284,Chilhowie Elementary,2010-2011,SCH,86.0,Smyth County ,730.0,01,5.0,M,Y,N,Y,SLI,10
285,Chilhowie High,2010-2011,SCH,86.0,Smyth County ,460.0,09,5.0,M,Y,N,Y,SLD,10
286,Chilhowie Middle,2010-2011,SCH,86.0,Smyth County ,851.0,06,5.0,M,Y,N,Y,SLD,14
287,Chimborazo Elementary,2010-2011,SCH,123.0,Richmond City ,830.0,02,3.0,M,Y,N,Y,OHI,12
288,Chincoteague Elementary,2010-2011,SCH,1.0,Accomack County ,80.0,04,3.0,M,Y,N,Y,SLI,11
289,Chincoteague High,2010-2011,SCH,1.0,Accomack County ,580.0,,5.0,M,Y,N,N,SLD,11
290,Christiansburg Elementary,2010-2011,SCH,60.0,Montgomery County ,740.0,05,5.0,M,Y,N,Y,OHI,10
291,Christiansburg High,2010-2011,SCH,60.0,Montgomery County ,770.0,09,5.0,M,Y,N,Y,OHI,15
292,Christiansburg Middle,2010-2011,SCH,60.0,Montgomery County ,671.0,06,5.0,M,Y,N,Y,OHI,12
293,Christiansburg Primary,2010-2011,SCH,60.0,Montgomery County ,780.0,01,5.0,M,Y,N,Y,SLI,11
294,Christopher C. Kraft Elementary ,2010-2011,SCH,112.0,Hampton City ,420.0,03,3.0,M,Y,N,N,EMN,10
295,Christopher Farms Elementary,2010-2011,SCH,128.0,Virginia Beach City ,990.0,02,5.0,F,Y,N,N,SLD,11
296,Churchill Road Elementary,2010-2011,SCH,29.0,Fairfax County ,1050.0,04,5.0,M,Y,N,N,DD,10
297,Churchland Academy Elementary,2010-2011,SCH,121.0,Portsmouth City ,321.0,02,3.0,M,Y,N,Y,SLD,11
298,Churchland Elementary,2010-2011,SCH,121.0,Portsmouth City ,650.0,01,3.0,M,Y,N,Y,SLI,11
299,Churchland High,2010-2011,SCH,121.0,Portsmouth City ,500.0,09,3.0,F,Y,N,Y,SLD,10
300,Churchland Middle,2010-2011,SCH,121.0,Portsmouth City ,320.0,07,3.0,F,Y,N,Y,SLD,13
301,Churchland Preschool Center,2010-2011,SCH,121.0,Portsmouth City ,322.0,PS,3.0,M,Y,N,Y,DD,11
302,Churchland Primary & Intermediate,2010-2011,SCH,121.0,Portsmouth City ,160.0,02,3.0,M,Y,N,Y,SLD,10
303,Churchville Elementary,2010-2011,SCH,8.0,Augusta County ,140.0,,5.0,M,Y,N,N,SLI,13
304,Clara Byrd Baker Elementary,2010-2011,SCH,131.0,Williamsburg-James City County ,40.0,01,5.0,M,Y,N,N,SLI,10
305,Claremont Immersion,2010-2011,SCH,7.0,Arlington County ,622.0,01,4.0,M,Y,Y,Y,SLI,11
306,Clark Elementary,2010-2011,SCH,104.0,Charlottesville City ,50.0,PS,3.0,M,Y,N,N,SLI,12
307,Clark Springs Elementary,2010-2011,SCH,123.0,Richmond City ,810.0,02,3.0,M,Y,N,Y,SLI,10
308,Clarke County High,2010-2011,SCH,22.0,Clarke County ,10.0,09,5.0,M,Y,N,N,SLD,11
309,Clarksville Elementary,2010-2011,SCH,58.0,Mecklenburg County ,1000.0,PS,3.0,M,Y,N,Y,DD,10
310,Claude Thompson Elementary,2010-2011,SCH,30.0,Fauquier County ,120.0,,,M,Y,N,,,11
311,Clays Mill Elementary,2010-2011,SCH,41.0,Halifax County ,1560.0,01,5.0,M,Y,N,Y,DD,10
312,Clearbrook Elementary,2010-2011,SCH,80.0,Roanoke County ,330.0,04,5.0,F,Y,N,N,SLI,10
313,Clearview Early Childhood Center,2010-2011,SCH,116.0,Martinsville City ,224.0,PS,,M,Y,N,Y,DD,10
314,Clearview Elementary,2010-2011,SCH,29.0,Fairfax County ,260.0,03,4.0,M,Y,Y,Y,DD,10
315,Clermont Elementary,2010-2011,SCH,29.0,Fairfax County ,1870.0,PS,4.0,M,Y,N,N,SLI,10
316,Cleveland Elementary,2010-2011,SCH,83.0,Russell County ,880.0,,5.0,M,Y,N,Y,SLI,11
317,Clifton Elementary,2010-2011,SCH,29.0,Fairfax County ,270.0,02,5.0,F,Y,N,N,SLD,10
318,Clifton Middle,2010-2011,SCH,3.0,Alleghany County ,1040.0,06,5.0,M,Y,N,Y,OHI,11
319,Clinchco Elementary,2010-2011,SCH,26.0,Dickenson County ,40.0,,5.0,M,Y,N,Y,SLD,19
320,Clintwood Elementary,2010-2011,SCH,26.0,Dickenson County ,20.0,01,5.0,F,Y,N,Y,SLD,10
321,Clintwood High,2010-2011,SCH,26.0,Dickenson County ,271.0,09,5.0,M,Y,N,N,SLD,12
322,Clover Hill Elementary,2010-2011,SCH,21.0,Chesterfield County ,150.0,02,5.0,M,Y,N,N,SLI,14
323,Clover Hill High,2010-2011,SCH,21.0,Chesterfield County ,740.0,09,3.0,M,Y,N,N,OHI,10
324,Cloverdale Elementary,2010-2011,SCH,12.0,Botetourt County ,390.0,,5.0,M,Y,N,N,OHI,11
325,Cluster Springs Early Learning Center,2010-2011,SCH,41.0,Halifax County ,1501.0,PS,5.0,M,Y,N,,DD,10
326,Cluster Springs Elementary,2010-2011,SCH,41.0,Halifax County ,20.0,01,5.0,M,Y,N,Y,SLI,10
327,Coates Elementary,2010-2011,SCH,29.0,Fairfax County ,2347.0,02,2.0,M,Y,N,N,SLD,12
328,Coeburn High,2010-2011,SCH,96.0,Wise County ,652.0,10,5.0,M,Y,N,Y,SLD,11
329,Coeburn Middle,2010-2011,SCH,96.0,Wise County ,651.0,05,5.0,M,Y,N,Y,SLD,11
330,Coeburn Primary,2010-2011,SCH,96.0,Wise County ,653.0,01,5.0,M,Y,N,Y,SLI,11
331,Cold Harbor Elementary,2010-2011,SCH,42.0,Hanover County ,70.0,02,5.0,M,Y,N,N,SLD,11
332,Coleman Place Elementary,2010-2011,SCH,118.0,Norfolk City ,550.0,01,3.0,M,Y,N,Y,SLD,10
333,Coles Elementary,2010-2011,SCH,75.0,Prince William County ,660.0,01,4.0,M,Y,Y,Y,SLI,11
334,College Park Elementary,2010-2011,SCH,128.0,Virginia Beach City ,720.0,02,3.0,F,Y,N,Y,SLI,10
335,Collinsville Primary,2010-2011,SCH,44.0,Henry County ,662.0,01,5.0,M,Y,N,Y,SLI,11
336,Colonial Beach Elementary,2010-2011,SCH,202.0,Colonial Beach ,22.0,01,3.0,M,Y,N,Y,SLD,10
337,Colonial Beach High,2010-2011,SCH,202.0,Colonial Beach ,21.0,,5.0,M,Y,N,Y,SLD,13
338,Colonial Elementary,2010-2011,SCH,12.0,Botetourt County ,400.0,01,5.0,M,Y,N,N,SLD,10
339,Colonial Forge High,2010-2011,SCH,89.0,Stafford County ,424.0,09,3.0,M,Y,N,N,SLD,12
340,Colonial Heights High,2010-2011,SCH,106.0,Colonial Heights City ,40.0,09,5.0,F,Y,N,N,SLD,10
341,Colonial Heights Middle,2010-2011,SCH,106.0,Colonial Heights City ,20.0,06,5.0,F,Y,N,N,SLD,12
342,Colonial Trail Elementary,2010-2011,SCH,43.0,Henrico County ,93.0,01,5.0,M,Y,N,N,SLI,10
343,Columbia District Elementary,2010-2011,SCH,32.0,Fluvanna County ,270.0,,,M,Y,N,N,SLI,13
344,Columbia Elementary,2010-2011,SCH,29.0,Fairfax County ,1510.0,02,3.0,M,Y,N,N,DD,10
345,Colvin Run Elementary,2010-2011,SCH,29.0,Fairfax County ,2234.0,01,5.0,M,Y,N,N,SLI,12
346,Concord Elementary,2010-2011,SCH,16.0,Campbell County ,130.0,05,5.0,M,Y,N,Y,SLD,13
347,Conway Elementary,2010-2011,SCH,89.0,Stafford County ,431.0,01,5.0,M,Y,N,N,DD,10
348,Cool Spring Elementary,2010-2011,SCH,42.0,Hanover County ,551.0,01,5.0,M,Y,N,N,SLI,11
349,Cool Spring Primary,2010-2011,SCH,50.0,King William County ,190.0,01,5.0,M,Y,N,Y,SLI,10
350,Cooper Middle,2010-2011,SCH,29.0,Fairfax County ,1190.0,07,5.0,M,Y,N,N,SLD,19
351,Cople Elementary,2010-2011,SCH,95.0,Westmoreland County ,210.0,,3.0,M,Y,N,Y,DD,17
352,Copper Creek Elementary,2010-2011,SCH,83.0,Russell County ,820.0,KG,5.0,M,Y,N,N,SLI,13
353,Cora Kelly Magnet Elementary,2010-2011,SCH,101.0,Alexandria City ,160.0,02,3.0,M,Y,N,Y,SLD,11
354,Corporate Landing Elementary,2010-2011,SCH,128.0,Virginia Beach City ,1041.0,01,5.0,M,Y,N,N,SLI,14
355,Corporate Landing Middle,2010-2011,SCH,128.0,Virginia Beach City ,980.0,06,3.0,M,Y,N,N,SLD,15
356,Cosby High,2010-2011,SCH,21.0,Chesterfield County ,840.0,09,3.0,F,Y,N,N,SLD,10
357,Cougar Elementary,2010-2011,SCH,144.0,Manassas Park City ,522.0,01,4.0,F,Y,Y,Y,SLI,10
358,Council Elementary/Middle,2010-2011,SCH,14.0,Buchanan County ,90.0,06,5.0,F,Y,N,Y,SLD,10
359,Council High,2010-2011,SCH,14.0,Buchanan County ,1000.0,,5.0,F,Y,N,Y,SLD,10
360,Countryside Elementary,2010-2011,SCH,53.0,Loudoun County ,890.0,01,5.0,M,Y,N,N,SLI,10
361,Courthouse Road Elementary,2010-2011,SCH,88.0,Spotsylvania County ,501.0,01,5.0,M,Y,N,Y,SLI,11
362,Courtland Elementary,2010-2011,SCH,88.0,Spotsylvania County ,22.0,03,5.0,F,Y,N,N,SLI,12
363,Courtland High,2010-2011,SCH,88.0,Spotsylvania County ,20.0,09,5.0,M,Y,N,N,SLD,10
364,Coventry Elementary,2010-2011,SCH,98.0,York County ,90.0,01,5.0,F,Y,N,N,SLI,13
365,Covington High,2010-2011,SCH,107.0,Covington City ,350.0,08,5.0,M,Y,N,N,OHI,11
366,Cradock Middle,2010-2011,SCH,121.0,Portsmouth City ,1130.0,07,3.0,F,Y,N,Y,SLD,10
367,Craig County High,2010-2011,SCH,23.0,Craig County ,11.0,09,5.0,F,Y,N,N,SLD,10
368,Craigsville Elementary,2010-2011,SCH,8.0,Augusta County ,370.0,,5.0,F,Y,N,Y,SLI,10
369,Creeds Elementary,2010-2011,SCH,128.0,Virginia Beach City ,230.0,03,5.0,M,Y,N,N,SLD,11
370,Creekside Elementary,2010-2011,SCH,127.0,Suffolk City ,440.0,01,3.0,M,Y,N,Y,SLD,11
371,Creighton's Corner Elementary,2010-2011,SCH,53.0,Loudoun County ,540.0,01,2.0,M,Y,N,N,SLI,10
372,Crestview Elementary,2010-2011,SCH,43.0,Henrico County ,400.0,03,5.0,M,Y,N,Y,DD,10
373,Crestwood Elementary,2010-2011,SCH,21.0,Chesterfield County ,560.0,02,3.0,M,Y,N,Y,SLI,12
374,Crestwood Intermediate,2010-2011,SCH,136.0,Chesapeake City ,700.0,03,3.0,M,Y,N,Y,SLI,10
375,Crestwood Middle,2010-2011,SCH,136.0,Chesapeake City ,560.0,06,3.0,M,Y,N,N,SLD,11
376,Crewe Primary,2010-2011,SCH,67.0,Nottoway County ,330.0,02,3.0,M,Y,N,Y,SLI,10
377,Crittenden Middle,2010-2011,SCH,117.0,Newport News City ,1393.0,06,3.0,M,Y,N,Y,SLD,12
378,Critzer Elementary,2010-2011,SCH,77.0,Pulaski County ,20.0,01,5.0,M,Y,N,Y,SLD,12
379,Crossfield Elementary,2010-2011,SCH,29.0,Fairfax County ,2020.0,02,5.0,M,Y,N,N,SLD,10
380,Crossroads Elementary,2010-2011,SCH,118.0,Norfolk City ,560.0,01,3.0,M,Y,N,Y,DD,13
381,Crozet Elementary,2010-2011,SCH,2.0,Albemarle County ,340.0,,5.0,M,Y,N,N,SLD,12
382,Crystal Spring Elementary,2010-2011,SCH,124.0,Roanoke City ,20.0,,5.0,F,Y,N,N,SLI,11
383,Cub Run Elementary,2010-2011,SCH,29.0,Fairfax County ,1600.0,05,4.0,M,Y,N,N,DD,10
384,Culpeper County High,2010-2011,SCH,24.0,Culpeper County ,480.0,09,5.0,M,Y,N,Y,SLD,11
385,Culpeper Middle,2010-2011,SCH,24.0,Culpeper County ,20.0,06,5.0,M,Y,N,N,SLD,10
386,Cumberland Elementary,2010-2011,SCH,25.0,Cumberland County ,140.0,02,5.0,M,Y,N,Y,SLI,10
387,Cumberland High,2010-2011,SCH,25.0,Cumberland County ,151.0,09,3.0,M,Y,N,Y,SLD,10
388,Cumberland Middle,2010-2011,SCH,25.0,Cumberland County ,152.0,06,3.0,M,Y,N,Y,OHI,12
389,Cunningham District Elementary,2010-2011,SCH,32.0,Fluvanna County ,290.0,01,5.0,M,Y,N,Y,SLI,10
390,Cunningham Park Elementary,2010-2011,SCH,29.0,Fairfax County ,1700.0,02,4.0,M,Y,Y,Y,SLD,10
391,D.G. Cooley Elementary,2010-2011,SCH,22.0,Clarke County ,290.0,PS,5.0,M,Y,N,N,SLI,10
392,D.J. Montague Elementary,2010-2011,SCH,131.0,Williamsburg-James City County ,80.0,01,3.0,M,Y,N,N,SLI,10
393,Dac Center,2010-2011,SCH,121.0,Portsmouth City ,220.0,PS,3.0,M,Y,N,Y,DD,19
394,Dale City Elementary,2010-2011,SCH,75.0,Prince William County ,610.0,01,4.0,M,Y,N,Y,SLI,10
395,Damascus Middle,2010-2011,SCH,94.0,Washington County ,40.0,07,5.0,M,Y,N,Y,SLD,13
396,Dan River High,2010-2011,SCH,71.0,Pittsylvania County ,1680.0,09,3.0,M,Y,N,Y,OHI,13
397,Dan River Middle,2010-2011,SCH,71.0,Pittsylvania County ,1090.0,06,3.0,M,Y,N,Y,OHI,10
398,Daniel Morgan Middle,2010-2011,SCH,132.0,Winchester City ,70.0,05,3.0,M,Y,N,Y,SLD,11
399,Daniels Run Elementary,2010-2011,SCH,29.0,Fairfax County ,2229.0,01,5.0,M,Y,N,N,SLD,11
400,Dare Elementary,2010-2011,SCH,98.0,York County ,160.0,05,5.0,F,Y,N,N,SLI,10
401,David A. Harrison Elementary,2010-2011,SCH,74.0,Prince George County ,340.0,01,3.0,M,Y,N,Y,SLI,11
402,Dearington Elementary/Innovation ,2010-2011,SCH,115.0,Lynchburg City ,70.0,,3.0,M,Y,N,Y,,12
403,Deep Creek Central Elementary,2010-2011,SCH,136.0,Chesapeake City ,660.0,01,5.0,F,Y,N,Y,OHI,10
404,Deep Creek Elementary,2010-2011,SCH,136.0,Chesapeake City ,210.0,01,5.0,M,Y,N,N,SLI,12
405,Deep Creek High,2010-2011,SCH,136.0,Chesapeake City ,100.0,09,3.0,F,Y,N,Y,SLD,16
406,Deep Creek Middle,2010-2011,SCH,136.0,Chesapeake City ,610.0,06,3.0,M,Y,N,Y,SLD,11
407,Deep Run High,2010-2011,SCH,43.0,Henrico County ,160.0,09,5.0,M,Y,N,N,OHI,11
408,Deer Park Elementary,2010-2011,SCH,29.0,Fairfax County ,2204.0,01,5.0,M,Y,N,N,SLI,10
409,Denbigh Early Childhood Center,2010-2011,SCH,117.0,Newport News City ,1402.0,PS,,M,Y,N,,DD,11
410,Denbigh High,2010-2011,SCH,117.0,Newport News City ,280.0,09,3.0,M,Y,N,N,SLD,15
411,Diamond Springs Elementary,2010-2011,SCH,128.0,Virginia Beach City ,106.0,01,3.0,M,Y,N,Y,SLI,11
412,Dillwyn Elementary,2010-2011,SCH,15.0,Buckingham County ,722.0,04,5.0,M,Y,N,Y,,10
413,Dillwyn Primary,2010-2011,SCH,15.0,Buckingham County ,510.0,02,3.0,M,Y,N,Y,SLI,10
414,Dinwiddie Elementary,2010-2011,SCH,27.0,Dinwiddie County ,310.0,01,5.0,M,Y,N,Y,SLD,11
415,Dinwiddie Junior High,2010-2011,SCH,27.0,Dinwiddie County ,510.0,08,3.0,M,Y,N,Y,OHI,11
416,Dinwiddie Middle,2010-2011,SCH,27.0,Dinwiddie County ,471.0,06,3.0,M,Y,N,Y,SLD,11
417,Dinwiddie Senior High,2010-2011,SCH,27.0,Dinwiddie County ,500.0,10,3.0,F,Y,N,N,SLD,13
418,Dogwood Elementary,2010-2011,SCH,29.0,Fairfax County ,220.0,02,4.0,M,Y,Y,Y,SLD,11
419,Dominion High,2010-2011,SCH,53.0,Loudoun County ,31.0,09,4.0,F,Y,N,N,SLD,11
420,Dominion Trail Elementary,2010-2011,SCH,53.0,Loudoun County ,470.0,03,5.0,M,Y,N,N,SLI,10
421,Donald B. Dixon-Lyle R. Smith Middle,2010-2011,SCH,89.0,Stafford County ,432.0,06,5.0,M,Y,N,N,SLD,12
422,Douglas Macarthur Elementary,2010-2011,SCH,101.0,Alexandria City ,110.0,01,3.0,M,Y,N,N,SLI,11
423,Douglas S. Freeman High,2010-2011,SCH,43.0,Henrico County ,410.0,09,3.0,M,Y,N,Y,SLD,14
424,Douglass Park Elementary,2010-2011,SCH,121.0,Portsmouth City ,190.0,01,3.0,M,Y,N,Y,SLD,11
425,Dranesville Elementary,2010-2011,SCH,29.0,Fairfax County ,2010.0,02,5.0,M,Y,N,N,SLD,11
426,Dreamkeepers Academy,2010-2011,SCH,118.0,Norfolk City ,810.0,,3.0,F,Y,N,Y,SLD,16
427,Drew Model Elementary,2010-2011,SCH,7.0,Arlington County ,200.0,,3.0,M,Y,N,Y,SLI,10
428,Drewry Mason Elementary,2010-2011,SCH,44.0,Henry County ,530.0,,5.0,M,Y,N,Y,SLI,17
429,Driver Elementary,2010-2011,SCH,127.0,Suffolk City ,80.0,03,3.0,M,Y,N,Y,OHI,11
430,Dryden Elementary,2010-2011,SCH,52.0,Lee County ,160.0,01,5.0,M,Y,N,Y,SLI,11
431,Dublin Elementary,2010-2011,SCH,77.0,Pulaski County ,540.0,01,5.0,M,Y,N,Y,SLI,11
432,Dublin Middle,2010-2011,SCH,77.0,Pulaski County ,530.0,06,5.0,F,Y,N,N,OHI,10
433,Dudley Elementary,2010-2011,SCH,33.0,Franklin County ,20.0,02,5.0,F,Y,N,N,SLI,10
434,Dudley Primary,2010-2011,SCH,92.0,Tazewell County ,750.0,01,5.0,M,Y,N,N,SLI,10
435,Duffield-Pattonsville Primary,2010-2011,SCH,84.0,Scott County ,750.0,02,5.0,M,Y,N,Y,SLI,11
436,Dumbarton Elementary,2010-2011,SCH,43.0,Henrico County ,700.0,02,3.0,F,Y,N,Y,SLD,12
437,Dumfries Elementary,2010-2011,SCH,75.0,Prince William County ,280.0,01,3.0,M,Y,N,Y,SLI,10
438,Dungannon Intermediate,2010-2011,SCH,84.0,Scott County ,42.0,,5.0,M,Y,N,Y,,13
439,Dupont Elementary,2010-2011,SCH,114.0,Hopewell City ,40.0,02,3.0,M,Y,N,Y,ID,11
440,E. Wilson Morrison Elementary,2010-2011,SCH,93.0,Warren County ,140.0,04,5.0,F,Y,N,Y,SLI,11
441,E.B. Stanley Middle,2010-2011,SCH,94.0,Washington County ,1110.0,06,5.0,F,Y,N,Y,OHI,10
442,E.C. Glass High ,2010-2011,SCH,115.0,Lynchburg City ,260.0,09,3.0,F,Y,N,Y,SLD,11
443,E.H. Marsteller Middle,2010-2011,SCH,75.0,Prince William County ,490.0,06,4.0,M,Y,Y,Y,SLD,10
444,E.S.H. Greene Elementary,2010-2011,SCH,123.0,Richmond City ,1440.0,,3.0,M,Y,N,Y,SLD,10
445,Eagle Ridge Middle,2010-2011,SCH,53.0,Loudoun County ,880.0,06,5.0,M,Y,N,N,OHI,13
446,Eagle Rock Elementary,2010-2011,SCH,12.0,Botetourt County ,30.0,,5.0,M,Y,N,Y,SLD,16
447,Eagle View Elementary,2010-2011,SCH,29.0,Fairfax County ,2243.0,01,2.0,M,Y,N,N,DD,10
448,Early Learning Center,2010-2011,SCH,20.0,Charlotte County ,571.0,PS,,,Y,N,,,10
449,East Rockingham High,2010-2011,SCH,82.0,Rockingham County ,391.0,09,5.0,F,Y,N,N,SLD,10
450,East Salem Elementary,2010-2011,SCH,139.0,Salem City ,550.0,04,5.0,M,Y,N,N,SLI,11
451,Eastern Elementary/Middle ,2010-2011,SCH,35.0,Giles County ,10.0,01,5.0,F,Y,N,Y,SLD,10
452,Eastern Montgomery Elementary,2010-2011,SCH,60.0,Montgomery County ,30.0,KG,5.0,F,Y,N,Y,SLI,10
453,Eastern Montgomery High,2010-2011,SCH,60.0,Montgomery County ,904.0,10,5.0,F,Y,N,Y,SLD,10
454,Eastern View High,2010-2011,SCH,24.0,Culpeper County ,50.0,09,3.0,M,Y,N,Y,SLD,11
455,Easton Preschool,2010-2011,SCH,118.0,Norfolk City ,740.0,PS,3.0,F,Y,N,Y,DD,14
456,Echo Lake Elementary,2010-2011,SCH,43.0,Henrico County ,300.0,01,3.0,M,Y,N,N,SLI,11
457,Ecoff Elementary,2010-2011,SCH,21.0,Chesterfield County ,480.0,01,5.0,M,Y,N,N,SLI,10
458,Edgemont Primary,2010-2011,SCH,107.0,Covington City ,260.0,KG,5.0,M,Y,N,N,DD,10
459,Edison High,2010-2011,SCH,29.0,Fairfax County ,1270.0,09,3.0,M,Y,N,N,SLD,10
460,Edward E. Drew Jr. Middle,2010-2011,SCH,89.0,Stafford County ,10.0,06,5.0,M,Y,N,N,SLD,13
461,Edward G. Clymore Elementary,2010-2011,SCH,8.0,Augusta County ,842.0,02,5.0,M,Y,N,Y,SLI,10
462,Edward W. Wyatt Middle,2010-2011,SCH,40.0,Greensville County ,190.0,06,3.0,M,Y,N,Y,SLD,11
463,Edwin A. Gibson Middle,2010-2011,SCH,108.0,Danville City ,50.0,06,3.0,F,Y,N,Y,SLD,14
464,Edwin W. Chittum Elementary,2010-2011,SCH,136.0,Chesapeake City ,640.0,01,5.0,M,Y,N,N,SLI,10
465,Elephant's Fork Elementary,2010-2011,SCH,127.0,Suffolk City ,210.0,04,3.0,M,Y,N,Y,OHI,11
466,Elizabeth D. Redd Elementary,2010-2011,SCH,123.0,Richmond City ,1400.0,05,3.0,F,Y,N,Y,OHI,11
467,Elizabeth Davis Middle,2010-2011,SCH,21.0,Chesterfield County ,870.0,06,5.0,F,Y,N,N,OHI,13
468,Elizabeth Holladay Elementary,2010-2011,SCH,43.0,Henrico County ,680.0,02,3.0,M,Y,N,Y,SLI,11
469,Elizabeth Scott Elementary,2010-2011,SCH,21.0,Chesterfield County ,850.0,01,5.0,M,Y,N,N,SLI,10
470,Elizabeth Vaughan Elementary,2010-2011,SCH,75.0,Prince William County ,580.0,03,3.0,M,Y,N,Y,SLI,11
471,Elk Knob Elementary,2010-2011,SCH,52.0,Lee County ,330.0,01,5.0,F,Y,N,Y,SLI,13
472,Elkhardt Middle,2010-2011,SCH,123.0,Richmond City ,1080.0,06,3.0,M,Y,N,Y,SLD,13
473,Elko Middle,2010-2011,SCH,43.0,Henrico County ,92.0,06,3.0,M,Y,N,Y,OHI,17
474,Elkton Elementary,2010-2011,SCH,82.0,Rockingham County ,400.0,04,5.0,F,Y,N,N,SLI,10
475,Elkton Middle,2010-2011,SCH,82.0,Rockingham County ,900.0,06,5.0,M,Y,N,N,SLD,10
476,Ellen W. Chambliss Elementary,2010-2011,SCH,91.0,Sussex County ,50.0,03,3.0,M,Y,N,Y,SLI,11
477,Elmont Elementary,2010-2011,SCH,42.0,Hanover County ,430.0,04,5.0,M,Y,N,N,SLI,10
478,Elon Elementary,2010-2011,SCH,5.0,Amherst County ,760.0,,5.0,F,Y,N,N,OHI,12
479,Elydale Elementary,2010-2011,SCH,52.0,Lee County ,820.0,,5.0,M,Y,N,Y,,11
480,Emerald Hill Elementary,2010-2011,SCH,24.0,Culpeper County ,450.0,01,5.0,M,Y,N,N,SLI,13
481,Emerick Elementary,2010-2011,SCH,53.0,Loudoun County ,730.0,03,5.0,F,Y,N,N,SLD,10
482,Enderly Heights Elementary,2010-2011,SCH,103.0,Buena Vista City ,40.0,PS,5.0,F,Y,N,N,SLI,10
483,Enon Elementary,2010-2011,SCH,21.0,Chesterfield County ,390.0,03,5.0,M,Y,N,N,SLI,10
484,Enterprise Elementary,2010-2011,SCH,75.0,Prince William County ,120.0,02,3.0,M,Y,N,Y,SLI,14
485,Ervinton Elementary,2010-2011,SCH,26.0,Dickenson County ,530.0,,5.0,F,Y,N,Y,SLD,13
486,Ervinton High,2010-2011,SCH,26.0,Dickenson County ,840.0,,5.0,F,Y,N,Y,SLD,10
487,Essex High,2010-2011,SCH,28.0,Essex County ,10.0,09,3.0,M,Y,N,Y,SLD,14
488,Essex Intermediate,2010-2011,SCH,28.0,Essex County ,150.0,05,3.0,M,Y,N,Y,SLD,12
489,Ethel M. Gildersleeve Middle,2010-2011,SCH,117.0,Newport News City ,1260.0,06,3.0,M,Y,N,N,SLD,11
490,Ettrick Elementary,2010-2011,SCH,21.0,Chesterfield County ,350.0,01,3.0,M,Y,N,Y,SLI,10
491,Eureka Elementary,2010-2011,SCH,20.0,Charlotte County ,100.0,05,3.0,M,Y,N,Y,SLI,10
492,Evendale Elementary,2010-2011,SCH,34.0,Frederick County ,587.0,01,4.0,F,Y,N,N,SLI,10
493,Evergreen Elementary,2010-2011,SCH,21.0,Chesterfield County ,300.0,01,5.0,M,Y,N,N,SLI,11
494,Evergreen Mill Elementary,2010-2011,SCH,53.0,Loudoun County ,190.0,02,5.0,M,Y,N,N,SLD,10
495,Ewing Elementary,2010-2011,SCH,52.0,Lee County ,760.0,,5.0,F,Y,N,Y,SLI,14
496,F.W. Kling Jr. Elementary,2010-2011,SCH,103.0,Buena Vista City ,70.0,KG,5.0,F,Y,N,Y,SLD,10
497,Fair Oaks Elementary,2010-2011,SCH,43.0,Henrico County ,200.0,03,3.0,M,Y,N,Y,DD,11
498,Fairfax High,2010-2011,SCH,29.0,Fairfax County ,20.0,09,2.0,M,Y,N,N,SLD,11
499,Fairfax Villa Elementary,2010-2011,SCH,29.0,Fairfax County ,1480.0,04,2.0,M,Y,Y,N,OHI,12
500,Fairfield Court Elementary,2010-2011,SCH,123.0,Richmond City ,710.0,02,3.0,M,Y,N,Y,SLD,11
501,Fairfield Elementary,2010-2011,SCH,81.0,Rockbridge County ,150.0,03,5.0,F,Y,N,N,SLI,10
