,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
118,Belview Elementary,2010-2011,SCH,60.0,Montgomery County ,700.0,,5.0,M,Y,N,Y,,15
119,Benjamin F. Yancey Elementary,2010-2011,SCH,2.0,Albemarle County ,900.0,,5.0,,Y,N,Y,,11
120,Benjamin Franklin Middle-East,2010-2011,SCH,33.0,Franklin County ,32.0,06,5.0,F,Y,N,Y,SLD,14
121,Benjamin Franklin Middle-West,2010-2011,SCH,33.0,Franklin County ,31.0,07,3.0,M,Y,N,N,SLD,11
122,Benjamin Syms Middle,2010-2011,SCH,112.0,Hampton City ,350.0,06,3.0,M,Y,N,Y,SLD,11
123,Bennett Elementary,2010-2011,SCH,75.0,Prince William County ,840.0,03,5.0,M,Y,N,N,SLI,10
124,Bensley Elementary,2010-2011,SCH,21.0,Chesterfield County ,430.0,01,3.0,M,Y,N,Y,SLI,10
125,Berkeley Elementary,2010-2011,SCH,88.0,Spotsylvania County ,340.0,01,5.0,F,Y,N,Y,SLI,11
126,Berkeley Glenn Elementary,2010-2011,SCH,130.0,Waynesboro City ,650.0,01,5.0,M,Y,N,Y,OHI,10
127,Berkeley Middle,2010-2011,SCH,131.0,Williamsburg-James City County ,60.0,06,3.0,M,Y,N,N,SLD,11
128,Bessie Weller Elementary,2010-2011,SCH,126.0,Staunton City ,70.0,01,5.0,M,Y,N,Y,SLI,11
129,Bethel Elementary,2010-2011,SCH,36.0,Gloucester County ,381.0,02,5.0,M,Y,N,N,SLD,10
130,Bethel High,2010-2011,SCH,112.0,Hampton City ,430.0,09,3.0,F,Y,N,Y,OHI,11
131,Bethel Manor Elementary,2010-2011,SCH,98.0,York County ,180.0,01,5.0,M,Y,N,N,SLI,11
132,Bettie Weaver Elementary,2010-2011,SCH,21.0,Chesterfield County ,510.0,01,5.0,M,Y,N,N,SLI,12
