Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2016,California,ALAMEDA,,,,,,KG,21910,21302,,,76,,32,,,,,21787,,21584,,,,21611,,,,,21602,,21527,,,,,,,,,,
2016,California,ALPINE,,,,,,KG,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,California,AMADOR,,,,,,KG,290,279,,,0,,2,,,,,287,,282,,,,285,,,,,285,,283,,,,,,,,,,
2016,California,BUTTE,,,,,,KG,2814,2648,,,29,,17,,,,,2762,,2720,,,,2721,,,,,2735,,2709,,,,,,,,,,
2016,California,CALAVERAS,,,,,,KG,462,414,,,3,,8,,,,,441,,440,,,,428,,,,,436,,422,,,,,,,,,,
2016,California,COLUSA,,,,,,KG,411,399,,,1,,0,,,,,405,,403,,,,403,,,,,404,,401,,,,,,,,,,
2016,California,CONTRA COSTA,,,,,,KG,15434,14976,,,68,,68,,,,,15294,,15230,,,,15174,,,,,15166,,15131,,,,,,,,,,
2016,California,DEL NORTE,,,,,,KG,401,372,,,1,,0,,,,,399,,394,,,,388,,,,,382,,377,,,,,,,,,,
2016,California,EL DORADO,,,,,,KG,2205,2071,,,31,,24,,,,,2140,,2120,,,,2119,,,,,2112,,2106,,,,,,,,,,
2016,California,FRESNO,,,,,,KG,18779,18241,,,33,,30,,,,,18657,,18581,,,,18496,,,,,18463,,18354,,,,,,,,,,
2016,California,GLENN,,,,,,KG,481,468,,,1,,2,,,,,478,,475,,,,472,,,,,475,,471,,,,,,,,,,
2016,California,HUMBOLDT,,,,,,KG,1799,1560,,,16,,30,,,,,1678,,1631,,,,1647,,,,,1631,,1629,,,,,,,,,,
2016,California,IMPERIAL,,,,,,KG,3254,3169,,,5,,3,,,,,3235,,3235,,,,3197,,,,,3205,,3201,,,,,,,,,,
2016,California,INYO,,,,,,KG,212,202,,,2,,0,,,,,208,,206,,,,206,,,,,205,,205,,,,,,,,,,
2016,California,KERN,,,,,,KG,16497,15687,,,27,,223,,,,,16185,,16061,,,,15994,,,,,16024,,15870,,,,,,,,,,
2016,California,KINGS,,,,,,KG,2731,2665,,,5,,2,,,,,2722,,2714,,,,2713,,,,,2709,,2671,,,,,,,,,,
2016,California,LAKE,,,,,,KG,840,810,,,6,,0,,,,,827,,824,,,,821,,,,,826,,819,,,,,,,,,,
2016,California,LASSEN,,,,,,KG,357,324,,,5,,4,,,,,340,,336,,,,330,,,,,331,,328,,,,,,,,,,
2016,California,LOS ANGELES,,,,,,KG,140269,133310,,,515,,657,,,,,138585,,137675,,,,136087,,,,,136262,,135762,,,,,,,,,,
2016,California,MADERA,,,,,,KG,2835,2723,,,5,,2,,,,,2800,,2783,,,,2766,,,,,2762,,2746,,,,,,,,,,
2016,California,MARIN,,,,,,KG,3245,3023,,,68,,40,,,,,3150,,3085,,,,3129,,,,,3107,,3114,,,,,,,,,,
2016,California,MARIPOSA,,,,,,KG,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,California,MENDOCINO,,,,,,KG,1195,1060,,,7,,13,,,,,1168,,1142,,,,1113,,,,,1101,,1103,,,,,,,,,,
2016,California,MERCED,,,,,,KG,5618,5486,,,8,,1,,,,,5578,,5575,,,,5554,,,,,5549,,5518,,,,,,,,,,
2016,California,MODOC,,,,,,KG,130,102,,,0,,0,,,,,116,,114,,,,111,,,,,110,,103,,,,,,,,,,
2016,California,MONO,,,,,,KG,139,130,,,2,,1,,,,,134,,131,,,,134,,,,,134,,134,,,,,,,,,,
2016,California,MONTEREY,,,,,,KG,7221,7039,,,37,,17,,,,,7148,,7128,,,,7115,,,,,7121,,7109,,,,,,,,,,
