Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2014,Washington,ADAMS,,,,,,K12,4471.0,4265.0,,14.0,,,94,90.0,4,,59.0,,57.0,,53.0,,,,60.0,60.0,,60.0,,50.0,,,,,,,,,,,
2014,Washington,ASOTIN,,,,,,K12,3357.0,2949.0,,36.0,,,160,154.0,6,,109.0,,95.0,,99.0,,,,96.0,96.0,,96.0,,92.0,,,,,,,,,,,
2014,Washington,BENTON,,,,,,K12,36077.0,32609.0,,158.0,,,1025,954.0,71,,805.0,,784.0,,685.0,,,,753.0,753.0,,753.0,,722.0,,,,,,,,,,,
2014,Washington,CHELAN,,,,,,K12,13604.0,12929.0,,60.0,,,397,372.0,25,,302.0,,252.0,,306.0,,,,315.0,315.0,,315.0,,294.0,,,,,,,,,,,
2014,Washington,CLALLAM,,,,,,K12,5019.0,2803.0,,32.0,,,156,143.0,13,,104.0,,106.0,,102.0,,,,95.0,95.0,,95.0,,97.0,,,,,,,,,,,
2014,Washington,CLARK,,,,,,K12,81953.0,63976.0,,587.0,,,5225,4558.0,667,,4284.0,,2931.0,,3696.0,,,,4127.0,4127.0,,4127.0,,3843.0,,,,,,,,,,,
2014,Washington,COLUMBIA,,,,,,K12,462.0,362.0,,6.0,,,13,10.0,3,,16.0,,13.0,,13.0,,,,14.0,14.0,,14.0,,12.0,,,,,,,,,,,
2014,Washington,COWLITZ,,,,,,K12,16375.0,15289.0,,107.0,,,484,407.0,77,,428.0,,315.0,,311.0,,,,414.0,414.0,,414.0,,386.0,,,,,,,,,,,
2014,Washington,DOUGLAS,,,,,,K12,7169.0,6744.0,,31.0,,,64,54.0,10,,60.0,,43.0,,62.0,,,,63.0,63.0,,63.0,,55.0,,,,,,,,,,,
2014,Washington,FERRY,,,,,,K12,1349.0,1064.0,,12.0,,,111,96.0,15,,72.0,,54.0,,62.0,,,,63.0,63.0,,63.0,,59.0,,,,,,,,,,,
2014,Washington,FRANKLIN,,,,,,K12,18082.0,17596.0,,34.0,,,225,208.0,17,,167.0,,172.0,,145.0,,,,178.0,178.0,,178.0,,159.0,,,,,,,,,,,
2014,Washington,GARFIELD,,,,,,K12,316.0,302.0,,0.0,,,11,11.0,0,,4.0,,5.0,,7.0,,,,5.0,5.0,,5.0,,6.0,,,,,,,,,,,
2014,Washington,GRANT,,,,,,K12,19496.0,18069.0,,73.0,,,539,421.0,118,,422.0,,291.0,,371.0,,,,394.0,394.0,,394.0,,387.0,,,,,,,,,,,
2014,Washington,GRAYS HARBOR,,,,,,K12,10300.0,8869.0,,50.0,,,352,321.0,31,,284.0,,189.0,,220.0,,,,261.0,261.0,,261.0,,235.0,,,,,,,,,,,
2014,Washington,ISLAND,,,,,,K12,8965.0,7914.0,,113.0,,,707,657.0,50,,488.0,,366.0,,496.0,,,,498.0,498.0,,498.0,,459.0,,,,,,,,,,,
2014,Washington,JEFFERSON,,,,,,K12,2650.0,1714.0,,31.0,,,351,313.0,38,,253.0,,175.0,,293.0,,,,282.0,282.0,,282.0,,255.0,,,,,,,,,,,
2014,Washington,KING,,,,,,K12,306621.0,268798.0,,5537.0,,,12154,11352.0,802,,8379.0,,10658.0,,9490.0,,,,8785.0,8785.0,,8785.0,,8189.0,,,,,,,,,,,
2014,Washington,KITSAP,,,,,,K12,36798.0,33836.0,,314.0,,,1645,1535.0,110,,1243.0,,902.0,,1238.0,,,,1175.0,1175.0,,1175.0,,1083.0,,,,,,,,,,,
2014,Washington,KITTITAS,,,,,,K12,5306.0,4530.0,,33.0,,,578,235.0,343,,155.0,,168.0,,166.0,,,,173.0,173.0,,173.0,,163.0,,,,,,,,,,,
2014,Washington,KLICKITAT,,,,,,K12,2505.0,2141.0,,34.0,,,131,106.0,25,,91.0,,79.0,,106.0,,,,95.0,95.0,,95.0,,98.0,,,,,,,,,,,
2014,Washington,LEWIS,,,,,,K12,10697.0,9615.0,,62.0,,,346,299.0,47,,290.0,,217.0,,251.0,,,,267.0,267.0,,267.0,,246.0,,,,,,,,,,,
2014,Washington,LINCOLN,,,,,,K12,2166.0,1752.0,,7.0,,,171,140.0,31,,105.0,,119.0,,94.0,,,,112.0,112.0,,112.0,,100.0,,,,,,,,,,,
2014,Washington,MASON,,,,,,K12,7714.0,6883.0,,37.0,,,304,277.0,27,,248.0,,151.0,,175.0,,,,197.0,197.0,,197.0,,184.0,,,,,,,,,,,
2014,Washington,OKANOGAN,,,,,,K12,6440.0,5703.0,,22.0,,,411,358.0,53,,223.0,,183.0,,271.0,,,,255.0,255.0,,255.0,,222.0,,,,,,,,,,,
2014,Washington,PACIFIC,,,,,,K12,2438.0,2281.0,,16.0,,,68,56.0,12,,65.0,,52.0,,45.0,,,,56.0,56.0,,56.0,,58.0,,,,,,,,,,,
2014,Washington,PEND OREILLE,,,,,,K12,1552.0,1122.0,,54.0,,,156,146.0,10,,86.0,,135.0,,87.0,,,,101.0,101.0,,101.0,,90.0,,,,,,,,,,,
2014,Washington,PIERCE,,,,,,K12,134886.0,124768.0,,933.0,,,4210,3793.0,417,,3189.0,,2827.0,,3066.0,,,,3142.0,3142.0,,3142.0,,2980.0,,,,,,,,,,,
2014,Washington,SAN JUAN,,,,,,K12,1106.0,883.0,,36.0,,,149,143.0,6,,97.0,,88.0,,112.0,,,,101.0,101.0,,101.0,,128.0,,,,,,,,,,,
2014,Washington,SKAGIT,,,,,,K12,18994.0,17126.0,,211.0,,,1199,1076.0,123,,848.0,,690.0,,849.0,,,,800.0,800.0,,800.0,,791.0,,,,,,,,,,,
2014,Washington,SKAMANIA,,,,,,K12,943.0,764.0,,6.0,,,73,64.0,9,,54.0,,31.0,,44.0,,,,46.0,46.0,,46.0,,47.0,,,,,,,,,,,
2014,Washington,SNOHOMISH,,,,,,K12,109192.0,98706.0,,1133.0,,,5755,5193.0,562,,4150.0,,3346.0,,3788.0,,,,4093.0,4093.0,,4093.0,,3804.0,,,,,,,,,,,
2014,Washington,SPOKANE,,,,,,K12,82667.0,65866.0,,674.0,,,4808,4431.0,377,,3737.0,,3784.0,,3252.0,,,,3406.0,3406.0,,3406.0,,3219.0,,,,,,,,,,,
2014,Washington,STEVENS,,,,,,K12,4578.0,3581.0,,78.0,,,555,491.0,64,,434.0,,312.0,,410.0,,,,433.0,433.0,,433.0,,401.0,,,,,,,,,,,
2014,Washington,THURSTON,,,,,,K12,43393.0,36139.0,,364.0,,,2468,2300.0,168,,1792.0,,1287.0,,1878.0,,,,1832.0,1832.0,,1832.0,,1761.0,,,,,,,,,,,
2014,Washington,WAHKIAKUM,,,,,,K12,438.0,378.0,,6.0,,,29,17.0,12,,29.0,,23.0,,30.0,,,,30.0,30.0,,30.0,,29.0,,,,,,,,,,,
2014,Washington,WALLA WALLA,,,,,,K12,9266.0,8533.0,,45.0,,,316,277.0,39,,261.0,,191.0,,256.0,,,,264.0,264.0,,264.0,,256.0,,,,,,,,,,,
2014,Washington,WHATCOM,,,,,,K12,28419.0,25066.0,,309.0,,,1828,1745.0,83,,1247.0,,1053.0,,1480.0,,,,1283.0,1283.0,,1283.0,,1253.0,,,,,,,,,,,
2014,Washington,WHITMAN,,,,,,K12,5308.0,4677.0,,18.0,,,201,194.0,7,,142.0,,128.0,,130.0,,,,135.0,135.0,,135.0,,124.0,,,,,,,,,,,
2014,Washington,YAKIMA,,,,,,K12,53298.0,49697.0,,117.0,,,533,480.0,53,,380.0,,281.0,,321.0,,,,378.0,378.0,,378.0,,308.0,,,,,,,,,,,
