ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2012,Pennsylvania,Cumberland,,,,,,KG,2561,,,14,,,,0,32,0,,2065,,2439,,,,2180,,,,,2493,,2362,,,,0,,,,,,
2012,Pennsylvania,Cumberland,,,,,,MS,2661,,,26,,,,0,54,2159,,2385,,2590,,,,2591,,,,,2604,,2596,,,,2135,,,,,,
2012,Pennsylvania,Dauphin,,,,,,KG,3463,,,19,,,,0,82,0,,2904,,3240,,,,2955,,,,,3237,,3089,,,,0,,,,,,
2012,Pennsylvania,Dauphin,,,,,,MS,3782,,,28,,,,0,67,2713,,3289,,3690,,,,3683,,,,,3699,,3439,,,,2592,,,,,,
2012,Pennsylvania,Delaware,,,,,,KG,6503,,,10,,,,0,47,0,,5904,,6305,,,,5985,,,,,6333,,6126,,,,0,,,,,,
2012,Pennsylvania,Delaware,,,,,,MS,6770,,,15,,,,0,36,5138,,6432,,6687,,,,6700,,,,,6714,,6505,,,,5081,,,,,,
2012,Pennsylvania,Elk,,,,,,KG,345,,,4,,,,0,6,0,,278,,333,,,,308,,,,,321,,317,,,,0,,,,,,
2012,Pennsylvania,Elk,,,,,,MS,345,,,3,,,,0,8,292,,325,,342,,,,341,,,,,343,,343,,,,289,,,,,,
2012,Pennsylvania,Erie,,,,,,KG,3582,,,10,,,,0,59,0,,3107,,3363,,,,3154,,,,,3407,,3277,,,,0,,,,,,
2012,Pennsylvania,Erie,,,,,,MS,3586,,,21,,,,0,63,2875,,3369,,3512,,,,3518,,,,,3520,,3456,,,,2855,,,,,,
2012,Pennsylvania,Fayette,,,,,,KG,1417,,,7,,,,0,21,0,,1196,,1354,,,,1194,,,,,1350,,1264,,,,0,,,,,,
2012,Pennsylvania,Fayette,,,,,,MS,1433,,,6,,,,0,20,1089,,1329,,1413,,,,1413,,,,,1416,,1416,,,,1131,,,,,,
2012,Pennsylvania,Forest,,,,,,KG,33,,,0,,,,0,0,0,,31,,33,,,,30,,,,,33,,33,,,,0,,,,,,
2012,Pennsylvania,Forest,,,,,,MS,39,,,0,,,,0,0,33,,38,,39,,,,39,,,,,39,,39,,,,31,,,,,,
2012,Pennsylvania,Franklin,,,,,,KG,1783,,,4,,,,0,23,0,,1387,,1537,,,,1330,,,,,1561,,1491,,,,0,,,,,,
2012,Pennsylvania,Franklin,,,,,,MS,1711,,,11,,,,0,65,1460,,1583,,1664,,,,1654,,,,,1683,,1684,,,,1405,,,,,,
2012,Pennsylvania,Fulton,,,,,,KG,167,,,1,,,,0,2,0,,149,,164,,,,152,,,,,165,,166,,,,0,,,,,,
2012,Pennsylvania,Fulton,,,,,,MS,182,,,0,,,,0,1,152,,158,,182,,,,182,,,,,182,,182,,,,153,,,,,,
2012,Pennsylvania,Greene,,,,,,KG,424,,,1,,,,0,2,0,,499,,415,,,,400,,,,,417,,400,,,,0,,,,,,
2012,Pennsylvania,Greene,,,,,,MS,378,,,1,,,,0,4,315,,346,,376,,,,376,,,,,376,,376,,,,321,,,,,,
2012,Pennsylvania,Huntingdon,,,,,,KG,457,,,1,,,,0,8,0,,423,,439,,,,423,,,,,441,,435,,,,0,,,,,,
2012,Pennsylvania,Huntingdon,,,,,,MS,464,,,158,,,,0,167,357,,406,,454,,,,452,,,,,455,,454,,,,352,,,,,,
