Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Tennessee,Shelby,,,,,,KG,12815,11869,,16,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,154
2017,Tennessee,Smith ,,,,,,KG,245,226,,0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2
2017,Tennessee,Stewart ,,,,,,KG,122,111,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2
2017,Tennessee,Sullivan,,,,,,KG,17,14,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Sullivan ,,,,,,KG,1498,1430,,3,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,5
2017,Tennessee,Sumner,,,,,,KG,2152,2062,,2,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,8
2017,Tennessee,Tipton ,,,,,,KG,850,829,,1,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Unicoi ,,,,,,KG,166,163,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Union,,,,,,KG,225,201,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,19
2017,Tennessee,Van Buren,,,,,,KG,42,38,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4
2017,Tennessee,Warren ,,,,,,KG,445,434,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Washington,,,,,,KG,60,56,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Washington ,,,,,,KG,1424,1392,,1,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Weakley,,,,,,KG,299,288,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,White,,,,,,KG,313,300,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Williamson,,,,,,KG,3151,2971,,5,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,5
2017,Tennessee,Wilson,,,,,,KG,1704,1635,,3,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,0
