Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2010,Illinois,Adams,,,,,,,11313,,,,60,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Alexander,,,,,,,1068,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Bond,,,,,,,2269,,,,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Boone,,,,,,,11038,,,,9,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Brown,,,,,,,846,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Bureau,,,,,,,5756,,,,4,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Calhoun,,,,,,,794,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Carroll,,,,,,,2204,,,,0,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Cass,,,,,,,2574,,,,3,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Champaign,,,,,,,26287,,,,21,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Christian,,,,,,,5520,,,,6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Clark,,,,,,,2726,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Clay,,,,,,,2442,,,,2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Clinton,,,,,,,6168,,,,7,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Coles,,,,,,,6947,,,,14,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Cook,,,,,,,896755,,,,1961,,2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Crawford,,,,,,,3093,,,,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Cumberland,,,,,,,1739,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,De Witt,,,,,,,2804,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,DeKalb,,,,,,,18014,,,,18,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Douglas,,,,,,,2963,,,,8,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,DuPage,,,,,,,180777,,,,256,,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Edgar,,,,,,,3280,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Edwards,,,,,,,1007,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Effingham,,,,,,,6377,,,,2,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Fayette,,,,,,,2975,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Ford,,,,,,,2521,,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Franklin,,,,,,,6664,,,,5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Fulton,,,,,,,4650,,,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Gallatin,,,,,,,804,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Greene,,,,,,,2237,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Grundy,,,,,,,12887,,,,17,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Hamilton,,,,,,,1283,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Hancock,,,,,,,3153,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Hardin,,,,,,,624,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Henderson,,,,,,,1000,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Henry,,,,,,,9003,,,,20,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Iroquois,,,,,,,5141,,,,4,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Jackson,,,,,,,7194,,,,22,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Jasper,,,,,,,1517,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Jefferson,,,,,,,6151,,,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Jersey,,,,,,,3293,,,,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Jo Daviess,,,,,,,3592,,,,0,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Johnson,,,,,,,1815,,,,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Kane,,,,,,,132306,,,,130,,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Kankakee,,,,,,,21259,,,,22,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Kendall,,,,,,,26033,,,,27,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Knox,,,,,,,6759,,,,8,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,LaSalle,,,,,,,17909,,,,14,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Lake,,,,,,,150768,,,,166,,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Lawrence,,,,,,,2294,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Lee,,,,,,,5110,,,,2,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Livingston,,,,,,,7235,,,,16,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Logan,,,,,,,3789,,,,3,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Macon,,,,,,,18656,,,,13,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Macoupin,,,,,,,9194,,,,12,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Madison,,,,,,,47423,,,,43,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Marion,,,,,,,7103,,,,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Marshall,,,,,,,1455,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Mason,,,,,,,3145,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Illinois,Massac,,,,,,,2583,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
