ï»¿Year,State,County,School District ,City ,Number Reporting,School,Public/Private,Age,Total_enrolled,Total_Complete,Total_Exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No Record
2016,Texas,Anderson,,,,,,,8539,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Andrews,,,,,,,3966,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Angelina,,,,,,,17654,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Aransas,,,,,,,3394,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Archer,,,,,,,1878,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Armstrong,,,,,,,335,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Atascosa,,,,,,,8928,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Austin,,,,,,,5885,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Bailey,,,,,,,1453,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Bandera,,,,,,,2549,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Bastrop,,,,,,,16960,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Baylor,,,,,,,595,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Bee,,,,,,,5378,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Bell,,,,,,,74752,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Bexar,,,,,,,354665,,,,,,2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Blanco,,,,,,,1717,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Borden,,,,,,,254,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Bosque,,,,,,,2909,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Bowie,,,,,,,17866,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Brazoria,,,,,,,70609,,,,,,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Brazos,,,,,,,30303,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Brewster,,,,,,,1325,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Briscoe,,,,,,,200,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Brooks,,,,,,,1577,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Brown,,,,,,,6681,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Burleson,,,,,,,2688,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Burnet,,,,,,,7391,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Caldwell,,,,,,,7325,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Calhoun,,,,,,,4013,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Callahan,,,,,,,2531,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Cameron,,,,,,,100731,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Camp,,,,,,,2421,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Carson,,,,,,,1219,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Cass,,,,,,,5479,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Castro,,,,,,,1712,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Chambers,,,,,,,8055,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Cherokee,,,,,,,8578,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Childress,,,,,,,1135,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Clay,,,,,,,1724,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Cochran,,,,,,,752,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Coke,,,,,,,552,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Coleman,,,,,,,1334,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Collin,,,,,,,203105,,,,,,4225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Collingsworth,,,,,,,607,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Colorado,,,,,,,3558,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Comal,,,,,,,31447,,,,,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Comanche,,,,,,,2379,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Concho,,,,,,,479,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Cooke,,,,,,,6510,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Coryell,,,,,,,11599,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Cottle,,,,,,,207,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Crane,,,,,,,1116,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Crockett,,,,,,,791,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Crosby,,,,,,,1215,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Culberson,,,,,,,425,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Dallam,,,,,,,1949,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Dallas,,,,,,,509471,,,,,,3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Dawson,,,,,,,2678,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Deaf Smith,,,,,,,4298,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Delta,,,,,,,1007,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Denton,,,,,,,129151,,,,,,3771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Dewitt,,,,,,,4506,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Dickens,,,,,,,383,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Dimmit,,,,,,,2213,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Donley,,,,,,,597,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Duval,,,,,,,2578,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Eastland,,,,,,,2859,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Ector,,,,,,,32822,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Edwards,,,,,,,570,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,El Paso,,,,,,,178405,,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Ellis,,,,,,,37119,,,,,,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Erath,,,,,,,12857,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Falls,,,,,,,2184,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Fannin,,,,,,,5359,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Fayette,,,,,,,3860,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Fisher,,,,,,,540,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Floyd,,,,,,,1269,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Texas,Foard,,,,,,,227,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
