ï»¿Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2015,Indiana,Floyd,,,,,,MS,1199,907,,,,,,,,1141,,979,,1140,,N/A,,1060,,,,,1035,,936,,,,1112,,,,,,
2015,Indiana,Fountain,,,,,,KG,247,171,,,,,,,,224,,233,,222,,184,,238,,,,,230,,207,,,,0,,,,,,
2015,Indiana,Fountain,,,,,,MS,314,235,,,,,,,,283,,240,,303,,N/A,,271,,,,,263,,249,,,,241,,,,,,
2015,Indiana,Franklin,,,,,,KG,199,150,,,,,,,,173,,168,,183,,186,,174,,,,,173,,160,,,,0,,,,,,
2015,Indiana,Franklin,,,,,,MS,271,209,,,,,,,,267,,219,,266,,N/A,,243,,,,,236,,212,,,,251,,,,,,
2015,Indiana,Fulton,,,,,,KG,249,171,,,,,,,,202,,213,,194,,210,,217,,,,,210,,186,,,,0,,,,,,
2015,Indiana,Fulton,,,,,,MS,280,208,,,,,,,,273,,240,,272,,N/A,,253,,,,,237,,217,,,,261,,,,,,
2015,Indiana,Gibson,,,,,,KG,447,355,,,,,,,,403,,416,,380,,361,,417,,,,,414,,399,,,,0,,,,,,
2015,Indiana,Gibson,,,,,,MS,453,371,,,,,,,,446,,389,,446,,N/A,,409,,,,,406,,381,,,,391,,,,,,
2015,Indiana,Grant,,,,,,KG,844,538,,,,,,,,640,,708,,598,,621,,713,,,,,663,,586,,,,0,,,,,,
2015,Indiana,Grant,,,,,,MS,993,666,,,,,,,,927,,808,,926,,N/A,,864,,,,,829,,706,,,,684,,,,,,
2015,Indiana,Greene,,,,,,KG,283,225,,,,,,,,256,,261,,257,,276,,266,,,,,264,,238,,,,0,,,,,,
2015,Indiana,Greene,,,,,,MS,421,310,,,,,,,,371,,320,,401,,N/A,,347,,,,,341,,308,,,,320,,,,,,
2015,Indiana,Hamilton,,,,,,KG,4842,1876,,,,,,,,2692,,2895,,2007,,2757,,2920,,,,,2914,,2692,,,,0,,,,,,
2015,Indiana,Hamilton,,,,,,MS,5296,3414,,,,,,,,4327,,3513,,4327,,N/A,,4017,,,,,3893,,3712,,,,3648,,,,,,
2015,Indiana,Hancock,,,,,,KG,1077,590,,,,,,,,759,,832,,620,,743,,837,,,,,822,,757,,,,0,,,,,,
2015,Indiana,Hancock,,,,,,MS,1111,879,,,,,,,,1026,,910,,1025,,N/A,,983,,,,,951,,897,,,,996,,,,,,
2015,Indiana,Harrison,,,,,,KG,511,383,,,,,,,,421,,440,,402,,392,,444,,,,,438,,398,,,,0,,,,,,
2015,Indiana,Harrison,,,,,,MS,555,461,,,,,,,,540,,470,,539,,N/A,,508,,,,,503,,462,,,,539,,,,,,
2015,Indiana,Hendricks,,,,,,KG,2547,1376,,,,,,,,1882,,2059,,1500,,1872,,2087,,,,,2038,,1882,,,,0,,,,,,
