Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2015,South Dakota,Miner,,,,,,KG,26.0,,0.0,,,,,,,,,26.0,,26.0,,20.0,,26.0,,,,,26.0,,26.0,,,,,,,,,,
2015,South Dakota,Minnehaha,,,,,,KG,2910.0,,47.0,,,,,,,,,2817.0,,2744.0,,1733.0,,2831.0,,,,,2823.0,,8266.0,,,,,,,,,,
2015,South Dakota,Moody,,,,,,KG,72.0,,0.0,,,,,,,,,83.0,,69.0,,0.0,,71.0,,,,,69.0,,69.0,,,,,,,,,,
2015,South Dakota,Oglala Lakota,,,,,,KG,390.0,,2.0,,,,,,,,,276.0,,379.0,,356.0,,370.0,,,,,370.0,,371.0,,,,,,,,,,
2015,South Dakota,Pennington,,,,,,KG,1570.0,,22.0,,,,,,,,,1529.0,,1366.0,,1262.0,,1532.0,,,,,1530.0,,1530.0,,,,,,,,,,
2015,South Dakota,Perkins,,,,,,KG,31.0,,1.0,,,,,,,,,30.0,,30.0,,30.0,,30.0,,,,,30.0,,30.0,,,,,,,,,,
2015,South Dakota,Potter,,,,,,KG,17.0,,0.0,,,,,,,,,17.0,,17.0,,5.0,,17.0,,,,,17.0,,17.0,,,,,,,,,,
2015,South Dakota,Roberts,,,,,,KG,145.0,,1.0,,,,,,,,,143.0,,140.0,,118.0,,143.0,,,,,144.0,,144.0,,,,,,,,,,
2015,South Dakota,Sanborn,,,,,,KG,99.0,,1.0,,,,,,,,,98.0,,97.0,,97.0,,97.0,,,,,98.0,,98.0,,,,,,,,,,
2015,South Dakota,Spink,,,,,,KG,63.0,,0.0,,,,,,,,,63.0,,62.0,,0.0,,63.0,,,,,63.0,,63.0,,,,,,,,,,
2015,South Dakota,Stanley,,,,,,KG,37.0,,0.0,,,,,,,,,35.0,,37.0,,24.0,,35.0,,,,,36.0,,36.0,,,,,,,,,,
2015,South Dakota,Sully,,,,,,KG,13.0,,1.0,,,,,,,,,10.0,,11.0,,2.0,,10.0,,,,,10.0,,11.0,,,,,,,,,,
2015,South Dakota,Todd,,,,,,KG,204.0,,0.0,,,,,,,,,195.0,,200.0,,191.0,,195.0,,,,,195.0,,194.0,,,,,,,,,,
2015,South Dakota,Tripp,,,,,,KG,86.0,,0.0,,,,,,,,,79.0,,79.0,,17.0,,79.0,,,,,78.0,,79.0,,,,,,,,,,
2015,South Dakota,Turner,,,,,,KG,90.0,,2.0,,,,,,,,,85.0,,85.0,,64.0,,88.0,,,,,87.0,,87.0,,,,,,,,,,
2015,South Dakota,Union,,,,,,KG,207.0,,4.0,,,,,,,,,204.0,,199.0,,181.0,,203.0,,,,,203.0,,204.0,,,,,,,,,,
2015,South Dakota,Walworth,,,,,,KG,74.0,,4.0,,,,,,,,,70.0,,70.0,,0.0,,70.0,,,,,70.0,,70.0,,,,,,,,,,
2015,South Dakota,Yankton,,,,,,KG,238.0,,2.0,,,,,,,,,234.0,,236.0,,142.0,,235.0,,,,,236.0,,234.0,,,,,,,,,,
2015,South Dakota,Ziebach ,,,,,,KG,28.0,,0.0,,,,,,,,,26.0,,28.0,,28.0,,26.0,,,,,27.0,,26.0,,,,,,,,,,
