Year,RCDTS,Enrollment,PBE,PME
2015-2016,1.001E+13,232,0,0
2015-2016,1.001E+13,333,1,0
2015-2016,1.001E+13,278,0,0
2015-2016,1.001E+13,346,0,1
2015-2016,1.001E+13,258,3,0
2015-2016,1.001E+13,267,1,0
2015-2016,1.001E+13,243,2,0
2015-2016,1.001E+13,146,0,0
2015-2016,1.001E+13,233,0,0
2015-2016,1.001E+13,201,1,0
2015-2016,1.001E+13,241,0,0
2015-2016,1.00117E+13,1430,5,3
2015-2016,1.00117E+13,1428,4,9
2015-2016,1.00117E+13,361,3,0
2015-2016,1.00117E+13,252,3,0
2015-2016,1.00117E+13,306,2,0
2015-2016,1.00117E+13,185,3,0
2015-2016,1.00117E+13,376,5,1
2015-2016,1.00117E+13,265,2,1
2015-2016,1.00117E+13,253,1,0
2015-2016,1.00117E+13,1464,11,4
2015-2016,1.00117E+13,524,1,1
2015-2016,1.00117E+13,4,0,0
2015-2016,1.005E+13,187,1,0
2015-2016,1.005E+13,221,3,0
2015-2016,1.005E+13,338,0,0
2015-2016,1.00902E+13,882,1,0
2015-2016,1.00902E+13,514,0,0
2015-2016,1.00902E+13,163,0,0
2015-2016,1.00906E+13,141,3,0
2015-2016,1.00906E+13,153,0,0
2015-2016,1.00926E+13,138,0,0
2015-2016,1.00926E+13,151,0,0
2015-2016,1.00926E+13,185,0,0
2015-2016,1.069E+13,147,0,0
2015-2016,1.069E+13,86,0,0
2015-2016,1.069E+13,62,0,0
2015-2016,1.06901E+13,176,0,0
2015-2016,1.06901E+13,196,0,0
2015-2016,1.06901E+13,45,0,0
2015-2016,1.06901E+13,46,0,0
2015-2016,1.06901E+13,104,1,0
2015-2016,1.06903E+13,151,0,0
2015-2016,1.06903E+13,213,0,0
2015-2016,1.06912E+13,1008,3,1
2015-2016,1.06912E+13,519,5,0
2015-2016,1.06912E+13,337,3,0
2015-2016,1.06912E+13,308,0,0
2015-2016,1.06912E+13,296,0,1
2015-2016,1.06912E+13,349,0,0
2015-2016,1.06912E+13,214,0,0
2015-2016,1.06912E+13,129,0,0
2015-2016,1.06912E+13,8,0,0
2015-2016,1.06912E+13,169,1,0
2015-2016,1.075E+13,85,0,0
2015-2016,1.075E+13,233,0,0
2015-2016,1.075E+13,102,0,0
2015-2016,1.075E+13,89,0,0
2015-2016,1.075E+13,175,0,1
2015-2016,1.07501E+13,344,1,0
2015-2016,1.07501E+13,378,1,0
2015-2016,1.07501E+13,590,1,0
2015-2016,1.07501E+13,149,0,0
2015-2016,1.07501E+13,185,0,0
2015-2016,1.07501E+13,242,0,0
2015-2016,1.086E+13,68,0,0
2015-2016,1.086E+13,34,0,0
2015-2016,1.086E+13,122,0,0
2015-2016,3.003E+13,116,0,0
2015-2016,3.003E+13,91,0,0
2015-2016,3.003E+13,535,5,0
2015-2016,3.003E+13,291,3,0
2015-2016,3.003E+13,630,6,3
2015-2016,3.003E+13,238,2,0
2015-2016,3.003E+13,175,1,0
2015-2016,3.011E+13,87,0,0
2015-2016,3.011E+13,43,0,0
2015-2016,3.011E+13,191,0,0
2015-2016,3.011E+13,811,0,2
2015-2016,3.011E+13,779,1,1
2015-2016,3.011E+13,331,4,0
2015-2016,3.011E+13,414,3,0
2015-2016,3.011E+13,106,0,1
2015-2016,3.011E+13,95,0,0
2015-2016,3.011E+13,40,0,0
2015-2016,3.011E+13,171,0,0
2015-2016,3.01101E+13,428,2,1
2015-2016,3.01101E+13,275,0,0
2015-2016,3.01101E+13,297,3,0
2015-2016,3.01101E+13,272,1,0
2015-2016,3.01101E+13,173,0,0
2015-2016,3.01101E+13,176,0,0
2015-2016,3.02501E+13,283,0,0
2015-2016,3.02501E+13,474,5,2
2015-2016,3.02502E+13,177,0,0
2015-2016,3.02502E+13,148,0,0
2015-2016,3.02503E+13,177,2,0
2015-2016,3.02503E+13,297,4,0
2015-2016,3.02504E+13,764,3,0
2015-2016,3.02504E+13,579,8,1
2015-2016,3.02504E+13,694,9,0
2015-2016,3.02504E+13,208,2,1
2015-2016,3.02504E+13,338,4,0
2015-2016,3.02505E+13,343,2,0
2015-2016,3.02505E+13,151,1,0
2015-2016,3.02505E+13,550,3,0
2015-2016,3.0262E+13,97,0,0
2015-2016,3.0262E+13,47,0,0
2015-2016,3.0262E+13,233,0,0
2015-2016,3.0262E+13,130,0,0
2015-2016,3.0262E+13,71,0,0
2015-2016,3.0262E+13,278,3,1
2015-2016,3.0262E+13,464,1,0
2015-2016,3.0262E+13,518,3,1
2015-2016,3.0262E+13,553,1,0
2015-2016,3.0262E+13,146,1,0
2015-2016,3.068E+13,150,0,0
2015-2016,3.068E+13,102,0,0
2015-2016,3.068E+13,94,0,0
2015-2016,3.068E+13,152,0,1
2015-2016,3.068E+13,483,0,1
2015-2016,3.068E+13,427,1,0
2015-2016,3.068E+13,601,1,0
2015-2016,3.068E+13,276,1,0
2015-2016,3.06801E+13,436,2,0
2015-2016,3.06801E+13,291,0,1
2015-2016,3.06801E+13,209,0,0
2015-2016,3.06801E+13,169,0,0
2015-2016,3.06801E+13,227,1,0
2015-2016,3.06801E+13,117,0,0
2015-2016,3.06802E+13,306,0,3
2015-2016,3.06802E+13,307,0,0
2015-2016,4.0041E+13,1289,2,2
2015-2016,4.0041E+13,1462,5,5
2015-2016,4.0041E+13,819,2,0
2015-2016,4.0041E+13,1026,6,1
2015-2016,4.0041E+13,428,8,1
2015-2016,4.0041E+13,619,2,2
2015-2016,4.0041E+13,303,2,0
2015-2016,4.0041E+13,916,3,3
2015-2016,4.0041E+13,650,1,1
2015-2016,4.0041E+13,658,6,0
2015-2016,4.0042E+13,534,4,0
2015-2016,4.0042E+13,244,1,0
2015-2016,4.0042E+13,207,2,0
2015-2016,4.0042E+13,159,1,2
2015-2016,4.0042E+13,295,7,0
2015-2016,4.0042E+13,234,1,0
2015-2016,4.10112E+13,2121,4,0
2015-2016,4.10112E+13,1014,0,0
2015-2016,4.10112E+13,344,0,0
2015-2016,4.10112E+13,306,0,0
2015-2016,4.10112E+13,322,3,0
2015-2016,4.10112E+13,397,1,0
2015-2016,4.10112E+13,333,2,0
2015-2016,4.10112E+13,445,5,0
2015-2016,4.10112E+13,451,3,1
2015-2016,4.10112E+13,344,0,0
2015-2016,4.10112E+13,581,9,0
2015-2016,4.10113E+13,631,7,1
2015-2016,4.10113E+13,405,4,0
2015-2016,4.10113E+13,383,6,2
2015-2016,4.10113E+13,380,4,0
2015-2016,4.10113E+13,367,6,1
2015-2016,4.10113E+13,402,10,1
2015-2016,4.10113E+13,122,0,0
2015-2016,4.10114E+13,477,11,0
2015-2016,4.10121E+13,1858,4,2
2015-2016,4.10121E+13,2031,8,1
2015-2016,4.10121E+13,1711,7,0
2015-2016,4.10121E+13,1738,0,0
2015-2016,4.10121E+13,901,4,1
2015-2016,4.10121E+13,821,11,3
2015-2016,4.10121E+13,984,0,0
2015-2016,4.10121E+13,687,5,0
2015-2016,4.10121E+13,564,2,0
2015-2016,4.10121E+13,720,2,0
2015-2016,4.10121E+13,319,0,0
2015-2016,4.10121E+13,330,0,0
2015-2016,4.10121E+13,459,6,2
2015-2016,4.10121E+13,361,7,0
2015-2016,4.10121E+13,175,0,0
2015-2016,4.10121E+13,421,4,0
2015-2016,4.10121E+13,456,1,0
2015-2016,4.10121E+13,442,6,0
2015-2016,4.10121E+13,303,0,0
2015-2016,4.10121E+13,330,3,1
2015-2016,4.10121E+13,525,0,0
2015-2016,4.10121E+13,486,5,0
2015-2016,4.10121E+13,300,1,0
2015-2016,4.10121E+13,363,0,0
2015-2016,4.10121E+13,378,0,1
2015-2016,4.10121E+13,447,2,0
2015-2016,4.10121E+13,462,11,0
2015-2016,4.10121E+13,523,2,0
2015-2016,4.10121E+13,836,4,1
2015-2016,4.10121E+13,367,2,0
2015-2016,4.10121E+13,281,3,0
2015-2016,4.10121E+13,286,3,1
2015-2016,4.10121E+13,354,1,0
2015-2016,4.10121E+13,400,4,0
2015-2016,4.10121E+13,384,3,0
2015-2016,4.10121E+13,300,2,0
2015-2016,4.10121E+13,505,5,0
2015-2016,4.10121E+13,314,0,0
2015-2016,4.10121E+13,284,0,0
2015-2016,4.10121E+13,432,5,2
2015-2016,4.10121E+13,337,3,2
2015-2016,4.10121E+13,994,3,0
2015-2016,4.10121E+13,552,2,0
2015-2016,4.10121E+13,338,1,0
2015-2016,4.10121E+13,31,0,0
2015-2016,4.10121E+13,498,4,0
2015-2016,4.10121E+13,329,0,0
2015-2016,4.10121E+13,373,2,0
2015-2016,4.10121E+13,2129,16,1
2015-2016,4.10132E+13,304,0,0
2015-2016,4.10132E+13,163,0,0
2015-2016,4.10132E+13,231,1,0
2015-2016,4.10132E+13,230,2,1
2015-2016,4.10132E+13,144,0,1
2015-2016,4.10132E+13,272,0,0
2015-2016,4.10132E+13,253,0,0
2015-2016,4.10132E+13,373,7,1
2015-2016,4.10132E+13,171,1,0
2015-2016,4.10132E+13,97,1,0
2015-2016,4.10132E+13,302,8,0
2015-2016,4.10132E+13,447,0,1
2015-2016,4.10132E+13,341,3,0
2015-2016,4.10132E+13,303,5,0
2015-2016,4.10132E+13,297,8,0
2015-2016,5.01602E+13,782,5,0
2015-2016,5.01602E+13,510,1,1
2015-2016,5.01602E+13,800,0,1
2015-2016,5.01602E+13,671,6,0
2015-2016,5.01602E+13,632,2,0
2015-2016,5.01602E+13,600,1,0
2015-2016,5.01602E+13,454,7,1
2015-2016,5.01602E+13,623,0,0
2015-2016,5.01602E+13,748,9,0
2015-2016,5.01602E+13,702,5,0
2015-2016,5.01602E+13,850,3,1
2015-2016,5.01602E+13,715,7,0
2015-2016,5.01602E+13,600,7,0
2015-2016,5.01602E+13,640,13,0
2015-2016,5.01602E+13,792,0,1
2015-2016,5.01602E+13,617,7,1
