Year,RCDTS,Enrollment,PME,PBE
2009-2010,200962000260001,117,0,0
2009-2010,200962000261001,151,0,0
2009-2010,320380060262001,114,0,0
2009-2010,320380060261001,70,0,0
2009-2010,320380060260001,142,0,0
2009-2010,410570080260001,839,0,2
2009-2010,19022081X140000,80,0,7
2009-2010,090270100262004,376,0,1
2009-2010,150162990252936,602,0,2
2009-2010,140160710022001,532,0,1
2009-2010,190221810041003,703,2,3
2009-2010,150162990252700,328,0,0
2009-2010,150162990250827,1015,0,0
2009-2010,041013200262003,240,2,1
2009-2010,120130100262001,180,0,1
2009-2010,120130100260002,106,0,0
2009-2010,120130100261001,70,0,1
2009-2010,460691170223011,11,0,0
2009-2010,150162990252132,707,0,0
2009-2010,140160590042003,328,0,0
2009-2010,340490600262007,743,0,0
2009-2010,150162990250838,227,0,0
2009-2010,150162990250545,1582,0,0
2009-2010,150162990252133,677,0,0
2009-2010,190222040261004,1226,1,8
2009-2010,190222000262018,521,2,0
2009-2010,041012050252019,421,1,0
2009-2010,150162990252134,1280,1,0
2009-2010,310450460222012,426,0,2
2009-2010,170200150260001,619,0,2
2009-2010,170200150261002,429,1,1
2009-2010,160194280262010,677,0,2
2009-2010,150162990252135,602,0,6
2009-2010,190220930042011,617,1,7
2009-2010,14016015X230000,19,0,1
2009-2010,240320010262005,390,3,7
2009-2010,240320010262003,330,1,2
2009-2010,240320010260001,680,0,2
2009-2010,240320010262004,316,0,4
2009-2010,240320010261002,495,0,1
2009-2010,020910170222002,310,0,2
2009-2010,020910170220001,175,0,0
2009-2010,020910170221001,83,0,0
2009-2010,100680030262006,215,0,1
2009-2010,310450460222013,589,0,2
2009-2010,150162990252918,280,0,1
2009-2010,170640050262008,735,0,6
2009-2010,150162990252136,574,0,0
2009-2010,140161590021001,796,0,0
2009-2010,19022136Z230000,456,0,0
2009-2010,150162990250841,347,0,0
2009-2010,41057079Z260000,97,0,0
2009-2010,410570100260001,2009,5,2
2009-2010,410570100261003,940,0,1
2009-2010,280371900022001,488,0,1
2009-2010,140161940021001,571,0,3
2009-2010,150162990252919,1121,0,0
2009-2010,450670040260001,600,0,0
2009-2010,450670040261001,571,0,0
2009-2010,480721500251007,189,0,0
2009-2010,140160990022003,574,0,0
2009-2010,150162990252138,330,0,2
2009-2010,410570070262003,382,0,4
2009-2010,140161220022001,386,0,0
2009-2010,140160990022015,1057,2,0
2009-2010,190220990160001,2106,1,15
2009-2010,190220990160002,3104,13,10
2009-2010,300732040042001,165,0,0
2009-2010,190220940160001,2168,2,6
2009-2010,150162990250846,144,0,0
2009-2010,19022164X160000,12,0,0
2009-2010,190220630022002,431,0,0
2009-2010,19022070X060000,77,1,0
2009-2010,14016266X060000,33,0,0
2009-2010,431021400262004,88,1,4
2009-2010,140161020022001,462,0,2
2009-2010,041012050252022,421,0,0
2009-2010,440631580222007,730,1,4
2009-2010,56099207U262001,143,0,0
2009-2010,190222050262003,432,2,2
2009-2010,150162990252139,611,1,2
2009-2010,330482050262022,120,0,2
2009-2010,140161580022001,664,0,0
2009-2010,140161510021001,529,0,0
2009-2010,410570090261003,873,0,0
2009-2010,150162990252141,514,2,3
2009-2010,150162990252142,741,0,1
2009-2010,140160210041002,727,0,1
2009-2010,340490700022004,387,2,3
2009-2010,150162990252704,362,0,2
2009-2010,56099201U262008,446,0,0
2009-2010,150162990252145,671,0,0
2009-2010,150162990250543,909,0,0
2009-2010,170534260042001,103,0,0
2009-2010,14016949Y030000,29,0,0
2009-2010,16019100Z260000,368,0,6
2009-2010,17064027X260000,410,0,8
2009-2010,14016520X140000,211,0,0
2009-2010,310453030262013,615,1,2
2009-2010,160194280262009,423,0,5
2009-2010,140161020022002,639,0,5
2009-2010,33048003X100000,218,0,0
2009-2010,140161030022008,296,1,0
2009-2010,140161690021001,238,0,0
2009-2010,340491180262007,661,0,12
2009-2010,450790010222001,115,0,0
2009-2010,450790010220001,65,0,0
2009-2010,450790010221002,42,0,0
2009-2010,14016838X160000,93,0,1
2009-2010,340490960042005,375,1,2
2009-2010,310453010262007,400,0,7
2009-2010,340492200262001,465,2,12
2009-2010,14016777X160000,132,0,5
2009-2010,09010029X010000,146,0,0
2009-2010,150162990252921,215,3,0
2009-2010,14016876S190000,19,0,0
2009-2010,440630470042003,544,0,0
2009-2010,11087003A262002,149,0,0
2009-2010,11087003A260001,142,0,0
2009-2010,490812000263001,86,0,0
2009-2010,211000030262001,304,0,0
2009-2010,211000030260001,149,0,0
2009-2010,150162990250815,244,0,0
2009-2010,150162990250008,727,0,0
2009-2010,211000020262003,182,0,0
2009-2010,34049106X160000,65,0,2
2009-2010,110230950253001,80,0,0
2009-2010,14016594X010000,286,0,2
2009-2010,31045050X160000,23,0,0
2009-2010,19022107X160000,89,2,0
2009-2010,14016969X160000,160,0,2
2009-2010,310450460222052,474,0,0
2009-2010,560992020222011,846,3,6
2009-2010,440632000261007,733,2,6
2009-2010,320382490262001,103,0,2
2009-2010,470711610042001,129,3,0
2009-2010,110230040262001,382,0,0
2009-2010,110230040261001,180,0,0
2009-2010,56099201U262004,491,1,3
2009-2010,56099201U263001,258,0,2
2009-2010,56099201U260001,1681,0,10
2009-2010,56099201U261002,718,1,1
2009-2010,56099201U262009,293,0,1
2009-2010,14016985Y100000,518,0,0
2009-2010,24047001X060000,311,0,7
2009-2010,200970050262007,171,0,0
2009-2010,140160360022001,364,1,4
2009-2010,150162990252147,385,1,0
2009-2010,440631550160001,1504,2,8
2009-2010,44063032X160000,195,8,6
2009-2010,440631550160003,1969,0,7
2009-2010,560992020222004,451,0,1
2009-2010,220290030262003,307,0,0
2009-2010,14016241P003101,26,0,0
2009-2010,150162990252617,566,0,1
2009-2010,150162990252637,282,3,2
2009-2010,110180770262003,386,1,4
2009-2010,140160620042004,275,0,3
2009-2010,110180770260001,295,2,1
2009-2010,110180770261001,286,0,0
2009-2010,150162990250617,3555,0,0
2009-2010,190220330022006,503,1,1
2009-2010,150162990252799,466,0,1
2009-2010,020440640022001,136,0,0
2009-2010,31045102X010000,130,1,1
2009-2010,48072113X140000,82,0,0
2009-2010,250330100262002,155,1,0
2009-2010,080892010262003,523,0,4
2009-2010,080892010260001,413,1,0
2009-2010,150162990252837,834,2,0
2009-2010,280060980022001,67,0,0
2009-2010,130140620022001,101,0,0
2009-2010,140160840022004,284,0,0
2009-2010,140160990022001,1135,0,0
2009-2010,340490600261003,627,0,0
2009-2010,340491030021001,776,0,2
2009-2010,190222040262026,443,4,9
2009-2010,54092024Z140000,51,0,1
2009-2010,540921180240022,1477,0,0
2009-2010,540921180243102,48,0,0
2009-2010,150162990252148,702,0,0
2009-2010,431021400262003,431,1,3
2009-2010,160194240262002,276,0,0
2009-2010,470712200261001,254,0,1
2009-2010,020910370042002,171,1,1
2009-2010,310453030262002,573,1,6
2009-2010,150162990252954,502,1,2
2009-2010,150162990252149,1495,1,0
2009-2010,150162990252150,1160,1,0
2009-2010,140160650042004,349,4,8
2009-2010,14016904X160000,11,0,0
2009-2010,14016693X030000,105,0,0
2009-2010,140162180160001,2207,1,4
2009-2010,150162990252825,948,0,0
2009-2010,160194280260011,1744,1,9
2009-2010,14016024Y100000,1174,0,0
2009-2010,440632000262003,336,0,5
2009-2010,390550610253002,47,0,0
2009-2010,39055016Z260000,234,1,5
2009-2010,150162990252805,288,0,0
2009-2010,50082052P003101,19,0,0
2009-2010,530907010260001,335,1,4
2009-2010,530907010262002,251,0,0
2009-2010,530907010262003,559,0,6
2009-2010,56099093X260000,173,2,0
2009-2010,350500820042001,84,1,0
2009-2010,440630260042005,548,3,5
2009-2010,340490670052007,554,1,4
2009-2010,340490670051003,511,1,0
2009-2010,340491130170001,1705,2,3
2009-2010,34049092X160000,21,1,0
2009-2010,34049005X160000,21,1,0
2009-2010,310453000263001,497,1,4
2009-2010,390740570262002,133,0,0
2009-2010,390740570260001,50,0,0
2009-2010,390740570261001,27,0,0
2009-2010,150162990252152,463,0,0
2009-2010,530907030262001,253,0,2
2009-2010,530907030260001,142,0,2
2009-2010,530907030261001,78,0,2
2009-2010,400421000262003,111,0,0
2009-2010,500820900042006,697,3,9
2009-2010,19022161X010000,73,0,9
2009-2010,150162990252153,492,0,1
2009-2010,490810410252007,476,0,5
2009-2010,210281680262003,424,0,1
2009-2010,041012050253001,322,0,0
2009-2010,390550610252004,248,0,0
2009-2010,150162990252605,611,0,0
2009-2010,280061030222001,405,0,0
2009-2010,280061030220001,113,0,0
2009-2010,150162990252154,250,8,1
2009-2010,34049094X010000,16,0,0
2009-2010,150162990252158,823,1,1
2009-2010,140160680022001,298,0,0
2009-2010,140160590042006,352,0,0
2009-2010,150162990250832,213,0,0
2009-2010,150162990252159,424,0,3
2009-2010,140160650042005,431,2,5
2009-2010,010011720222006,239,0,2
2009-2010,340490760022003,358,0,3
2009-2010,140161490022002,340,0,1
2009-2010,030250300262002,268,0,2
2009-2010,030250300260001,204,0,1
2009-2010,550980130022001,389,0,2
2009-2010,150162990252603,721,2,1
2009-2010,530901080022014,174,0,0
2009-2010,560990860051001,550,0,0
2009-2010,140161490021003,986,0,0
2009-2010,19022177X160000,8,0,0
2009-2010,50082066P003101,133,1,0
2009-2010,150162990252160,1610,1,1
2009-2010,150162990252949,263,1,2
2009-2010,510840100262005,88,1,0
2009-2010,14016282X100000,178,0,0
2009-2010,14016281X100000,184,0,0
2009-2010,150162990252161,672,1,1
2009-2010,470521700220001,914,0,4
2009-2010,250410070042001,140,0,0
2009-2010,150162990252927,470,15,1
2009-2010,530900860022008,239,0,2
2009-2010,041011220222015,791,0,5
2009-2010,500821890222049,231,0,0
2009-2010,020910660222001,164,0,0
2009-2010,020910660220001,81,0,0
2009-2010,020910660221001,38,0,0
2009-2010,320380030262002,188,1,2
2009-2010,320380030261001,70,0,0
2009-2010,320380030260001,154,0,0
2009-2010,150162990252937,347,0,0
2009-2010,150162990252167,619,0,0
2009-2010,140161170022002,608,3,6
2009-2010,041013230262003,303,5,4
2009-2010,410570100262024,951,0,2
2009-2010,280061150023001,188,1,2
2009-2010,170200150262003,182,0,1
2009-2010,500821180022004,337,1,3
2009-2010,140160540042019,548,2,6
2009-2010,150162990250831,481,0,0
2009-2010,400421000262004,116,0,0
2009-2010,19022112X110000,26,0,0
2009-2010,19022075X260000,206,0,7
2009-2010,140160650042024,365,0,8
2009-2010,140161040022001,231,0,0
2009-2010,090100040262010,407,0,0
2009-2010,560991610022006,787,0,6
2009-2010,140161525022001,210,0,0
2009-2010,150162990252169,233,0,0
2009-2010,560992020221005,855,0,2
2009-2010,140160990022004,778,0,0
2009-2010,150162990252172,308,0,1
2009-2010,140160250022002,516,0,2
2009-2010,150162990252173,244,1,0
2009-2010,510841860252015,494,0,3
2009-2010,190220130022002,364,0,2
2009-2010,150162990252175,456,1,1
2009-2010,150162990252176,391,0,0
2009-2010,500821890222008,447,0,0
2009-2010,150162990250531,1584,0,0
2009-2010,310453000262009,414,2,6
2009-2010,310453000261005,966,1,6
2009-2010,310453000260002,2463,2,13
2009-2010,480723230262002,326,2,1
2009-2010,480723230260004,1051,1,9
2009-2010,480723230261001,424,2,5
2009-2010,480723230261002,403,1,1
2009-2010,150162990252177,409,0,1
2009-2010,19022137X160000,39,0,1
2009-2010,19022135X160000,173,0,1
2009-2010,500821960260001,327,0,0
2009-2010,500821960261001,187,0,1
2009-2010,300733000262003,687,0,0
2009-2010,300733000262002,418,1,0
2009-2010,300733000260001,445,0,0
2009-2010,041013220262001,330,0,3
2009-2010,041013220260001,208,0,0
2009-2010,041013220261001,114,0,0
2009-2010,390550610252005,300,0,0
2009-2010,150162990252933,541,0,0
2009-2010,150162990252179,625,0,0
2009-2010,170532320022001,629,4,3
2009-2010,140160230022001,321,0,0
2009-2010,140160540041018,603,6,5
2009-2010,170532300170001,306,2,0
2009-2010,150162990250798,532,0,0
2009-2010,560992020222013,904,4,10
2009-2010,490810360022002,291,0,2
2009-2010,150162990252743,292,0,1
2009-2010,490810410252008,387,1,1
2009-2010,340491020042002,493,0,0
2009-2010,150162990252180,368,0,0
2009-2010,350500090262001,334,0,0
2009-2010,350500090260001,113,0,0
2009-2010,010011720223004,616,0,0
2009-2010,190222050263001,152,0,1
2009-2010,410570110263004,249,0,1
2009-2010,110703000263101,17,0,0
2009-2010,140160880023003,269,0,0
2009-2010,140164010262005,266,0,2
2009-2010,140161480023002,115,0,1
2009-2010,310451310223001,195,0,0
2009-2010,190220070023001,141,0,0
2009-2010,340491160263101,120,0,0
2009-2010,340491160262007,528,3,3
2009-2010,030250400262006,195,1,1
2009-2010,190220330023001,318,0,0
2009-2010,340490600263007,212,0,1
2009-2010,510841860253023,582,0,0
2009-2010,550980020263001,55,0,2
2009-2010,410570130021001,229,0,0
2009-2010,410570140160001,629,0,0
2009-2010,550980120022001,273,1,0
2009-2010,080431190222002,472,0,7
2009-2010,080431190220003,212,0,2
2009-2010,340490060022002,283,0,1
2009-2010,410570110262029,512,0,4
2009-2010,310451310220001,2923,0,0
2009-2010,34049041X100000,113,0,0
2009-2010,140162120160001,1744,1,5
2009-2010,49081019Z200000,317,1,25
2009-2010,540921180242020,709,3,2
2009-2010,530903090160001,1170,3,0
2009-2010,140160730022001,544,0,7
2009-2010,110213010261004,322,0,0
2009-2010,120800010262008,1059,0,8
2009-2010,120800010260001,649,0,2
2009-2010,120800010261002,436,0,1
2009-2010,250330100262004,481,1,2
2009-2010,200830030262009,475,1,2
2009-2010,500821890220043,1709,4,0
2009-2010,500821890221036,551,0,0
2009-2010,080083080262003,282,0,4
2009-2010,090101370022002,296,0,0
2009-2010,140161940022002,364,0,7
2009-2010,310453000262010,442,1,4
2009-2010,220290660252009,428,0,1
2009-2010,310450460221004,1012,1,5
2009-2010,410570130022002,519,0,0
2009-2010,150162990252181,1805,0,0
2009-2010,150162990252182,604,0,4
2009-2010,140160210042010,473,1,3
2009-2010,150162990252183,459,0,1
2009-2010,440630150042001,500,0,6
2009-2010,500821890222010,215,0,0
2009-2010,190220680022001,458,0,0
2009-2010,030250400262004,91,0,0
2009-2010,340491120021002,597,1,1
2009-2010,150162990252184,266,0,1
2009-2010,140161030022002,296,0,0
2009-2010,190222050262002,298,5,5
2009-2010,540921180242005,258,0,0
2009-2010,260621850262008,362,0,1
2009-2010,490810410251003,393,0,0
2009-2010,530901080021002,384,0,0
2009-2010,090100040261003,658,0,2
2009-2010,190222000261017,752,1,7
2009-2010,150162990252953,342,2,1
2009-2010,320461110252003,293,0,3
2009-2010,560990860052007,497,0,3
2009-2010,310451310222015,462,0,0
2009-2010,46069014P003101,39,0,1
2009-2010,140161110022010,287,1,0
2009-2010,200240010260005,348,1,0
2009-2010,150162990252185,1416,0,0
2009-2010,410570070260001,2416,3,2
2009-2010,510841860252045,246,0,0
2009-2010,140160540042002,615,1,0
2009-2010,030250400260001,900,0,5
2009-2010,030250400261001,591,0,2
2009-2010,020020050262002,317,0,2
2009-2010,020020050261001,106,0,1
2009-2010,020020050260001,167,0,2
2009-2010,31045047X010000,72,0,0
2009-2010,560990860052003,285,0,0
2009-2010,460691170222001,343,2,2
2009-2010,390550610250036,1155,1,0
2009-2010,190220610021004,591,4,7
2009-2010,041012050251006,957,0,0
2009-2010,140161510022002,340,0,1
2009-2010,431020110260001,351,0,3
2009-2010,431020110261001,317,0,1
2009-2010,190220580022002,305,0,0
2009-2010,140161275021001,388,0,2
2009-2010,20083013P003102,6,0,0
2009-2010,200830040262004,655,2,0
2009-2010,200830040260001,338,1,0
2009-2010,200830040261002,238,3,0
2009-2010,31045005Z010000,448,0,5
2009-2010,310450460220001,2377,0,4
2009-2010,14016880S030000,18,1,0
2009-2010,140160540042031,450,4,4
2009-2010,560992020222019,541,0,4
2009-2010,510841860252046,307,1,1
2009-2010,190220660022002,339,0,2
2009-2010,140160735022003,178,0,3
2009-2010,140162140170002,1929,10,4
2009-2010,150162990252187,455,0,0
2009-2010,010011720222007,315,3,0
2009-2010,041012050252024,612,0,0
2009-2010,500821750022002,384,0,0
2009-2010,310450460221005,606,0,1
2009-2010,190222030262002,283,0,2
2009-2010,190221810042001,288,0,8
2009-2010,140164010261001,422,0,0
2009-2010,340491120022001,477,0,3
2009-2010,190220100022002,322,0,0
2009-2010,19022166X010000,55,0,0
2009-2010,140164010262003,547,0,0
2009-2010,190222030262003,538,0,13
2009-2010,340490060022008,340,0,0
2009-2010,480723220262002,409,0,5
2009-2010,480723220260004,213,0,1
2009-2010,480723220261001,99,0,2
2009-2010,140164010260001,1010,0,0
2009-2010,190220930042007,411,0,0
2009-2010,300391960260001,156,0,0
2009-2010,300391960262004,116,0,0
2009-2010,300391960261002,119,0,0
2009-2010,300391960262003,89,0,0
2009-2010,560992030042001,433,2,3
2009-2010,14016783X100000,130,0,0
2009-2010,380540210262004,72,0,0
2009-2010,020020010222004,225,0,0
2009-2010,140160890022002,404,1,0
2009-2010,140161000022001,321,0,0
2009-2010,190222000262001,344,0,9
2009-2010,190222050262004,530,0,8
2009-2010,140160640041006,780,0,3
2009-2010,500821750021001,339,0,0
2009-2010,240470880262004,525,1,0
2009-2010,14016034X020000,208,0,0
2009-2010,150162990252189,523,0,0
2009-2010,340490330022001,334,0,3
2009-2010,080891450222006,251,2,3
2009-2010,140160540042030,508,1,4
2009-2010,140160830023001,75,0,2
2009-2010,510841860252016,297,0,0
2009-2010,390550610252007,266,0,0
2009-2010,150162990250802,335,0,0
2009-2010,340490600263009,80,0,0
2009-2010,150162990250853,119,0,0
2009-2010,340490600263008,356,0,1
2009-2010,14016368X100000,174,0,0
2009-2010,17064001X100000,427,0,0
2009-2010,190220130022004,412,0,5
2009-2010,150162990252190,556,0,0
2009-2010,490810400222010,213,0,0
2009-2010,15016299025219C,247,0,0
2009-2010,550980010262003,273,1,0
2009-2010,550980010260001,212,2,0
2009-2010,550980010261002,209,1,0
2009-2010,24032024C042002,26,0,0
2009-2010,140161220022002,314,0,2
2009-2010,150162990252191,399,0,0
2009-2010,500820900042002,408,8,1
2009-2010,470712690042002,112,0,2
2009-2010,140160260022001,480,0,0
2009-2010,140160210042003,515,0,0
2009-2010,140160640042004,665,0,9
2009-2010,490810410252009,348,0,5
2009-2010,410570110262007,320,0,3
2009-2010,431021400260001,510,0,3
2009-2010,431021400261002,473,0,1
2009-2010,14016347X270000,661,0,0
2009-2010,41057058X140000,449,3,0
2009-2010,140162020170001,3033,4,20
2009-2010,450791400262008,158,0,0
2009-2010,140160540042008,455,3,8
2009-2010,150162990252192,352,0,0
2009-2010,340490670052004,384,0,6
2009-2010,140161300021001,382,0,0
2009-2010,150162990252873,397,0,0
2009-2010,190220250022002,435,2,5
2009-2010,140162310160001,911,3,4
2009-2010,150162990252193,368,0,0
2009-2010,210281150042001,224,0,0
2009-2010,21028003Z140000,34,0,2
2009-2010,14016590X160000,54,0,0
2009-2010,140161110022007,278,0,0
2009-2010,190220100021001,284,0,1
2009-2010,310453040262008,348,0,4
2009-2010,200962250160001,470,0,0
2009-2010,150162990252913,655,1,0
2009-2010,340490760022004,305,0,3
2009-2010,560990890022002,336,0,0
2009-2010,190220580022003,326,0,0
2009-2010,041012050253073,967,2,2
2009-2010,140160540042010,509,4,1
2009-2010,140160570022002,548,0,2
2009-2010,170640050262005,454,1,0
2009-2010,510841860252017,276,0,0
2009-2010,140160720022002,606,1,3
2009-2010,53090016Z020000,103,0,1
2009-2010,50082021Z020000,28,0,0
2009-2010,31045053X140000,114,0,3
2009-2010,31045085X260000,100,0,4
2009-2010,30073006Z260000,22,0,0
2009-2010,39074004X140000,48,0,0
2009-2010,47052006Z260000,117,0,1
2009-2010,34049039X060000,179,0,3
2009-2010,44063002Y060000,38,0,1
2009-2010,150162990252194,1594,0,0
2009-2010,150162990252195,210,0,0
2009-2010,100680020262003,117,0,0
2009-2010,510840080262004,497,0,0
2009-2010,480722650262002,718,0,0
2009-2010,480722650260001,418,0,1
2009-2010,480722650261001,333,0,3
2009-2010,150162990252198,602,1,0
2009-2010,150162990250011,1731,1,0
2009-2010,560990860052004,693,1,1
2009-2010,250410990042001,63,0,0
2009-2010,14016123Y050000,130,0,0
2009-2010,310451290222017,647,0,3
2009-2010,510841860252043,322,0,0
2009-2010,150162990250012,1153,1,0
2009-2010,150162990250823,124,0,0
2009-2010,190221000160001,1536,2,1
2009-2010,14016028Y100000,1194,0,2
2009-2010,150162990252201,242,1,0
2009-2010,140161400022001,539,0,0
2009-2010,150162990252202,359,0,0
2009-2010,310453030262010,615,1,3
2009-2010,150162990252203,378,0,0
2009-2010,190222050262005,424,0,5
2009-2010,130581350022003,148,0,0
2009-2010,140161010022001,349,0,5
2009-2010,140160310021001,334,0,1
2009-2010,140160910022003,180,0,1
2009-2010,140161440022003,302,0,0
2009-2010,431020060262001,296,1,4
2009-2010,431020060262002,287,0,1
2009-2010,431020060260001,364,0,1
2009-2010,431020060262003,313,0,0
2009-2010,400421000262005,96,0,0
2009-2010,150162990252893,594,1,0
2009-2010,50082001X020000,155,0,3
2009-2010,10011003Z020000,61,0,1
2009-2010,54092001Z200000,149,0,8
2009-2010,14016659X010000,39,0,0
2009-2010,190222040261007,992,3,8
2009-2010,090100010262002,601,5,0
2009-2010,150162990252204,335,0,0
2009-2010,170530740272001,234,0,0
2009-2010,170530740270001,135,0,0
2009-2010,120130350260001,419,0,0
2009-2010,140161610022001,371,1,1
2009-2010,120130350261001,250,0,0
2009-2010,15016299025011C,257,0,0
2009-2010,150162990250013,1930,0,0
2009-2010,34049048X160000,115,4,0
2009-2010,140160620042005,427,1,0
2009-2010,190220410022004,550,0,4
2009-2010,140161010022002,269,0,0
2009-2010,560990860052005,323,0,3
2009-2010,140160910021001,292,0,1
2009-2010,140161020022003,460,5,0
2009-2010,140161630021010,622,0,2
2009-2010,140160590042008,421,1,1
2009-2010,340491870262002,456,0,0
2009-2010,470712210262003,319,1,0
2009-2010,470712210260004,481,0,2
2009-2010,150162990252206,584,0,0
2009-2010,150162990252618,491,0,0
2009-2010,14016777P003101,372,0,0
2009-2010,240473080262008,719,2,7
2009-2010,170640050262017,439,0,0
2009-2010,310450460222050,823,2,3
2009-2010,310453030262011,487,1,5
2009-2010,31045030X010000,185,0,1
2009-2010,440630030031001,241,0,6
2009-2010,31045099Z060000,8,0,0
2009-2010,31045009X160000,113,2,7
2009-2010,490810410252010,259,0,1
2009-2010,14016806X100000,819,0,5
2009-2010,190222040261003,841,0,3
2009-2010,14016743Z010000,919,5,5
2009-2010,56099078X100000,76,0,1
2009-2010,140161090022002,699,0,0
2009-2010,140160150042023,632,4,0
2009-2010,210281680260001,563,1,0
2009-2010,210281680262004,522,0,1
2009-2010,560991610022003,248,1,2
2009-2010,460690010262005,50,0,0
2009-2010,150162990252207,356,1,2
2009-2010,020610010262002,220,1,2
2009-2010,460691170222004,301,0,1
2009-2010,500821180022005,241,1,0
2009-2010,550980050262005,339,0,3
2009-2010,140160640042005,456,0,4
2009-2010,140161480022007,254,1,1
2009-2010,460690010260001,175,0,0
2009-2010,090100040261007,596,0,1
2009-2010,190222000261018,754,0,4
2009-2010,130581110022005,583,0,0
2009-2010,480721500252032,433,0,0
2009-2010,150162990252945,186,0,0
2009-2010,150162990252946,482,4,0
2009-2010,140160540042029,582,3,1
2009-2010,340490460042005,783,2,2
2009-2010,500820770160001,672,0,1
2009-2010,500820700042003,534,0,1
2009-2010,500820700042001,238,2,1
2009-2010,560992020222017,779,4,6
2009-2010,140161000021003,627,0,0
2009-2010,310451290222005,723,0,8
2009-2010,080891450220001,1356,1,1
2009-2010,080891450221002,641,0,2
2009-2010,340490790022001,718,0,2
2009-2010,340490790022002,714,0,1
2009-2010,340490790021001,725,0,1
2009-2010,140160590041016,643,0,0
2009-2010,310453040263001,68,0,0
2009-2010,410570090262007,429,0,0
2009-2010,190222040262024,810,2,8
2009-2010,150162990252209,242,0,0
2009-2010,190220040022003,590,0,3
2009-2010,150162990252210,546,0,0
2009-2010,550980020262005,434,1,2
2009-2010,550980020260001,317,0,0
2009-2010,500820900041002,528,0,2
2009-2010,150162990252211,588,0,0
2009-2010,56099118X230000,58,0,1
2009-2010,310451310222008,752,0,2
2009-2010,190220150022001,431,0,2
2009-2010,150162990250015,1586,0,0
2009-2010,04101205025202C,96,0,0
2009-2010,15016299025220C,319,0,0
2009-2010,200830010262002,262,0,0
2009-2010,200830010260001,98,0,0
2009-2010,200830010261001,55,0,0
2009-2010,150162990252212,513,0,0
2009-2010,330482050262018,370,3,1
2009-2010,080431200220002,234,0,1
2009-2010,080431200221001,240,0,2
2009-2010,080431200222002,337,0,1
2009-2010,33048009Z260000,54,1,0
2009-2010,330482050260023,1378,1,3
2009-2010,150162990252878,623,0,0
2009-2010,200300070262001,330,0,0
2009-2010,200300070260001,260,2,0
2009-2010,200300070261001,221,0,0
2009-2010,20097005P003102,15,0,0
2009-2010,150162990252213,1443,0,0
2009-2010,280372240262004,347,0,2
2009-2010,280372240260001,265,0,1
2009-2010,460090150262003,499,0,1
2009-2010,090100040262011,386,0,0
2009-2010,24032072C042001,224,0,0
2009-2010,240320730170001,201,0,0
2009-2010,140160890022003,563,2,0
2009-2010,140160910022004,181,0,0
2009-2010,140161700022007,427,0,0
2009-2010,310450460222015,470,0,0
2009-2010,490810400222012,327,0,4
2009-2010,540921180242008,315,0,0
2009-2010,390550610252011,369,0,0
2009-2010,150162990252956,118,0,0
2009-2010,480721500252033,379,0,0
2009-2010,150162990252773,379,0,1
2009-2010,150162990252214,660,1,0
2009-2010,310453000262025,501,0,5
2009-2010,150162990252215,1182,0,0
2009-2010,190220330022001,559,0,2
2009-2010,14016886S190000,5,0,0
2009-2010,340490370022003,470,0,0
2009-2010,340490370021001,492,1,3
2009-2010,090270050263001,10,0,0
2009-2010,090270050262004,518,3,1
2009-2010,090270050260001,308,1,6
2009-2010,090270050261003,226,0,1
2009-2010,200960140042001,87,0,0
2009-2010,140160630021003,753,0,0
2009-2010,140161330022001,387,0,0
2009-2010,300391860262010,465,1,0
2009-2010,280372280260001,892,6,3
2009-2010,280372280261002,631,3,5
2009-2010,310453040260001,1986,2,9
2009-2010,310453040261003,723,1,8
2009-2010,310453040261002,727,4,4
2009-2010,160194240262005,336,0,0
2009-2010,160194240260001,630,3,0
2009-2010,160194240261003,485,1,0
2009-2010,140161090021006,589,0,0
2009-2010,140160640042001,355,0,2
2009-2010,490810340022003,428,0,0
2009-2010,140161090022006,472,0,0
2009-2010,140161220022004,352,0,0
2009-2010,140160640042012,622,0,2
2009-2010,490810400222022,277,3,1
2009-2010,140161300022019,257,0,0
2009-2010,190222040262007,613,0,6
2009-2010,530901020021003,209,1,2
2009-2010,540920040260004,343,0,0
2009-2010,470712210262002,139,0,4
2009-2010,130140600022001,273,0,0
2009-2010,431020690022002,314,2,3
2009-2010,431020690022001,637,7,6
2009-2010,300391300042001,316,0,2
2009-2010,45067004Y100000,235,0,2
2009-2010,090101880042001,194,0,4
2009-2010,310453000262026,751,0,2
2009-2010,150162990252236,548,0,1
2009-2010,400560070260003,373,0,0
2009-2010,400560070261002,288,0,0
2009-2010,410570110262010,299,0,1
2009-2010,31045040X260000,50,0,0
2009-2010,400560030262005,318,0,0
2009-2010,400560030260001,328,0,0
2009-2010,440630470042011,740,0,2
2009-2010,140161090022007,123,0,0
2009-2010,410570070262006,377,0,2
2009-2010,190220890041003,731,1,4
2009-2010,340490600262008,481,0,1
2009-2010,140160340042001,541,3,2
2009-2010,190220160022002,970,1,0
2009-2010,480721500252034,653,0,0
2009-2010,140161170022003,658,0,1
2009-2010,190220870170001,2627,1,10
2009-2010,190220870170002,2674,1,7
2009-2010,190220870170004,1450,0,7
2009-2010,190220870170003,2221,3,13
2009-2010,310450460222017,460,0,0
2009-2010,140162250170001,2121,1,7
2009-2010,140162250170002,2622,2,3
2009-2010,530900860022003,181,0,0
