Year,RCDTS,Enrollment,PME,PBE
2009-2010,380652130261001,166,0,0
2009-2010,380652130260001,367,0,0
2009-2010,140160340041006,686,2,1
2009-2010,14016651S050000,36,0,0
2009-2010,150162990252061,287,0,0
2009-2010,390740390260001,112,0,0
2009-2010,390740390262003,302,0,0
2009-2010,510840100262003,502,0,1
2009-2010,041012050250001,1925,0,0
2009-2010,510840100260001,456,0,0
2009-2010,510840100261001,211,0,0
2009-2010,510840100262004,314,0,0
2009-2010,150162990252062,503,0,2
2009-2010,31045013Y100000,527,0,0
2009-2010,31045045Z260000,870,3,11
2009-2010,19022162X160000,137,0,0
2009-2010,31045002X110000,15,0,0
2009-2010,150162990250839,466,0,0
2009-2010,14016975Y010000,170,0,0
2009-2010,150162990250840,311,0,0
2009-2010,240471150262009,355,0,3
2009-2010,240322010042004,640,1,5
2009-2010,560992020221007,1188,1,3
2009-2010,150162990252063,464,0,0
2009-2010,19022014X010000,378,0,5
2009-2010,130140210022001,383,0,2
2009-2010,140160370022003,413,1,1
2009-2010,340490460042001,463,1,1
2009-2010,220291760262003,168,0,0
2009-2010,220291760260001,70,0,0
2009-2010,150162990252064,728,0,0
2009-2010,340490410042003,599,0,8
2009-2010,14016845Y050000,145,0,0
2009-2010,14016287X010000,292,3,3
2009-2010,010011720222019,1442,9,5
2009-2010,510840050262003,697,2,0
2009-2010,56099201U262003,544,0,5
2009-2010,150162990252065,356,1,0
2009-2010,14016006Y010000,100,0,0
2009-2010,480723230262004,435,2,5
2009-2010,340491060022001,188,0,0
2009-2010,340492200262009,469,0,2
2009-2010,14016130X010000,50,0,2
2009-2010,041012050252014,577,0,0
2009-2010,150162990252066,293,2,0
2009-2010,140161020022008,250,2,0
2009-2010,340492200260004,3052,1,25
2009-2010,340492200261004,1215,1,7
2009-2010,340492200261003,966,0,8
2009-2010,150162990252067,884,0,1
2009-2010,130140570022001,133,0,0
2009-2010,19022067X260000,60,0,2
2009-2010,310450460222009,620,2,7
2009-2010,310450460220004,2683,1,8
2009-2010,150162990252068,627,3,1
2009-2010,480720660022001,283,0,0
2009-2010,150162990252069,423,0,0
2009-2010,310451010220001,1872,5,6
2009-2010,150162990252070,1005,1,1
2009-2010,340490030041006,880,0,1
2009-2010,14016254X010000,105,0,0
2009-2010,140161630022002,390,0,1
2009-2010,150162990253760,160,2,2
2009-2010,46009015026001C,27,0,0
2009-2010,46009003Z260000,103,1,3
2009-2010,460090150260007,793,0,2
2009-2010,150162990252800,1425,0,2
2009-2010,150162990252078,1169,1,5
2009-2010,100680030262003,621,1,0
2009-2010,130140120042002,202,0,0
2009-2010,240473080261004,849,1,1
2009-2010,190222030262012,794,2,5
2009-2010,030250200262003,153,0,0
2009-2010,030250200260001,198,0,0
2009-2010,56099200U262002,455,0,1
2009-2010,56099200U260001,391,0,0
2009-2010,56099200U261001,271,1,1
2009-2010,150162990252079,387,0,0
2009-2010,150162990252080,494,0,0
2009-2010,150162990252081,612,2,2
2009-2010,150162990252082,949,3,3
2009-2010,190220580022001,263,0,3
2009-2010,280372290262004,285,0,1
2009-2010,250410050042001,98,0,1
2009-2010,500821190022001,501,0,2
2009-2010,500821190021001,389,0,0
2009-2010,500822010170001,2640,1,2
2009-2010,500822010170002,2254,4,5
2009-2010,310453030262012,576,1,4
2009-2010,150162990252923,635,0,0
2009-2010,040041000261003,1145,3,7
2009-2010,040041000260001,1197,1,1
2009-2010,040041000260002,1551,2,8
2009-2010,040041000261002,905,0,0
2009-2010,390740050262001,205,0,0
2009-2010,390740050260001,113,0,0
2009-2010,390740050261001,86,0,0
2009-2010,19022038Y100000,1331,1,5
2009-2010,250410800023002,322,0,0
2009-2010,190220410022002,607,3,5
2009-2010,390550610252009,288,0,0
2009-2010,490810400222011,304,0,1
2009-2010,510841860251006,806,1,0
2009-2010,190220250021001,390,1,3
2009-2010,400560070262003,684,1,0
2009-2010,020020010222003,147,0,0
2009-2010,150162990252083,602,0,2
2009-2010,170640870252003,373,0,2
2009-2010,560991220022008,463,1,3
2009-2010,210281030130001,565,0,0
2009-2010,210280470041002,437,1,0
2009-2010,210280470042001,624,1,1
2009-2010,04101001Z020000,255,1,0
2009-2010,140161490022006,383,0,1
2009-2010,56099365U262003,541,0,2
2009-2010,410570120262006,122,0,0
2009-2010,041012050251008,849,0,0
2009-2010,14016211X050000,514,0,0
2009-2010,010011720222008,250,3,0
2009-2010,200961000262003,93,0,0
2009-2010,140161460042002,558,2,4
2009-2010,150162990250529,146,0,0
2009-2010,410570080262003,411,0,0
2009-2010,410570080262004,200,0,0
2009-2010,19022001X060000,250,1,0
2009-2010,250410820022001,147,0,0
2009-2010,53090022X060000,356,2,0
2009-2010,14016201X060000,96,0,0
2009-2010,150162990252084,369,0,0
2009-2010,140160230022004,339,0,0
2009-2010,140160910022001,165,0,2
2009-2010,340490060022007,357,0,2
2009-2010,530900500022002,405,0,7
2009-2010,14016735X160000,89,0,0
2009-2010,041012050252016,256,0,0
2009-2010,31045054Z270000,4,0,0
2009-2010,490810400222019,344,0,1
2009-2010,32046014Y100000,401,0,1
2009-2010,540920010262001,330,1,4
2009-2010,540920010260005,380,1,1
2009-2010,540920010261001,250,1,0
2009-2010,190220150022006,522,0,0
2009-2010,510841860252013,224,0,0
2009-2010,150162990252086,483,1,2
