Year,RCDTS,Enrollment,PBE,PME
2011-2012,10010010260001,239,0,0
2011-2012,10010010262002,286,0,0
2011-2012,10010020260001,297,0,0
2011-2012,10010020262002,365,2,0
2011-2012,01001002X060000,149,0,0
2011-2012,10010030260001,265,3,0
2011-2012,10010030261001,281,3,0
2011-2012,10010030262003,277,2,1
2011-2012,10010030262008,126,0,0
2011-2012,10010040260001,201,1,0
2011-2012,10010040261001,266,0,0
2011-2012,10010040262004,145,0,0
2011-2012,10010040262006,99,0,0
2011-2012,01001005X100000,171,0,0
2011-2012,01001006X100000,274,2,0
2011-2012,01001007X100000,170,0,0
2011-2012,01001009X100000,391,0,7
2011-2012,01001012Y100000,386,0,1
2011-2012,01001025Z260000,64,11,0
2011-2012,10011720220003,1558,4,18
2011-2012,10011720221003,1449,6,15
2011-2012,10011720222004,349,1,0
2011-2012,10011720222006,249,1,0
2011-2012,10011720222007,333,0,1
2011-2012,10011720222008,230,0,1
2011-2012,10011720222009,399,4,3
2011-2012,10011720222016,270,3,2
2011-2012,10011720222017,279,0,1
2011-2012,10011720222019,1492,4,8
2011-2012,10011720223004,646,2,0
2011-2012,10011720223005,11,0,0
2011-2012,10750030260002,94,0,0
2011-2012,10750030262001,224,0,0
2011-2012,10750040260002,100,0,0
2011-2012,10750040261002,142,0,0
2011-2012,10750040262001,184,0,0
2011-2012,10750100260009,380,4,0
2011-2012,10750100262007,368,0,0
2011-2012,10750100262010,558,2,0
2011-2012,10750100263001,8,0,0
2011-2012,10750120260001,182,0,0
2011-2012,10750120261001,225,0,0
2011-2012,10750120262001,254,0,0
2011-2012,20020010220001,180,0,0
2011-2012,20020010222004,342,0,0
2011-2012,20020050260001,132,0,0
2011-2012,20020050261001,108,2,0
2011-2012,20020050262002,286,1,0
2011-2012,20440010260001,196,0,0
2011-2012,20440010262001,452,0,0
2011-2012,20440320032003,279,1,0
2011-2012,20440430032001,77,0,0
2011-2012,20440550022001,422,2,0
2011-2012,20441330170001,331,2,0
2011-2012,20610010260001,615,3,0
2011-2012,20610010261001,288,1,0
2011-2012,20610010262001,165,3,0
2011-2012,20610010262002,197,0,0
2011-2012,20610010262003,529,5,2
2011-2012,20610010262006,156,1,0
2011-2012,20610010262010,179,1,0
2011-2012,20610380260001,106,0,0
2011-2012,20610380262001,174,3,0
2011-2012,02077001Z140000,16,4,0
2011-2012,20771000260001,182,13,0
2011-2012,20771000262004,239,19,0
2011-2012,20771010260001,155,0,1
2011-2012,20771010262005,463,3,0
2011-2012,20910170220001,133,0,0
2011-2012,20910170221001,92,0,0
2011-2012,20910170222002,355,0,0
2011-2012,20910370041001,312,1,1
2011-2012,20910370042002,136,0,0
2011-2012,20910370042003,302,1,0
2011-2012,20910430042001,433,0,0
2011-2012,20910660220001,73,0,0
2011-2012,20910660221001,47,0,0
