Year,RCDTS,Enrollment,PBE,PME
2014-2015,010010010260001,211,0,0
2014-2015,010010010262002,314,0,0
2014-2015,010010020260001,295,0,0
2014-2015,010010020262002,356,0,1
2014-2015,01001002X060000,120,0,0
2014-2015,010010030260001,280,2,0
2014-2015,010010030261001,242,0,0
2014-2015,010010030262003,230,3,0
2014-2015,010010030262008,146,0,0
2014-2015,010010040260001,231,0,0
2014-2015,010010040261001,214,0,0
2014-2015,010010040262004,143,0,0
2014-2015,010010040262006,90,1,0
2014-2015,01001005X100000,197,5,0
2014-2015,01001006X100000,348,1,1
2014-2015,01001007X100000,229,0,0
2014-2015,01001009X100000,452,3,2
2014-2015,01001012Y100000,410,0,2
2014-2015,010011720220003,"1,429",5,12
2014-2015,010011720221003,"1,430",5,9
2014-2015,010011720222004,350,4,1
2014-2015,010011720222006,257,0,0
2014-2015,010011720222007,323,1,0
2014-2015,010011720222008,193,3,0
2014-2015,010011720222009,396,2,1
2014-2015,010011720222016,255,1,0
2014-2015,010011720222017,280,0,0
2014-2015,010011720222019,"1,457",9,12
2014-2015,010011720223004,508,2,1
2014-2015,010011720223005,9,0,0
2014-2015,010750030260002,105,0,0
2014-2015,010750040260002,112,0,0
2014-2015,010750040261002,99,0,0
2014-2015,010750040262001,180,0,1
2014-2015,010750100260009,348,2,0
2014-2015,010750100262007,379,4,0
2014-2015,010750100262010,579,2,0
2014-2015,010750120260001,149,0,0
2014-2015,010750120261001,206,0,0
2014-2015,010750120262001,248,0,0
2014-2015,020020010220001,206,0,0
2014-2015,020020010222004,294,1,0
2014-2015,020020050260001,124,2,0
2014-2015,020020050261001,91,1,0
2014-2015,020020050262002,267,5,0
2014-2015,020440010260001,209,0,0
2014-2015,020440010262001,438,1,0
2014-2015,020440320032003,258,0,0
2014-2015,020440550022001,429,1,2
2014-2015,020440640022001,136,1,0
2014-2015,020441330170001,349,1,0
2014-2015,020610010260001,644,4,0
2014-2015,020610010261001,335,5,0
2014-2015,020610010262001,136,1,0
2014-2015,020610010262002,193,0,0
2014-2015,020610010262006,155,0,0
2014-2015,020610010262010,177,0,0
2014-2015,020610380260001,99,0,0
2014-2015,020610380262001,166,3,0
2014-2015,020771000260001,221,16,0
2014-2015,020771000262004,176,14,0
2014-2015,020771010260001,132,1,0
2014-2015,020771010262005,409,4,1
2014-2015,020910160042001,125,2,0
2014-2015,020910170220001,171,0,0
2014-2015,020910170221001,143,0,0
2014-2015,020910170222002,245,0,1
2014-2015,020910370041001,320,0,0
