Year,RCDTS,Enrollment,PBE,PME
2007-2008,90100080262001,246,0,0
2007-2008,90101160223002,250,0,0
2007-2008,90101160222004,272,0,0
2007-2008,90101160222008,275,0,0
2007-2008,90100010260001,323,0,0
2007-2008,90100070262007,336,0,0
2007-2008,90100040262010,403,0,0
2007-2008,90100040263016,367,0,0
2007-2008,90100070261005,356,0,0
2007-2008,90101160222007,366,0,0
2007-2008,90100040262026,382,0,0
2007-2008,90100040262013,392,0,0
2007-2008,90100040262007,419,2,0
2007-2008,90100030262004,415,0,0
2007-2008,90100070260007,461,0,0
2007-2008,90100070262006,469,0,0
2007-2008,90100040262017,516,0,1
2007-2008,90100040261007,582,0,0
2007-2008,90100040261003,643,0,0
2007-2008,90100030261002,636,0,0
2007-2008,09010027Z150000,5,0,0
2007-2008,09010013Z260000,507,3,0
2007-2008,09010034X260000,44,0,0
2007-2008,09010001X100000,368,1,0
2007-2008,09010002X100000,182,0,0
2007-2008,09010028X160000,137,1,1
2007-2008,09010014X060000,216,1,0
2007-2008,09010006X100000,459,3,1
2007-2008,09010007X010000,25,0,0
2007-2008,09010024X010000,52,0,0
2007-2008,09010004X100000,86,0,0
2007-2008,09010029X010000,141,0,0
2007-2008,09010038X010000,199,0,0
2007-2008,09010043Y100000,376,1,0
2007-2008,09010032Z070000,14,0,0
2007-2008,Champaign County Total,25856,80,9
2007-2008,100110030262004,265,1,1
2007-2008,100110030261005,771,1,0
2007-2008,100110030260006,999,1,2
2007-2008,100110030262006,38,0,0
2007-2008,100110010261001,47,0,0
2007-2008,100110040261001,71,0,0
2007-2008,100110030262005,102,0,0
2007-2008,100110040260002,102,0,0
2007-2008,100110010260002,126,0,0
2007-2008,100110010262001,162,0,0
2007-2008,100110140242001,171,0,0
2007-2008,100110040262001,180,0,1
2007-2008,100110080262004,207,0,0
2007-2008,100110030262002,213,0,0
2007-2008,100110080261005,224,0,0
2007-2008,100110080262003,225,0,1
2007-2008,100110030262003,264,0,2
2007-2008,100110030262001,265,0,0
2007-2008,100110080262001,289,0,0
2007-2008,100110140240001,363,0,0
2007-2008,100110080260006,504,0,0
2007-2008,10011001X100000,162,2,0
2007-2008,10011004X100000,106,0,0
2007-2008,10011007X260000,137,0,0
2007-2008,10011003Z020000,80,4,0
2007-2008,Christian County Total,6073,9,7
2007-2008,11012004C261001,194,1,1
2007-2008,11012003C262005,220,1,0
2007-2008,11012002C260001,429,2,0
2007-2008,11012003C261001,64,0,0
2007-2008,11012003C260001,138,0,0
2007-2008,11012002C261002,218,0,0
2007-2008,11012002C262005,326,0,0
2007-2008,11012004C260001,371,0,0
2007-2008,11012002C262003,446,0,0
2007-2008,11012004C262003,521,0,2
2007-2008,Clark County Total,2927,4,3
2007-2008,120130100260002,115,1,0
2007-2008,120130350262006,161,1,0
2007-2008,120130250260001,199,1,0
2007-2008,120130350262002,298,1,0
2007-2008,120130250262004,504,3,0
2007-2008,120130100261001,81,0,0
2007-2008,120130350262001,110,0,0
2007-2008,120130350262005,148,0,0
2007-2008,120130100262001,170,0,0
2007-2008,120130350261001,292,0,0
2007-2008,120130350260001,454,0,1
2007-2008,Clay County Total,2532,7,1
2007-2008,130140030262002,146,1,0
2007-2008,130140630022001,166,1,0
2007-2008,130140030262005,251,1,0
2007-2008,130140210022001,367,1,0
2007-2008,130140010262002,527,2,2
2007-2008,130140010261001,389,6,1
2007-2008,130141860022001,112,0,0
2007-2008,130140620022001,110,0,0
2007-2008,130140570022001,150,0,0
2007-2008,130140460022001,167,0,0
2007-2008,130140030262004,170,0,0
2007-2008,130140120042002,202,0,0
2007-2008,130140030262001,225,0,0
2007-2008,130140030261001,228,0,0
2007-2008,130140600022001,285,0,0
2007-2008,130140010260001,373,0,0
2007-2008,130140030260006,425,0,0
2007-2008,130140120042001,440,1,0
2007-2008,130140710160001,613,0,0
2007-2008,130141415022001,186,0,2
2007-2008,13014008X060000,92,0,0
2007-2008,13014004X100000,376,0,0
2007-2008,13014001Y100000,499,0,0
2007-2008,Clinton County Total,6499,13,5
2007-2008,110150010262007,108,1,0
2007-2008,110150010262006,233,1,0
