,Year,State,FIPS,Age,Total_enrolled,PBE_total,PBE_total-philosophy,PBE_total-religion,MED_EXEMPT,NME_EXEMPT,TOT_EXEMPT,TOT_EXEMPT_RATE,MED_EXEMPT_RATE,NME_EXEMPT_RATE,RELIG_RATE,PHILOS_RATE,PERTUSSIS_EXEMPT,PERTUSSIS_EXEMPT_RATE,VARICELLA_EXEMPT,VARICELLA_EXEMPT_RATE,FLU_EXEMPT,FLU_EXEMPT_RATE,MEASLES_EXEMPT,MEASLES_EXEMPT_RATE,linestyle
20,2000.0,California,06041,KG,2674.0,66.0,0.0,0.0,6.0,66.0,72.0,0.02692595362752431,0.002243829468960359,0.02468212415856395,0.0,0.0,139.0,0.051982049364248314,0.0,0.0,0.0,0.0,170.0,0.06357516828721017,0
21,2000.0,California,06043,KG,111.0,4.0,0.0,0.0,0.0,4.0,4.0,0.036036036036036036,0.0,0.036036036036036036,0.0,0.0,12.0,0.10810810810810811,0.0,0.0,0.0,0.0,9.0,0.08108108108108109,0
22,2000.0,California,06045,KG,1074.0,39.0,0.0,0.0,0.0,39.0,39.0,0.036312849162011177,0.0,0.036312849162011177,0.0,0.0,96.0,0.0893854748603352,0.0,0.0,0.0,0.0,90.0,0.08379888268156424,0
23,2000.0,California,06047,KG,3963.0,15.0,0.0,0.0,2.0,15.0,17.0,0.004289679535705274,0.0005046681806712087,0.003785011355034065,0.0,0.0,145.0,0.03658844309866263,0.0,0.0,0.0,0.0,134.0,0.03381276810497098,0
24,2000.0,California,06049,KG,135.0,6.0,0.0,0.0,0.0,6.0,6.0,0.044444444444444446,0.0,0.044444444444444446,0.0,0.0,8.0,0.05925925925925926,0.0,0.0,0.0,0.0,9.0,0.06666666666666667,0
25,2000.0,California,06051,KG,135.0,4.0,0.0,0.0,0.0,4.0,4.0,0.02962962962962963,0.0,0.02962962962962963,0.0,0.0,10.0,0.07407407407407407,0.0,0.0,0.0,0.0,13.0,0.0962962962962963,0
26,2000.0,California,06053,KG,6428.0,32.0,0.0,0.0,4.0,32.0,36.0,0.005600497822028625,0.0006222775357809583,0.004978220286247666,0.0,0.0,190.0,0.02955818294959552,0.0,0.0,0.0,0.0,190.0,0.02955818294959552,0
27,2000.0,California,06055,KG,1508.0,7.0,0.0,0.0,0.0,7.0,7.0,0.004641909814323607,0.0,0.004641909814323607,0.0,0.0,93.0,0.0616710875331565,0.0,0.0,0.0,0.0,78.0,0.05172413793103448,0
28,2000.0,California,06057,KG,814.0,50.0,0.0,0.0,1.0,50.0,51.0,0.06265356265356266,0.0012285012285012285,0.06142506142506143,0.0,0.0,87.0,0.10687960687960688,0.0,0.0,0.0,0.0,94.0,0.11547911547911548,0
29,2000.0,California,06059,KG,45849.0,339.0,0.0,0.0,89.0,339.0,428.0,0.009334990948548496,0.00194115465986172,0.007393836288686776,0.0,0.0,1994.0,0.04349058867150865,0.0,0.0,0.0,0.0,2283.0,0.04979388863443041,0
30,2000.0,California,06061,KG,4248.0,124.0,0.0,0.0,11.0,124.0,135.0,0.03177966101694915,0.0025894538606403015,0.02919020715630885,0.0,0.0,327.0,0.0769774011299435,0.0,0.0,0.0,0.0,313.0,0.07368173258003767,0
31,2000.0,California,06063,KG,190.0,4.0,0.0,0.0,0.0,4.0,4.0,0.021052631578947368,0.0,0.021052631578947368,0.0,0.0,9.0,0.04736842105263158,0.0,0.0,0.0,0.0,11.0,0.05789473684210526,0
32,2000.0,California,06065,KG,25925.0,128.0,0.0,0.0,26.0,128.0,154.0,0.005940212150433944,0.0010028929604628737,0.00493731918997107,0.0,0.0,764.0,0.029469623915139825,0.0,0.0,0.0,0.0,685.0,0.026422372227579555,0
