Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
83.2%,88.8%,0.9%,87.9%,4.7%,Combined (School-level Rate),87.9%,89.7%,11.2%,87.9%,N/A,1,86.0%,59 Firth,A.W. Johnson Elementary,A.W. Johnson Elementary FIRTH,2017-2018,ID,N/A,89,1,107,5,12,86.9%,-112.178256,43.305803,735 North 600 East,FIRTH,Firth,A.W. JOHNSON ELEMENTARY SCHOOL,83236
96.0%,100.0%,0.6%,98.3%,3.4%,Combined (School-level Rate),96.0%,97.2%,0.0%,96.6%,N/A,1,98.3%,1 Boise,Riverside Elementary,Riverside Elementary BOISE,2017-2018,ID,N/A,169,1,176,6,0,96.6%,-116.159796,43.575127,2100 E. Victory,BOISE,Boise,RIVERSIDE ELEMENTARY SCHOOL-BOISE,83706
95.4%,100.0%,0.7%,96.7%,3.9%,Combined (School-level Rate),N/A,98.0%,0.0%,98.0%,96.7%,1,97.4%,331 Minidoka,West Minico Middle,West Minico Middle PAUL,2017-2018,ID,97.4%,146,1,153,6,0,N/A,-113.783978,42.641763,155 S 600 W,PAUL,Paul,WEST MINICO MIDDLE SCHOOL,83347
93.8%,100.0%,0.9%,98.2%,5.4%,Combined (School-level Rate),95.5%,97.3%,0.0%,97.3%,N/A,1,98.2%,2 West Ada,Seven Oaks Elementary,Seven Oaks Elementary EAGLE,2017-2018,ID,N/A,105,1,112,6,0,98.2%,-116.323777,43.708347,1441 N. Sevenoaks Way,EAGLE,Eagle,SEVEN OAKS ELEMENTARY SCHOOL,83616
93.9%,100.0%,0.9%,93.9%,5.2%,Combined (School-level Rate),93.9%,96.5%,0.0%,94.8%,N/A,1,94.8%,93 Bonneville,Tiebreaker Elementary,Tiebreaker Elementary IDAHO FALLS,2017-2018,ID,N/A,108,1,115,6,0,93.9%,-111.973248,43.496323,3100 1st Street,IDAHO FALLS,Idaho Falls,TIEBREAKER ELEMENTARY SCHOOL,83401
89.8%,97.7%,1.1%,96.6%,6.8%,Combined (School-level Rate),97.7%,95.5%,2.3%,96.6%,N/A,1,94.3%,1 Boise,Mountain View Elementary,Mountain View Elementary BOISE,2017-2018,ID,N/A,79,1,88,6,2,92.0%,-116.271492,43.636194,3500 N. Cabarton Ln,BOISE,Boise,MOUNTAIN VALLEY ELEMENTARY,83704
91.8%,97.5%,0.8%,93.4%,4.9%,Combined (School-level Rate),92.6%,95.9%,2.5%,93.4%,N/A,1,93.4%,91 Idaho Falls,Edgemont Gardens Elementary,Edgemont Gardens Elementary IDAHO FALLS,2017-2018,ID,N/A,112,1,122,6,3,93.4%,-112.009116,43.4804,1240 Azalea,IDAHO FALLS,Idaho Falls,EDGEMONT GARDENS ELEMENTARY SCHOOL,83404
89.9%,97.0%,1.0%,92.9%,6.1%,Combined (School-level Rate),91.9%,96.0%,3.0%,94.9%,N/A,1,94.9%,272 Lakeland,Athol Elementary,Athol Elementary ATHOL,2017-2018,ID,N/A,89,1,99,6,3,94.9%,-116.69972,47.944232,6333 E. Menser Ave,ATHOL,Athol,ATHOL ELEMENTARY SCHOOL,83801
93.1%,96.8%,0.5%,93.1%,3.2%,Combined (School-level Rate),94.7%,95.7%,3.2%,93.1%,N/A,1,93.1%,25 Pocatello,Claude A. Wilcox Elementary,Claude A. Wilcox Elementary POCATELLO,2017-2018,ID,N/A,175,1,188,6,6,94.1%,-112.473928,42.8989,427 Lark Lane,POCATELLO,Pocatello,CLAUDE A. WILCOX ELEMENTARY SCHOOL,83201
78.3%,84.3%,0.9%,87.0%,5.2%,Combined (School-level Rate),90.4%,92.2%,15.7%,87.0%,N/A,1,87.0%,3 Kuna,Crimson Point Elementary,Crimson Point Elementary KUNA,2017-2018,ID,N/A,90,1,115,6,18,84.3%,-116.443584,43.507499,1941 N. Shayla,KUNA,Kuna,CRIMSON POINT ELEMENTARY SCHOOL,83634
94.2%,100.0%,0.7%,96.4%,5.1%,Combined (School-level Rate),95.6%,97.8%,0.0%,97.1%,N/A,1,96.4%,25 Pocatello,Rulon M. Ellis Elementary,Rulon M. Ellis Elementary CHUBBUCK,2017-2018,ID,N/A,129,1,137,7,0,96.4%,-112.456534,42.934922,5500 Whitaker Road,CHUBBUCK,Chubbuck,RULON M ELLIS ELEMENTARY SCHOOL,83202
93.8%,100.0%,0.8%,93.8%,5.5%,Combined (School-level Rate),95.3%,95.3%,0.0%,94.5%,N/A,1,94.5%,150 Soda Springs,Howard Thirkill Elementary,Howard Thirkill Elementary SODA SPRINGS,2017-2018,ID,N/A,120,1,128,7,0,94.5%,-111.602701,42.650382,60 East 4th South,SODA SPRINGS,Soda Springs,HOWARD THIRKILL ELEMENTARY SCHOOL,83276
91.9%,99.1%,0.9%,93.7%,6.3%,Combined (School-level Rate),97.3%,97.3%,0.9%,93.7%,N/A,1,95.5%,171 Orofino,Orofino Elementary,Orofino Elementary OROFINO,2017-2018,ID,N/A,102,1,111,7,1,94.6%,-116.244824,46.482858,300 Dunlap Road,OROFINO,Orofino,OROFINO ELEMENTARY SCHOOL,83544
93.1%,98.6%,0.7%,95.1%,4.9%,Combined (School-level Rate),94.4%,95.8%,1.4%,94.4%,N/A,1,94.4%,1 Boise,Amity Elementary,Amity Elementary BOISE,2017-2018,ID,N/A,134,1,144,7,2,93.8%,-116.305871,43.561178,10000 W Amity Road,BOISE,Boise,AMITY ELEMENTARY SCHOOL,83709
31.3%,81.3%,6.3%,68.8%,43.8%,Combined (School-level Rate),54.5%,62.5%,18.8%,68.8%,N/A,1,62.5%,Private,Summit Academy,Summit Academy COTTONWOOD,2017-2018,ID,N/A,5,1,16,7,3,45.5%,-116.358446,46.0848,122 Substation Rd,COTTONWOOD,Cottonwood,SUMMIT ACADEMY,83522
95.1%,98.1%,0.4%,97.8%,2.6%,Combined (School-level Rate),N/A,98.5%,1.9%,98.9%,97.0%,1,98.9%,25 Pocatello,Alameda Middle,Alameda Middle POCATELLO,2017-2018,ID,97.4%,254,1,267,7,5,N/A,-112.456402,42.890449,845 McKinley,POCATELLO,Pocatello,ALAMEDA MIDDLE SCHOOL,83201
89.4%,95.1%,0.7%,93.7%,4.9%,Combined (School-level Rate),92.3%,94.4%,4.9%,93.0%,N/A,1,93.7%,3 Kuna,Silver Trail Elementary,Silver Trail Elementary MERIDIAN,2017-2018,ID,N/A,127,1,142,7,7,90.8%,-116.433712,43.526421,2950 W Mason Creek St.,MERIDIAN,Meridian,SILVER TRAIL ELEMENTARY SCHOOL,83642
94.6%,100.0%,0.6%,95.8%,4.8%,Combined (School-level Rate),96.4%,97.0%,0.0%,95.8%,N/A,1,95.8%,139 Vallivue,Central Canyon Elementary,Central Canyon Elementary CALDWELL,2017-2018,ID,N/A,157,1,166,8,0,95.8%,-116.66306,43.610912,16437 S. Florida Ave.,CALDWELL,Caldwell,CENTRAL CANYON ELEMENTARY SCHOOL,83607
82.4%,100.0%,2.0%,84.3%,15.7%,Combined (School-level Rate),90.2%,94.1%,0.0%,88.2%,N/A,1,86.3%,192 Glenns Ferry,Glenns Ferry Elementary,Glenns Ferry Elementary GLENNS FERRY,2017-2018,ID,N/A,42,1,51,8,0,86.3%,-115.308561,42.959342,639 North Bannock Ave,GLENNS FERRY,Glenns Ferry,GLENNS FERRY ELEMENTARY SCHOOL,83623
69.0%,100.0%,3.4%,82.8%,27.6%,Combined (School-level Rate),86.4%,82.8%,0.0%,82.8%,N/A,1,75.9%,Private,Sandpoint Christian,Sandpoint Christian PONDERAY,2017-2018,ID,N/A,20,1,29,8,0,72.7%,-116.546277295,48.319732504,477954 Highway 95 N,PONDERAY,Ponderay,SANDPOINT CHRISTIAN SCHOOL,83852
90.2%,99.0%,1.0%,93.1%,7.8%,Combined (School-level Rate),93.1%,93.1%,1.0%,93.1%,N/A,1,95.1%,1 Boise,Hillcrest Elementary,Hillcrest Elementary BOISE,2017-2018,ID,N/A,92,1,102,8,1,93.1%,-116.240392,43.584423,2045 S Pond st.,BOISE,Boise,HILLCREST ELEMENTARY SCHOOL - AMERICAN FALLS,83705
87.2%,96.8%,1.1%,91.5%,8.5%,Combined (School-level Rate),91.5%,92.6%,3.2%,91.5%,N/A,1,91.5%,136 Melba,Melba Elementary,Melba Elementary MELBA,2017-2018,ID,N/A,82,1,94,8,3,89.4%,-116.529901,43.375397,520 Broadway Ave,MELBA,Melba,MELBA ELEMENTARY SCHOOL,83641
89.2%,93.6%,0.5%,94.1%,3.9%,Combined (School-level Rate),93.1%,93.1%,6.4%,94.1%,N/A,1,94.6%,411 Twin Falls,Oregon Trail Elementary,Oregon Trail Elementary TWIN FALLS,2017-2018,ID,N/A,182,1,204,8,13,93.6%,-114.465919,42.5416,660 Park Ave,TWIN FALLS,Twin Falls,OREGON TRAIL ELEMENTARY SCHOOL,83301
94.8%,100.0%,0.5%,97.4%,4.6%,Combined (School-level Rate),N/A,97.9%,0.0%,97.4%,95.9%,1,97.4%,60 Shelley,Hobbs Middle,Hobbs Middle SHELLEY,2017-2018,ID,95.9%,184,1,194,9,0,N/A,-112.118113,43.379681,350 E Pine,SHELLEY,Shelley,HOBBS MIDDLE SCHOOL,83274
83.3%,100.0%,1.7%,95.0%,15.0%,Combined (School-level Rate),94.4%,88.3%,0.0%,95.0%,87.5%,1,93.3%,Private,Riverstone International,Riverstone International BOISE,2017-2018,ID,87.5%,50,1,60,9,0,94.4%,-116.114417252,43.565452709,5521 E Warm Springs Ave,BOISE,Boise,RIVERSTONE INTERNATIONAL SCHOOL,83716
67.7%,100.0%,3.2%,87.1%,29.0%,Combined (School-level Rate),71.0%,74.2%,0.0%,77.4%,N/A,1,74.2%,Charter,Syringa Mountain,Syringa Mountain HAILEY,2017-2018,ID,N/A,21,1,31,9,0,71.0%,-114.275122483,43.486619638,4021 Glenbrook Dr.,HAILEY,Hailey,SYRINGA MOUNTAIN CHARTER SCHOOL,83333
86.6%,98.8%,1.2%,90.2%,11.0%,Combined (School-level Rate),88.5%,90.2%,1.2%,90.2%,93.3%,1,90.2%,Charter,Victory Charter,Victory Charter NAMPA,2017-2018,ID,93.3%,71,1,82,9,1,86.5%,-116.558110422,43.514487,9779 Kris Jensen Lane,NAMPA,Nampa,VICTORY CHARTER SCHOOL,83686
89.5%,97.0%,0.8%,93.2%,6.8%,Combined (School-level Rate),94.0%,94.7%,3.0%,93.2%,N/A,1,92.5%,2 West Ada,Ustick Elementary,Ustick Elementary BOISE,2017-2018,ID,N/A,119,1,133,9,4,93.2%,-116.336649,43.633823,12435 Ustick Road,BOISE,Boise,USTICK ELEMENTARY SCHOOL,83713
68.4%,97.4%,2.6%,68.4%,26.3%,Combined (School-level Rate),61.9%,68.4%,2.6%,68.4%,76.5%,1,68.4%,Private,North Idaho Christian,North Idaho Christian HAYDEN,2017-2018,ID,76.5%,26,1,38,10,1,61.9%,-116.790096,47.766323,251 W Miles Avenue,HAYDEN,Hayden,NORTH IDAHO CHRISTIAN SCHOOL,83835
93.3%,100.0%,0.6%,93.3%,6.2%,Combined (School-level Rate),93.3%,93.3%,0.0%,93.3%,N/A,1,93.3%,2 West Ada,Peregrine Elementary,Peregrine Elementary MERIDAIN,2017-2018,ID,N/A,166,1,178,11,0,93.3%,-116.41741254,43.597360459,1860 waltman St,MERIDAIN,Meridain,PEREGRINE ELEMENTARY SCHOOL,83642
93.0%,100.0%,0.6%,95.3%,6.4%,Combined (School-level Rate),93.3%,95.3%,0.0%,94.8%,92.5%,1,95.3%,Charter,Connor Academy,Connor Academy CHUBBUCK,2017-2018,ID,92.5%,160,1,172,11,0,95.2%,-112.481131953,42.913817881,1295 Alpine Ave,CHUBBUCK,Chubbuck,CONNOR ACADEMY,83202
93.2%,99.5%,0.5%,94.2%,5.8%,Combined (School-level Rate),96.8%,96.8%,0.5%,95.8%,N/A,1,95.3%,2 West Ada,Cecil D Andrus Elementary,Cecil D Andrus Elementary BOISE,2017-2018,ID,N/A,177,1,190,11,1,95.3%,-116.345547,43.660423,6100 N. Park Meadow Way,BOISE,Boise,CECIL D ANDRUS ELEMENTARY SCHOOL,83713
89.2%,99.2%,0.8%,93.3%,9.2%,Combined (School-level Rate),92.5%,90.8%,0.8%,95.0%,N/A,1,93.3%,91 Idaho Falls,A.H. Bush Elementary,A.H. Bush Elementary IDAHO FALLS,2017-2018,ID,N/A,107,1,120,11,1,94.2%,-112.037013,43.511136,380 W. Anderson,IDAHO FALLS,Idaho Falls,A.H. BUSH ELEMENTARY SCHOOL,83402
83.2%,90.7%,0.6%,87.0%,6.8%,Combined (School-level Rate),85.7%,89.4%,9.3%,87.0%,N/A,1,88.2%,401 Teton,Driggs Elementary,Driggs Elementary DRIGGS,2017-2018,ID,N/A,134,1,161,11,15,87.0%,-111.111066,43.729893,481 N Main,DRIGGS,Driggs,DRIGGS ELEMENTARY SCHOOL,83422
79.3%,85.0%,0.5%,86.4%,5.2%,Combined (School-level Rate),92.5%,95.8%,15.0%,87.3%,N/A,1,85.9%,412 Buhl,Popplewell Elementary,Popplewell Elementary BUHL,2017-2018,ID,N/A,169,1,213,11,32,84.0%,-114.757196,42.602755,200 N. 6th,BUHL,Buhl,POPPLEWELL ELEMENTARY SCHOOL,83316
94.1%,100.0%,0.5%,95.0%,5.4%,Combined (School-level Rate),95.0%,95.0%,0.0%,95.0%,N/A,1,95.0%,2 West Ada,Desert Sage Elementary,Desert Sage Elementary BOISE,2017-2018,ID,N/A,209,1,222,12,0,94.6%,-116.298868,43.53897,9325 W Mossywood Dr,BOISE,Boise,DESERT SAGE ELEMENTARY SCHOOL,83709
56.7%,100.0%,3.3%,60.0%,40.0%,Combined (School-level Rate),63.3%,66.7%,0.0%,66.7%,N/A,1,63.3%,84 Lake Pend Oreille,Hope Elementary,Hope Elementary HOPE,2017-2018,ID,N/A,17,1,30,12,0,63.3%,-116.292289,48.241927,255 Hope School Road,HOPE,Hope,HOPE ELEMENTARY SCHOOL,83836
74.5%,98.2%,1.8%,83.6%,21.8%,Combined (School-level Rate),83.6%,89.1%,1.8%,85.5%,N/A,1,83.6%,421 Mccall-Donnelly,Donnelly Elementary,Donnelly Elementary DONNELLY,2017-2018,ID,N/A,41,1,55,12,1,81.8%,-116.074004,44.730907,327 E Roseberry Rd,DONNELLY,Donnelly,DONNELLY ELEMENTARY SCHOOL,83615
93.5%,100.0%,0.5%,96.3%,6.0%,Combined (School-level Rate),94.9%,96.3%,0.0%,95.4%,N/A,1,95.8%,2 West Ada,Hunter Elementary,Hunter Elementary MERIDIAN,2017-2018,ID,N/A,202,1,216,13,0,94.9%,-116.419875,43.648289,2051 West McMillan,MERIDIAN,Meridian,HUNTER ELEMENTARY SCHOOL,83646
90.3%,100.0%,0.7%,93.8%,9.0%,Combined (School-level Rate),93.1%,95.1%,0.0%,92.4%,N/A,1,93.1%,2 West Ada,Christine Donnell School of the Arts,Christine Donnell School of the Arts BOISE,2017-2018,ID,N/A,130,1,144,13,0,92.4%,-116.314508,43.538547,7075 S. Five Mile,BOISE,Boise,CHRISTINE DONNELL SCHOOL OF THE ARTS,83709
90.1%,96.7%,0.5%,94.8%,6.1%,Combined (School-level Rate),N/A,95.3%,3.3%,96.2%,91.1%,1,96.2%,1 Boise,Hillside Jr High,Hillside Jr High BOISE,2017-2018,ID,92.5%,192,1,213,13,7,N/A,-116.232395,43.654954,3536 Hill Rd.,BOISE,Boise,HILLSIDE JUNIOR HIGH SCHOOL,83703
93.2%,97.5%,0.3%,94.7%,4.0%,Combined (School-level Rate),94.4%,94.4%,2.5%,93.5%,N/A,1,94.7%,201 Preston,Pioneer Elementary,Pioneer Elementary PRESTON,2017-2018,ID,N/A,300,1,322,13,8,94.1%,-111.866794,42.086792,515 S. 4th E.,PRESTON,Preston,PIONEER ELEMENTARY SCHOOL,83263
88.8%,100.0%,0.7%,91.0%,10.4%,Combined (School-level Rate),91.8%,94.0%,0.0%,89.6%,N/A,1,90.3%,2 West Ada,Eagle Elementary School of the Arts,Eagle Elementary School of the Arts EAGLE,2017-2018,ID,N/A,119,1,134,14,0,89.6%,-116.354018,43.699397,475 N. Eagle Rd,EAGLE,Eagle,EAGLE ELEMENTARY SCHOOL OF THE ARTS,83616
69.2%,74.6%,0.4%,90.7%,5.0%,Combined (School-level Rate),N/A,90.3%,25.4%,93.9%,75.6%,1,90.0%,61 Blaine,Wood River Middle,Wood River Middle HAILEY,2017-2018,ID,77.4%,193,1,279,14,71,N/A,-114.317465087,43.529607912,900 2nd Ave North,HAILEY,Hailey,WOOD RIVER MIDDLE SCHOOL,83333
86.5%,94.5%,0.5%,93.0%,7.5%,Combined (School-level Rate),N/A,95.0%,5.5%,93.5%,92.0%,1,94.5%,1 Boise,Riverglen Jr High,Riverglen Jr High BOISE,2017-2018,ID,94.0%,173,1,200,15,11,N/A,-116.279256,43.67986,6801 N. Gary Lane,BOISE,Boise,RIVERGLEN JR HIGH SCHOOL,83714
54.5%,78.8%,1.5%,72.7%,22.7%,Combined (School-level Rate),57.1%,75.8%,21.2%,71.2%,59.6%,1,71.2%,Charter,Another Choice Virtual Charter,Another Choice Virtual Charter NAMPA,2017-2018,ID,63.5%,36,1,66,15,14,50.0%,-116.593993868,43.601209270,1014 West Hemingway Blvd.,NAMPA,Nampa,ANOTHER CHOICE VIRTUAL CHARTER SCHOOL,83651
89.6%,100.0%,0.6%,93.9%,9.8%,Combined (School-level Rate),93.3%,93.3%,0.0%,93.9%,N/A,1,93.9%,2 West Ada,Chief Joseph Elementary,Chief Joseph Elementary MERIDIAN,2017-2018,ID,N/A,147,1,164,16,0,91.5%,-116.379675,43.624865,1100 East Chateau,MERIDIAN,Meridian,CHIEF JOSEPH ELEMENTARY SCHOOL,83646
87.7%,98.2%,0.6%,88.9%,9.9%,Combined (School-level Rate),87.7%,92.4%,1.8%,90.6%,N/A,1,90.6%,221 Emmett,Shadow Butte Elementary,Shadow Butte Elementary EMMETT,2017-2018,ID,N/A,150,1,171,17,3,89.5%,-116.571212916,43.893861518,3900 W. Idaho Blvd,EMMETT,Emmett,SHADOW BUTTE ELEMENTARY SCHOOL,83617
92.2%,99.6%,0.4%,95.1%,7.1%,Combined (School-level Rate),95.2%,94.4%,0.4%,94.8%,94.9%,1,95.1%,2 West Ada,Galileo Stem Academy,Galileo Stem Academy EAGLE,2017-2018,ID,94.9%,247,1,268,19,1,94.2%,-116.412674,43.700682,4735 W Saguaro,EAGLE,Eagle,GALILEO STEM ACADEMY,83616
88.4%,98.9%,0.5%,93.1%,10.1%,Combined (School-level Rate),91.0%,92.6%,1.1%,92.1%,N/A,1,93.1%,2 West Ada,Ponderosa Elementary,Ponderosa Elementary MERIDIAN,2017-2018,ID,N/A,167,1,189,19,2,89.9%,-116.443468,43.63344,2950 Naomi,MERIDIAN,Meridian,PONDEROSA ELEMENTARY - POST FALLS,83646
70.7%,93.5%,1.1%,81.5%,21.7%,Combined (School-level Rate),72.1%,78.3%,6.5%,78.3%,87.5%,1,78.3%,Private,Logos,Logos MOSCOW,2017-2018,ID,83.3%,65,1,92,20,6,72.1%,-117.020402553,46.734035208,110 Baker Street,MOSCOW,Moscow,LOGOS SCHOOL,83843
72.2%,100.0%,1.3%,77.2%,26.6%,Combined (School-level Rate),80.4%,82.3%,0.0%,77.2%,60.7%,1,77.2%,Charter,Rolling Hills Public Charter,Rolling Hills Public Charter BOISE,2017-2018,ID,64.3%,57,1,79,21,0,78.4%,-116.313913529,43.689325158,8900 N Horseshoe Bend Rd,BOISE,Boise,ROLLING HILLS PUBLIC CHARTER SCHOOL,83714
85.4%,98.2%,0.6%,87.1%,12.3%,Combined (School-level Rate),86.8%,87.7%,1.8%,87.1%,84.6%,1,87.1%,Charter,Vision Charter,Vision Charter CALDWELL,2017-2018,ID,84.6%,146,1,171,21,3,85.8%,-116.623211349,43.651026482,19291 Ward Road,CALDWELL,Caldwell,VISION CHARTER SCHOOL,83605
74.6%,87.3%,0.6%,84.4%,12.1%,Combined (School-level Rate),83.2%,87.3%,12.7%,81.5%,N/A,1,85.5%,271 Coeur d'Alene,Atlas Elementary,Atlas Elementary COEUR D'ALENE,2017-2018,ID,N/A,129,1,173,21,22,79.8%,-116.827954219,47.751876468,3000 W. Honesuckle Ave.,COEUR D'ALENE,Coeur d'Alene,ATLAS ELEMENTARY SCHOOL,83815
85.1%,97.3%,0.5%,88.8%,11.7%,Combined (School-level Rate),88.3%,91.5%,2.7%,88.8%,N/A,1,89.4%,131 Nampa,Lake Ridge Elementary,Lake Ridge Elementary NAMPA,2017-2018,ID,N/A,160,1,188,22,5,87.2%,-116.583159,43.528229,615 BURKE LANE,NAMPA,Nampa,LAKE RIDGE ELEMENTARY SCHOOL,83686
93.0%,100.0%,0.3%,93.5%,6.7%,Combined (School-level Rate),N/A,97.1%,0.0%,95.3%,94.4%,1,96.8%,2 West Ada,Lowell Scott Middle,Lowell Scott Middle BOISE,2017-2018,ID,94.4%,317,1,341,23,0,N/A,-116.352409,43.648439,13600 W McMillan Rd,BOISE,Boise,LOWELL SCOTT MIDDLE SCHOOL,83713
