Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
38.5%,100.0%,0.0%,38.5%,61.5%,First Grade,38.5%,46.2%,0.0%,46.2%,N/A,1,38.5%,Private,House of the Lord Christian Academy,House of the Lord Christian Academy OLDTOWN,2017-2018,ID,N/A,5,0,13,8,0,38.5%,-117.031620693,48.172061480,754 Silver Birch Lane,OLDTOWN,Oldtown,HOUSE OF THE LORD CHRISTIAN ACADEMY,83822
27.6%,93.1%,0.0%,51.7%,65.5%,Combined (School-level Rate),36.8%,58.6%,6.9%,51.7%,30.0%,1,48.3%,Private,House of the Lord Christian Academy,House of the Lord Christian Academy OLDTOWN,2017-2018,ID,30.0%,8,0,29,19,2,31.6%,-117.031620693,48.172061480,754 Silver Birch Lane,OLDTOWN,Oldtown,HOUSE OF THE LORD CHRISTIAN ACADEMY,83822
20.0%,80.0%,0.0%,70.0%,60.0%,Seventh Grade,N/A,80.0%,20.0%,70.0%,30.0%,1,70.0%,Private,House of the Lord Christian Academy,House of the Lord Christian Academy OLDTOWN,2017-2018,ID,30.0%,2,0,10,6,2,N/A,-117.031620693,48.172061480,754 Silver Birch Lane,OLDTOWN,Oldtown,HOUSE OF THE LORD CHRISTIAN ACADEMY,83822
96.0%,100.0%,0.0%,96.0%,4.0%,Combined (School-level Rate),96.0%,96.0%,0.0%,96.0%,N/A,1,96.0%,Private,Children's House Montessori  / Lewiston,Children's House Montessori  / Lewiston LEWISTON,2017-2018,ID,N/A,24,0,25,1,0,96.0%,-117.027156204,46.421423505,101 5th Street,LEWISTON,Lewiston,CHILDREN'S HOUSE MONTESSORI SCHOOL - LEWISTON,83501
94.4%,100.0%,0.0%,94.4%,5.6%,Kindergarten,94.4%,94.4%,0.0%,94.4%,N/A,1,94.4%,Private,Children's House Montessori  / Lewiston,Children's House Montessori  / Lewiston LEWISTON,2017-2018,ID,N/A,17,0,18,1,0,94.4%,-117.027156204,46.421423505,101 5th Street,LEWISTON,Lewiston,CHILDREN'S HOUSE MONTESSORI SCHOOL - LEWISTON,83501
93.3%,100.0%,0.0%,100.0%,6.7%,First Grade,100.0%,93.3%,0.0%,100.0%,N/A,1,100.0%,Private,All Saints Catholic,All Saints Catholic LEWISTON,2017-2018,ID,N/A,14,0,15,1,0,100.0%,-117.024170896,46.415680124,641 5th Ave,LEWISTON,Lewiston,ALL SAINTS CATHOLIC SCHOOL,83501
89.2%,100.0%,0.0%,94.6%,10.8%,Combined (School-level Rate),94.6%,89.2%,0.0%,94.6%,N/A,1,94.6%,Private,All Saints Catholic,All Saints Catholic LEWISTON,2017-2018,ID,N/A,33,0,37,4,0,91.9%,-117.024170896,46.415680124,641 5th Ave,LEWISTON,Lewiston,ALL SAINTS CATHOLIC SCHOOL,83501
86.4%,100.0%,0.0%,90.9%,13.6%,Kindergarten,90.9%,86.4%,0.0%,90.9%,N/A,1,90.9%,Private,All Saints Catholic,All Saints Catholic LEWISTON,2017-2018,ID,N/A,19,0,22,3,0,86.4%,-117.024170896,46.415680124,641 5th Ave,LEWISTON,Lewiston,ALL SAINTS CATHOLIC SCHOOL,83501
87.5%,93.8%,0.0%,87.5%,6.3%,First Grade,87.5%,87.5%,6.3%,87.5%,N/A,1,87.5%,Private,Cornerstone Christian Lewiston,Cornerstone Christian Lewiston LEWISTON,2017-2018,ID,N/A,14,0,16,1,1,87.5%,-117.021508814,46.403042686,1700 8th St.,LEWISTON,Lewiston,CORNERSTONE CHRISTIAN SCHOOL - LEWISTON,83501
83.3%,91.7%,0.0%,91.7%,8.3%,Seventh Grade,N/A,100.0%,8.3%,91.7%,83.3%,1,91.7%,Private,Cornerstone Christian Lewiston,Cornerstone Christian Lewiston LEWISTON,2017-2018,ID,83.3%,10,0,12,1,1,N/A,-117.021508814,46.403042686,1700 8th St.,LEWISTON,Lewiston,CORNERSTONE CHRISTIAN SCHOOL - LEWISTON,83501
81.8%,97.7%,0.0%,81.8%,15.9%,First Grade,88.6%,84.1%,2.3%,86.4%,N/A,1,90.9%,340 Lewiston,Webster Elementary,Webster Elementary LEWISTON,2017-2018,ID,N/A,36,0,44,7,1,88.6%,-117.021418,46.40623,1409 8th St,LEWISTON,Lewiston,WEBSTER ELEMENTARY SCHOOL,83501
11.1%,100.0%,0.0%,33.3%,88.9%,First Grade,11.1%,22.2%,0.0%,27.8%,N/A,1,33.3%,Private,St. Dominic,St. Dominic POST FALLS,2017-2018,ID,N/A,2,0,18,16,0,16.7%,-117.020608981,47.687183796,20274 West Riverview Dr. Post Fa,POST FALLS,Post Falls,ST. DOMINIC SCHOOL,83854
23.1%,100.0%,0.0%,30.8%,76.9%,Kindergarten,23.1%,23.1%,0.0%,30.8%,N/A,1,30.8%,Private,St. Dominic,St. Dominic POST FALLS,2017-2018,ID,N/A,3,0,13,10,0,23.1%,-117.020608981,47.687183796,20274 West Riverview Dr. Post Fa,POST FALLS,Post Falls,ST. DOMINIC SCHOOL,83854
79.4%,100.0%,0.0%,82.4%,20.6%,First Grade,82.4%,82.4%,0.0%,79.4%,N/A,1,82.4%,Private,Logos,Logos MOSCOW,2017-2018,ID,N/A,27,0,34,7,0,79.4%,-117.020402553,46.734035208,110 Baker Street,MOSCOW,Moscow,LOGOS SCHOOL,83843
79.2%,95.8%,0.0%,91.7%,16.7%,Seventh Grade,N/A,87.5%,4.2%,95.8%,87.5%,1,87.5%,Private,Logos,Logos MOSCOW,2017-2018,ID,83.3%,19,0,24,4,1,N/A,-117.020402553,46.734035208,110 Baker Street,MOSCOW,Moscow,LOGOS SCHOOL,83843
95.3%,100.0%,0.0%,97.7%,4.7%,Kindergarten,97.7%,95.3%,0.0%,97.7%,N/A,1,97.7%,340 Lewiston,McSorley Elementary,McSorley Elementary LEWISTON,2017-2018,ID,N/A,41,0,43,2,0,97.7%,-117.010978,46.40076,2020 15th St,LEWISTON,Lewiston,MCSORLEY ELEMENTARY SCHOOL,83501
92.4%,100.0%,0.0%,92.4%,7.6%,First Grade,93.9%,93.9%,0.0%,92.4%,N/A,1,93.9%,281 Moscow,West Park Elementary,West Park Elementary MOSCOW,2017-2018,ID,N/A,61,0,66,5,0,92.4%,-117.010445,46.73144,510 Home St,MOSCOW,Moscow,WEST PARK ELEMENTARY SCHOOL,83843
93.4%,100.0%,0.0%,94.2%,6.6%,Combined (School-level Rate),94.9%,94.9%,0.0%,94.2%,N/A,1,94.9%,281 Moscow,West Park Elementary,West Park Elementary MOSCOW,2017-2018,ID,N/A,128,0,137,9,0,94.2%,-117.010445,46.73144,510 Home St,MOSCOW,Moscow,WEST PARK ELEMENTARY SCHOOL,83843
94.4%,100.0%,0.0%,95.8%,5.6%,Kindergarten,95.8%,95.8%,0.0%,95.8%,N/A,1,95.8%,281 Moscow,West Park Elementary,West Park Elementary MOSCOW,2017-2018,ID,N/A,67,0,71,4,0,95.8%,-117.010445,46.73144,510 Home St,MOSCOW,Moscow,WEST PARK ELEMENTARY SCHOOL,83843
93.1%,100.0%,0.0%,96.3%,6.9%,Seventh Grade,N/A,96.3%,0.0%,96.3%,94.7%,1,96.8%,340 Lewiston,Jenifer Jr High,Jenifer Jr High LEWISTON,2017-2018,ID,94.7%,176,0,189,13,0,N/A,-117.009317,46.407623,1216 16th St,LEWISTON,Lewiston,JENIFER JUNIOR HIGH SCHOOL,83501
93.1%,100.0%,0.0%,96.3%,6.9%,Combined (School-level Rate),N/A,96.3%,0.0%,96.3%,94.7%,1,96.8%,340 Lewiston,Jenifer Jr High,Jenifer Jr High LEWISTON,2017-2018,ID,94.7%,176,0,189,13,0,N/A,-117.009317,46.407623,1216 16th St,LEWISTON,Lewiston,JENIFER JUNIOR HIGH SCHOOL,83501
95.6%,100.0%,0.0%,97.8%,4.4%,First Grade,97.8%,95.6%,0.0%,97.8%,N/A,1,97.8%,340 Lewiston,Whitman Elementary,Whitman Elementary LEWISTON,2017-2018,ID,N/A,43,0,45,2,0,97.8%,-117.005923,46.411362,1840 9th Ave,LEWISTON,Lewiston,WHITE PINE ELEMENTARY SCHOOL - BURLEY,83501
94.3%,98.9%,0.0%,96.6%,4.5%,Combined (School-level Rate),95.5%,95.5%,1.1%,96.6%,N/A,1,96.6%,340 Lewiston,Whitman Elementary,Whitman Elementary LEWISTON,2017-2018,ID,N/A,83,0,88,4,1,96.6%,-117.005923,46.411362,1840 9th Ave,LEWISTON,Lewiston,WHITE PINE ELEMENTARY SCHOOL - BURLEY,83501
93.0%,97.7%,0.0%,95.3%,4.7%,Kindergarten,93.0%,95.3%,2.3%,95.3%,N/A,1,95.3%,340 Lewiston,Whitman Elementary,Whitman Elementary LEWISTON,2017-2018,ID,N/A,40,0,43,2,1,95.3%,-117.005923,46.411362,1840 9th Ave,LEWISTON,Lewiston,WHITE PINE ELEMENTARY SCHOOL - BURLEY,83501
93.5%,100.0%,0.0%,97.8%,6.5%,First Grade,95.7%,95.7%,0.0%,95.7%,N/A,1,97.8%,340 Lewiston,McGhee Elementary,McGhee Elementary LEWISTON,2017-2018,ID,N/A,43,0,46,3,0,93.5%,-117.002987,46.384125,636 Warner Ave,LEWISTON,Lewiston,MCGHEE ELEMENTARY SCHOOL,83501
93.3%,98.9%,0.0%,97.8%,5.6%,Combined (School-level Rate),97.8%,97.8%,1.1%,96.6%,N/A,1,97.8%,340 Lewiston,McGhee Elementary,McGhee Elementary LEWISTON,2017-2018,ID,N/A,83,0,89,5,1,93.3%,-117.002987,46.384125,636 Warner Ave,LEWISTON,Lewiston,MCGHEE ELEMENTARY SCHOOL,83501
93.0%,97.7%,0.0%,97.7%,4.7%,Kindergarten,100.0%,100.0%,2.3%,97.7%,N/A,1,97.7%,340 Lewiston,McGhee Elementary,McGhee Elementary LEWISTON,2017-2018,ID,N/A,40,0,43,2,1,93.0%,-117.002987,46.384125,636 Warner Ave,LEWISTON,Lewiston,MCGHEE ELEMENTARY SCHOOL,83501
83.3%,91.7%,0.0%,91.7%,8.3%,Combined (School-level Rate),N/A,91.7%,8.3%,91.7%,N/A,1,91.7%,Private,Beacon Christian,Beacon Christian LEWISTON,2017-2018,ID,N/A,10,0,12,1,1,N/A,-117.000170832,46.391415461,615 Stewart Avenue,LEWISTON,Lewiston,BEACON CHRISTIAN SCHOOL,83501
100.0%,100.0%,0.0%,100.0%,0.0%,First Grade,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,Private,St. Mary's Catholic,St. Mary's Catholic MOSCOW,2017-2018,ID,N/A,16,0,16,0,0,100.0%,-116.991090648,46.736920152,412 N Monroe,MOSCOW,Moscow,ST. MARY'S SCHOOL,83843
85.7%,85.7%,0.0%,92.9%,0.0%,Combined (School-level Rate),95.8%,100.0%,14.3%,89.3%,N/A,1,89.3%,Private,St. Mary's Catholic,St. Mary's Catholic MOSCOW,2017-2018,ID,N/A,24,0,28,0,4,91.7%,-116.991090648,46.736920152,412 N Monroe,MOSCOW,Moscow,ST. MARY'S SCHOOL,83843
95.8%,100.0%,0.0%,97.9%,4.2%,First Grade,97.9%,97.9%,0.0%,97.9%,N/A,1,97.9%,340 Lewiston,Centennial Elementary,Centennial Elementary LEWISTON,2017-2018,ID,N/A,46,0,48,2,0,95.8%,-116.990698,46.376877,815 Burrell Ave.,LEWISTON,Lewiston,CENTENNIAL ELEMENTARY SCHOOL-NAMPA,83501
100.0%,100.0%,0.0%,100.0%,0.0%,First Grade,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,281 Moscow,Lena Whitmore Elementary,Lena Whitmore Elementary MOSCOW,2017-2018,ID,N/A,46,0,46,0,0,100.0%,-116.985695,46.733737,110 S Blaine,MOSCOW,Moscow,LENA WHITMORE ELEMENTARY SCHOOL,83843
97.4%,100.0%,0.0%,98.7%,2.6%,Seventh Grade,N/A,98.7%,0.0%,99.3%,98.7%,1,99.3%,281 Moscow,Moscow Middle,Moscow Middle MOSCOW,2017-2018,ID,98.7%,149,0,153,4,0,N/A,-116.983178,46.737507,1410 East D Street,MOSCOW,Moscow,MOSCOW MIDDLE SCHOOL,83843
97.4%,100.0%,0.0%,98.7%,2.6%,Combined (School-level Rate),N/A,98.7%,0.0%,99.3%,98.7%,1,99.3%,281 Moscow,Moscow Middle,Moscow Middle MOSCOW,2017-2018,ID,98.7%,149,0,153,4,0,N/A,-116.983178,46.737507,1410 East D Street,MOSCOW,Moscow,MOSCOW MIDDLE SCHOOL,83843
50.0%,100.0%,0.0%,50.0%,50.0%,First Grade,50.0%,50.0%,0.0%,50.0%,N/A,1,50.0%,Private,Classical Christian Academy,Classical Christian Academy POST FALLS,2017-2018,ID,N/A,6,0,12,6,0,50.0%,-116.979020026,47.716136494,2289 W. Seltice Way,POST FALLS,Post Falls,CLASSICAL CHRISTIAN ACADEMY,83854
57.1%,100.0%,0.0%,71.4%,42.9%,Seventh Grade,N/A,78.6%,0.0%,71.4%,57.1%,1,78.6%,Private,Classical Christian Academy,Classical Christian Academy POST FALLS,2017-2018,ID,57.1%,8,0,14,6,0,N/A,-116.979020026,47.716136494,2289 W. Seltice Way,POST FALLS,Post Falls,CLASSICAL CHRISTIAN ACADEMY,83854
52.4%,100.0%,0.0%,64.3%,47.6%,Combined (School-level Rate),60.7%,59.5%,0.0%,64.3%,57.1%,1,64.3%,Private,Classical Christian Academy,Classical Christian Academy POST FALLS,2017-2018,ID,57.1%,22,0,42,20,0,57.1%,-116.979020026,47.716136494,2289 W. Seltice Way,POST FALLS,Post Falls,CLASSICAL CHRISTIAN ACADEMY,83854
50.0%,100.0%,0.0%,68.8%,50.0%,Kindergarten,68.8%,50.0%,0.0%,68.8%,N/A,1,62.5%,Private,Classical Christian Academy,Classical Christian Academy POST FALLS,2017-2018,ID,N/A,8,0,16,8,0,62.5%,-116.979020026,47.716136494,2289 W. Seltice Way,POST FALLS,Post Falls,CLASSICAL CHRISTIAN ACADEMY,83854
90.9%,100.0%,0.0%,90.9%,9.1%,First Grade,90.9%,90.9%,0.0%,90.9%,N/A,1,90.9%,281 Moscow,Moscow Charter,Moscow Charter MOSCOW,2017-2018,ID,N/A,20,0,22,2,0,90.9%,-116.978121,46.740251474,1723 East F St.,MOSCOW,Moscow,MOSCOW CHARTER SCHOOL,83843
50.0%,57.1%,0.0%,64.3%,7.1%,Seventh Grade,N/A,64.3%,42.9%,64.3%,57.1%,1,64.3%,281 Moscow,Moscow Charter,Moscow Charter MOSCOW,2017-2018,ID,57.1%,7,0,14,1,6,N/A,-116.978121,46.740251474,1723 East F St.,MOSCOW,Moscow,MOSCOW CHARTER SCHOOL,83843
98.5%,100.0%,0.0%,98.5%,1.5%,First Grade,98.5%,98.5%,0.0%,98.5%,N/A,1,98.5%,281 Moscow,A.B. McDonald Elementary,A.B. McDonald Elementary MOSCOW,2017-2018,ID,N/A,66,0,67,1,0,98.5%,-116.972341,46.737392,2323 East D St.,MOSCOW,Moscow,A.B. MCDONALD ELEMENTARY SCHOOL,83843
92.9%,100.0%,0.0%,92.9%,7.1%,First Grade,92.9%,92.9%,0.0%,92.9%,N/A,1,92.9%,340 Lewiston,Orchards Elementary,Orchards Elementary LEWISTON,2017-2018,ID,N/A,249,0,268,19,0,92.9%,-116.97045,46.379278,3429 12th St,LEWISTON,Lewiston,ORCHARDS ELEMENTARY SCHOOL,83501
93.9%,100.0%,0.0%,93.9%,6.1%,Combined (School-level Rate),93.9%,93.9%,0.0%,93.9%,N/A,1,93.9%,340 Lewiston,Orchards Elementary,Orchards Elementary LEWISTON,2017-2018,ID,N/A,291,0,310,19,0,93.9%,-116.97045,46.379278,3429 12th St,LEWISTON,Lewiston,ORCHARDS ELEMENTARY SCHOOL,83501
100.0%,100.0%,0.0%,100.0%,0.0%,Kindergarten,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,340 Lewiston,Orchards Elementary,Orchards Elementary LEWISTON,2017-2018,ID,N/A,42,0,42,0,0,100.0%,-116.97045,46.379278,3429 12th St,LEWISTON,Lewiston,ORCHARDS ELEMENTARY SCHOOL,83501
95.7%,99.5%,0.0%,98.4%,3.7%,Seventh Grade,N/A,96.8%,0.5%,98.4%,96.8%,1,98.9%,340 Lewiston,Sacajawea Jr High,Sacajawea Jr High LEWISTON,2017-2018,ID,97.3%,179,0,187,7,1,N/A,-116.970386,46.372613,3610 12th Street,LEWISTON,Lewiston,SACAJAWEA JUNIOR HIGH SCHOOL,83501
95.7%,99.5%,0.0%,98.4%,3.7%,Combined (School-level Rate),N/A,96.8%,0.5%,98.4%,96.8%,1,98.9%,340 Lewiston,Sacajawea Jr High,Sacajawea Jr High LEWISTON,2017-2018,ID,97.3%,179,0,187,7,1,N/A,-116.970386,46.372613,3610 12th Street,LEWISTON,Lewiston,SACAJAWEA JUNIOR HIGH SCHOOL,83501
76.3%,88.8%,0.0%,87.5%,12.5%,First Grade,85.0%,88.8%,11.3%,85.0%,N/A,1,86.3%,273 Post Falls,West Ridge Elementary,West Ridge Elementary POST FALLS,2017-2018,ID,N/A,61,0,80,10,9,85.0%,-116.967388,47.726628,1758 N. Clarkfork Pkwy.,POST FALLS,Post Falls,WEST RIDGE ELEMENTARY SCHOOL,83854
76.3%,88.8%,0.0%,87.5%,12.5%,Combined (School-level Rate),85.0%,88.8%,11.3%,85.0%,N/A,1,86.3%,273 Post Falls,West Ridge Elementary,West Ridge Elementary POST FALLS,2017-2018,ID,N/A,61,0,80,10,9,85.0%,-116.967388,47.726628,1758 N. Clarkfork Pkwy.,POST FALLS,Post Falls,WEST RIDGE ELEMENTARY SCHOOL,83854
92.5%,100.0%,0.0%,96.3%,7.5%,Seventh Grade,N/A,96.3%,0.0%,96.3%,94.0%,1,97.8%,431 Weiser,Weiser Middle,Weiser Middle WEISER,2017-2018,ID,95.5%,124,0,134,10,0,N/A,-116.964946,44.250316,320 E. Galloway,WEISER,Weiser,WEISER MIDDLE SCHOOL,83672
92.5%,100.0%,0.0%,96.3%,7.5%,Combined (School-level Rate),N/A,96.3%,0.0%,96.3%,94.0%,1,97.8%,431 Weiser,Weiser Middle,Weiser Middle WEISER,2017-2018,ID,95.5%,124,0,134,10,0,N/A,-116.964946,44.250316,320 E. Galloway,WEISER,Weiser,WEISER MIDDLE SCHOOL,83672
58.3%,75.0%,0.0%,58.3%,16.7%,Combined (School-level Rate),54.5%,58.3%,25.0%,58.3%,N/A,1,58.3%,Private,Palouse Hills Christian,Palouse Hills Christian MOSCOW,2017-2018,ID,N/A,7,0,12,2,3,54.5%,-116.962583,46.719328,3148 Tomer Rd,MOSCOW,Moscow,PALOUSE HILLS CHRISTIAN SCHOOL,83843
81.0%,100.0%,0.0%,81.0%,19.0%,Kindergarten,81.0%,81.0%,0.0%,81.0%,N/A,1,81.0%,Private,Cornerstone Christian Academy,Cornerstone Christian Academy POST FALLS,2017-2018,ID,N/A,34,0,42,8,0,81.0%,-116.958681679,47.715687,810 N CHASE ROAD,POST FALLS,Post Falls,CORNERSTONE CHRISTIAN ACADEMY,83854
66.7%,100.0%,0.0%,66.7%,33.3%,First Grade,66.7%,66.7%,0.0%,66.7%,N/A,1,66.7%,Private,Cornerstone Christian Academy,Cornerstone Christian Academy POST FALLS,2017-2018,ID,N/A,16,0,24,8,0,66.7%,-116.958681679,47.715687,810 N CHASE ROAD,POST FALLS,Post Falls,CORNERSTONE CHRISTIAN SCHOOL,83854
78.1%,100.0%,0.0%,78.1%,21.9%,Combined (School-level Rate),75.8%,78.1%,0.0%,78.1%,N/A,1,78.1%,Private,Cornerstone Christian Academy,Cornerstone Christian Academy POST FALLS,2017-2018,ID,N/A,57,0,73,16,0,75.8%,-116.958681679,47.715687,810 N CHASE ROAD,POST FALLS,Post Falls,CORNERSTONE CHRISTIAN SCHOOL,83854
80.0%,88.3%,0.0%,88.3%,8.3%,Combined (School-level Rate),91.7%,88.3%,11.7%,90.0%,N/A,1,90.0%,273 Post Falls,Seltice Elementary,Seltice Elementary POST FALLS,2017-2018,ID,N/A,48,0,60,5,7,90.0%,-116.958663,47.71878,1101 N. Chase Rd.,POST FALLS,Post Falls,SELTICE ELEMENTARY SCHOOL,83854
80.0%,88.3%,0.0%,88.3%,8.3%,First Grade,91.7%,88.3%,11.7%,90.0%,N/A,1,90.0%,273 Post Falls,Seltice Elementary,Seltice Elementary POST FALLS,2017-2018,ID,N/A,48,0,60,5,7,90.0%,-116.958663,47.71878,1101 N. Chase Rd.,POST FALLS,Post Falls,SEVEN OAKS ELEMENTARY SCHOOL,83854
88.1%,95.5%,0.0%,94.0%,7.5%,First Grade,95.5%,95.5%,4.5%,92.5%,N/A,1,95.5%,273 Post Falls,Mullan Trail Elementary,Mullan Trail Elementary POST FALLS,2017-2018,ID,N/A,59,0,67,5,3,91.0%,-116.951682,47.718392,300 W. Cherry Ave,POST FALLS,Post Falls,MULLAN TRAIL ELEMENTARY SCHOOL,83854
88.1%,95.5%,0.0%,94.0%,7.5%,Combined (School-level Rate),95.5%,95.5%,4.5%,92.5%,N/A,1,95.5%,273 Post Falls,Mullan Trail Elementary,Mullan Trail Elementary POST FALLS,2017-2018,ID,N/A,59,0,67,5,3,91.0%,-116.951682,47.718392,300 W. Cherry Ave,POST FALLS,Post Falls,MULLAN TRAIL ELEMENTARY SCHOOL,83854
94.4%,100.0%,0.0%,98.9%,5.6%,Seventh Grade,N/A,98.9%,0.0%,98.9%,95.6%,1,98.9%,370 Homedale,Homedale Middle,Homedale Middle HOMEDALE,2017-2018,ID,95.6%,85,0,90,5,0,N/A,-116.951369,43.617747,3437 Johnstone Rd,HOMEDALE,Homedale,HOMEDALE MIDDLE SCHOOL,83628
94.4%,100.0%,0.0%,98.9%,5.6%,Combined (School-level Rate),N/A,98.9%,0.0%,98.9%,95.6%,1,98.9%,370 Homedale,Homedale Middle,Homedale Middle HOMEDALE,2017-2018,ID,95.6%,85,0,90,5,0,N/A,-116.951369,43.617747,3437 Johnstone Rd,HOMEDALE,Homedale,HOMEDALE MIDDLE SCHOOL,83628
53.3%,59.3%,0.0%,91.9%,6.1%,Seventh Grade,N/A,92.3%,40.7%,90.2%,81.3%,1,92.7%,273 Post Falls,Post Falls Middle,Post Falls Middle POST FALLS,2017-2018,ID,82.1%,131,0,246,15,100,N/A,-116.944931,47.723348,301 e. 16th Ave,POST FALLS,Post Falls,POST FALLS MIDDLE SCHOOL,83854
53.3%,59.3%,0.0%,91.9%,6.1%,Combined (School-level Rate),N/A,92.3%,40.7%,90.2%,81.3%,1,92.7%,273 Post Falls,Post Falls Middle,Post Falls Middle POST FALLS,2017-2018,ID,82.1%,131,0,246,15,100,N/A,-116.944931,47.723348,301 e. 16th Ave,POST FALLS,Post Falls,POST FALLS MIDDLE SCHOOL,83854
10.0%,100.0%,0.0%,20.0%,90.0%,First Grade,10.0%,10.0%,0.0%,10.0%,N/A,1,20.0%,Private,Immaculate Conception Academy,Immaculate Conception Academy POST FALLS,2017-2018,ID,N/A,1,0,10,9,0,10.0%,-116.940374364,47.711772,495 North Lincoln St,POST FALLS,Post Falls,IMMACULATE CONCEPTION ACADEMY,83854
25.0%,100.0%,0.0%,25.0%,75.0%,Seventh Grade,N/A,25.0%,0.0%,25.0%,25.0%,1,25.0%,Private,Immaculate Conception Academy,Immaculate Conception Academy POST FALLS,2017-2018,ID,25.0%,4,0,16,12,0,N/A,-116.940374364,47.711772,495 North Lincoln St,POST FALLS,Post Falls,IMMACULATE CONCEPTION ACADEMY,83854
20.0%,100.0%,0.0%,22.5%,80.0%,Combined (School-level Rate),16.7%,20.0%,0.0%,20.0%,25.0%,1,22.5%,Private,Immaculate Conception Academy,Immaculate Conception Academy POST FALLS,2017-2018,ID,25.0%,8,0,40,32,0,16.7%,-116.940374364,47.711772,495 North Lincoln St,POST FALLS,Post Falls,IMMACULATE CONCEPTION ACADEMY,83854
21.4%,100.0%,0.0%,21.4%,78.6%,Kindergarten,21.4%,21.4%,0.0%,21.4%,N/A,1,21.4%,Private,Immaculate Conception Academy,Immaculate Conception Academy POST FALLS,2017-2018,ID,N/A,3,0,14,11,0,21.4%,-116.940374364,47.711772,495 North Lincoln St,POST FALLS,Post Falls,IMMACULATE CONCEPTION ACADEMY,83854
92.9%,100.0%,0.0%,94.3%,7.1%,First Grade,92.9%,94.3%,0.0%,94.3%,N/A,1,94.3%,137 Parma,Maxine Johnson Elementary,Maxine Johnson Elementary PARMA,2017-2018,ID,N/A,65,0,70,5,0,94.3%,-116.939464,43.788723,607 E. McConnell Ave.,PARMA,Parma,MAXINE JOHNSON ELEMENTARY SCHOOL,83660
95.0%,100.0%,0.0%,96.3%,5.0%,Seventh Grade,N/A,96.3%,0.0%,96.3%,95.0%,1,96.3%,137 Parma,Parma Middle,Parma Middle PARMA,2017-2018,ID,95.0%,76,0,80,4,0,N/A,-116.935774,43.788761,905 E McConnell,PARMA,Parma,PARMA MIDDLE SCHOOL,83660
95.0%,100.0%,0.0%,96.3%,5.0%,Combined (School-level Rate),N/A,96.3%,0.0%,96.3%,95.0%,1,96.3%,137 Parma,Parma Middle,Parma Middle PARMA,2017-2018,ID,95.0%,76,0,80,4,0,N/A,-116.935774,43.788761,905 E McConnell,PARMA,Parma,PARMA MIDDLE SCHOOL,83660
90.9%,100.0%,0.0%,90.9%,9.1%,Combined (School-level Rate),N/A,90.9%,0.0%,90.9%,N/A,1,90.9%,Private,River of Life Christian,River of Life Christian PAYETTE,2017-2018,ID,N/A,10,0,11,1,0,N/A,-116.93466,44.092887521,800 17 Ave N,PAYETTE,Payette,RIVER OF LIFE CHRISTIAN SCHOOL,83661
97.3%,100.0%,0.0%,97.3%,2.7%,Kindergarten,98.2%,98.2%,0.0%,97.3%,N/A,1,97.3%,371 Payette,Payette Primary,Payette Primary PAYETTE,2017-2018,ID,N/A,110,0,113,3,0,97.3%,-116.927794,44.078209,1320 3rd Ave. N,PAYETTE,Payette,PAYETTE PRIMARY SCHOOL,83661
97.6%,99.6%,0.0%,97.6%,2.0%,Combined (School-level Rate),98.0%,98.0%,0.4%,97.6%,N/A,1,97.6%,371 Payette,Payette Primary,Payette Primary PAYETTE,2017-2018,ID,N/A,248,0,254,5,1,97.6%,-116.927794,44.078209,1320 3rd Ave. N,PAYETTE,Payette,PAYETTE PRIMARY SCHOOL,83661
97.9%,99.3%,0.0%,97.9%,1.4%,First Grade,97.9%,97.9%,0.7%,97.9%,N/A,1,97.9%,371 Payette,Payette Primary,Payette Primary PAYETTE,2017-2018,ID,N/A,138,0,141,2,1,97.9%,-116.927794,44.078209,1320 3rd Ave. N,PAYETTE,Payette,PAYETTE PRIMARY SCHOOL,83661
92.0%,100.0%,0.0%,96.0%,8.0%,Seventh Grade,N/A,96.0%,0.0%,96.0%,92.0%,1,96.0%,282 Genesee,Genesee,Genesee GENESEE,2017-2018,ID,92.0%,23,0,25,2,0,N/A,-116.921737,46.551607,330 W. Ash Street PO Box 98,GENESEE,Genesee,GENESEE SCHOOLS,83832
71.4%,77.1%,0.0%,82.9%,5.7%,Seventh Grade,N/A,88.6%,22.9%,84.3%,84.3%,1,87.1%,83 West Bonner,Priest River Jr High,Priest River Jr High PRIEST RIVER,2017-2018,ID,82.9%,50,0,70,4,16,N/A,-116.918288,48.180684,5709 Hwy 2,PRIEST RIVER,Priest River,PRIEST RIVER JR HIGH SCHOOL,83856
