COUNTY_DESC,BEDS Code,POPULAR_NAME,GRADE_ORG_DESC,INST_SUB_TYPE_DESC,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
RICHMOND,353100306490,ELTINGVILLE LUTHERAN SCHOOL,Elementary,LUTHERAN,5,3,8,3,11,5,19,13,0,0,0,0,0,0,5,1,14,87
RICHMOND,353100315791,ST JOHN'S LUTHERAN SCHOOL,Elementary,LUTHERAN,13,17,17,15,24,23,25,20,0,0,0,0,0,0,14,0,43,211
RICHMOND,353100629737,MIRAJ ISLAMIC SCHOOL,K-12 School,ISLAMIC,19,25,16,19,24,24,25,20,17,19,6,6,0,0,20,0,19,259
RICHMOND,353100806026,WORLD HARVEST DELIVERANCE CENTER,Elementary,CHRISTIAN FUNDAMENTALIST,4,1,2,2,2,0,0,0,0,0,0,0,0,0,5,0,3,19
RICHMOND,353100809513,GATEWAY ACADEMY,Elementary,CHRISTIAN FUNDAMENTALIST,15,6,6,18,5,11,10,14,0,0,0,0,0,0,8,0,10,103
RICHMOND,353100809771,NEW DORP CHRISTIAN ACADEMY,Elementary,CHRISTIAN FUNDAMENTALIST,15,20,11,16,18,17,7,17,0,0,0,0,0,0,25,0,20,166
RICHMOND,353100995152,SMILES AROUND US ACADEMY,Elementary,INDEPENDENT,26,18,27,26,20,0,0,0,0,0,0,0,0,0,32,0,40,189
RICHMOND,353100996111,B'ABOVE WORLDWIDE INSTITUTE,Other,INDEPENDENT,36,30,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,106
RICHMOND,353100997022,STATEN ISLAND ACADEMY,K-12 School,INDEPENDENT,15,14,16,12,17,21,28,43,36,43,43,35,0,0,15,0,5,343
RICHMOND,353100997484,RICHMONDTOWN PREP SCHOOL,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,0,5,10,14,0,0,0,0,0,29
RICHMOND,353100997556,FRANCIS SCHOOL,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,4,11,12,11,0,0,0,0,2,40
RICHMOND,353100997919,STATEN ISLAND MONTESSORI SCHOOL,Elementary,INDEPENDENT,5,2,2,0,6,3,3,4,0,0,0,0,0,0,2,0,17,44
RICHMOND,353100998212,EDEN II SCH FOR AUTISTIC CHLDRN,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,71,60,0,0,35,166
RICHMOND,353100998696,TANGLEWOOD SCHOOL (THE),Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127
RICHMOND,353100999019,BUILDING BLOCKS SCHOOL,Elementary,INDEPENDENT,15,16,4,7,4,0,0,0,0,0,0,0,0,0,4,0,23,73
RICHMOND,353100999118,L & A CENTERS INC,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
ROCKLAND,500101145198,ALBERTUS MAGNUS HIGH SCHOOL,Senior High,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,135,140,122,103,0,0,0,0,0,500
