Year,County,SiteName,Enrollment,PBE,PME
2016-2017,Baker,BAKER  HIGH SCHOOL,464,14,0
2016-2017,Baker,BAKER MIDDLE SCHOOL,202,8,1
2016-2017,Baker,BAKER VALLEY SEVENTH-DAY ADVENTIST SCHOOL,12,5,0
2016-2017,Baker,BAKER WEB ACADEMY,996,241,2
2016-2017,Baker,BROOKLYN ELEMENTARY SCHOOL,457,22,0
2016-2017,Baker,BURNT RIVER SCHOOL DISTRICT,31,6,0
2016-2017,Baker,EAGLE CAP HIGH SCHOOL,27,0,0
2016-2017,Baker,ELKHORN ADOLESCENT TREATMENT CENTER SCHOOL,17,0,0
2016-2017,Baker,HAINES ELEMENTARY SCHOOL,147,7,1
2016-2017,Baker,HARVEST CHRISTIAN ACADEMY,91,7,0
2016-2017,Baker,HUNTINGTON SCHOOL DISTRICT 16J,80,2,0
2016-2017,Baker,KEATING ELEMENTARY SCHOOL,26,2,0
2016-2017,Baker,PINE EAGLE CHARTER SCHOOL,203,17,1
2016-2017,Baker,SOUTH BAKER INTERMEDIATE,321,7,0
2016-2017,Benton,Adams Elementary School,424,6,0
2016-2017,Benton,Alsea Elementary School,70,5,1
2016-2017,Benton,Alsea Middle School and High School,64,0,0
2016-2017,Benton,Ashbrook Independent School,130,2,1
2016-2017,Benton,Blodgett Elementary School,32,5,0
2016-2017,Benton,Cheldelin Middle School,553,25,1
2016-2017,Benton,Clemens Primary School,158,5,0
2016-2017,Benton,Corvallis High School,"1,222",59,0
2016-2017,Benton,Corvallis Montessori School,7,,
2016-2017,Benton,Corvallis Waldorf School,148,64,0
2016-2017,Benton,Crescent Valley High School,"1,000",53,1
2016-2017,Benton,Farm Home School,27,2,0
2016-2017,Benton,Fir Grove Primary School,127,5,0
2016-2017,Benton,Franklin Elementary School,167,11,0
2016-2017,Benton,Franklin Middle School,173,12,0
2016-2017,Benton,Garfield Elementary School,435,17,0
2016-2017,Benton,Hoover Elementary School,419,11,0
2016-2017,Benton,Jefferson Elementary School,354,20,0
2016-2017,Benton,Kate McNutt Independent Kindergarten,13,0,0
2016-2017,Benton,Kings Valley Charter School - Elementary,101,13,0
2016-2017,Benton,Kings Valley Charter School - Middle & High School,95,11,0
2016-2017,Benton,La Escuelita / Nueva Escuela / New World School,6,,
2016-2017,Benton,Lincoln Elementary School,358,20,0
2016-2017,Benton,Linus Pauling Middle School,755,41,2
2016-2017,Benton,Monroe Grade School,192,5,0
2016-2017,Benton,Monroe High School,128,4,0
2016-2017,Benton,Monroe Middle School,107,2,0
2016-2017,Benton,Mountain View Elementary School,349,19,0
2016-2017,Benton,Muddy Creek Charter School,110,27,0
2016-2017,Benton,North Albany Elementary School,300,5,0
2016-2017,Benton,North Albany Middle School,587,9,2
2016-2017,Benton,Oak Grove Elementary School,261,8,1
2016-2017,Benton,Philomath Elementary School,396,17,1
2016-2017,Benton,Philomath High School,455,15,0
2016-2017,Benton,Philomath Middle School,348,14,0
2016-2017,Benton,Philomath Montessori School,4,,
2016-2017,Benton,Santiam Christian Schools,554,37,1
2016-2017,Benton,Stepping Stones Preschool - PEAK Elite,2,,
2016-2017,Benton,Wilson Elementary School,402,21,1
2016-2017,Benton,Zion Lutheran School,66,5,0
2016-2017,Clackamas,ALDER CREEK MIDDLE SCHOOL,944,36,2
2016-2017,Clackamas,ALLIANCE CHARTER ACADEMY,383,111,2
2016-2017,Clackamas,AMIGUITOS PRESCHOOL,4,,
2016-2017,Clackamas,ARBOR SCHOOL OF ARTS & SCIENCES,188,18,0
2016-2017,Clackamas,ARDENWALD ELEMENTARY,435,17,1
2016-2017,Clackamas,ARTS AND TECHNOLOGY HIGH SCHOOL,107,7,1
2016-2017,Clackamas,ATHEY CREEK MIDDLE SCHOOL,664,25,2
2016-2017,Clackamas,BAKER PRAIRIE MIDDLE SCHOOL,583,22,0
2016-2017,Clackamas,BASIC SKILLS ASSESSMENT & EDUCATIONAL SERVICES,98,34,0
2016-2017,Clackamas,BEAVERCREEK ELEMENTARY,521,44,0
2016-2017,Clackamas,BILQUIST ELEMENTARY,432,15,0
2016-2017,Clackamas,BOECKMAN CREEK PRIMARY,503,23,2
2016-2017,Clackamas,BOLTON PRIMARY,384,43,3
2016-2017,Clackamas,BOONES FERRY ELEMENTARY,554,26,0
2016-2017,Clackamas,BORING MIDDLE SCHOOL,396,10,1
2016-2017,Clackamas,BRIGHT BEGINNINGS LEARNING CENTER & DAYCARE,3,,
2016-2017,Clackamas,BRIGHT MINDS CHRISTIAN DAYSCHOOL,8,,
2016-2017,Clackamas,BUTTE CREEK SCHOOL,321,77,0
2016-2017,Clackamas,CAIS,221,56,0
2016-2017,Clackamas,CANBY HIGH SCHOOL,"1,373",42,2
2016-2017,Clackamas,CANBY KEY DISTRICT PROGRAMS,14,0,0
2016-2017,Clackamas,CANDY LANE ELEMENTARY,270,11,0
2016-2017,Clackamas,CARUS ELEMENTARY,429,34,0
2016-2017,Clackamas,CASCADE HEIGHTS PUBLIC CHARTER SCHOOL,216,16,4
2016-2017,Clackamas,CASCADE SUMMIT MONTESSORI SCHOOL,8,,
2016-2017,Clackamas,CATERPILLAR CLUBHOUSE,5,,
2016-2017,Clackamas,CEDAR RIDGE MIDDLE SCHOOL,387,14,1
2016-2017,Clackamas,CEDAROAK PARK PRIMARY,309,22,0
2016-2017,Clackamas,CHINESE AMERICAN INTERNATIONAL SCHOOL,4,,
2016-2017,Clackamas,CHRIST THE KING PARISH SCHOOL,245,1,0
2016-2017,Clackamas,Clackamas High School,"2,471",64,1
2016-2017,Clackamas,CLACKAMAS MIDDLE COLLEGE,282,27,0
2016-2017,Clackamas,CLACKAMAS RIVER ELEMENTARY,446,18,0
2016-2017,Clackamas,CLARKES ELEMENTARY,157,9,0
2016-2017,Clackamas,COLTON ELEMENTARY,270,10,0
2016-2017,Clackamas,COLTON HIGH SCHOOL,194,11,2
2016-2017,Clackamas,COLTON MIDDLE SCHOOL,148,7,0
2016-2017,Clackamas,COLTON SCHOOL DISTRICT OUTSIDE PLACEMENT,8,,
2016-2017,Clackamas,COUNTRY CHRISTIAN SCHOOL,175,13,0
2016-2017,Clackamas,DAMASCUS CHRISTIAN SCHOOL,216,28,0
2016-2017,Clackamas,DUNCAN ELMENTARY,575,31,0
