Year,Site Name,County,Enrollment,PBE
2015-2016,CENTRAL LINN MIDDLE/HIGH SCHOOL,LINN ,290,16
2015-2016,CENTRAL VALLEY CHRISTIAN SCHOOL,LINN ,44,5
2015-2016,CITY OF HARRISBURG/H.A.R.T. PRESCHOOL,LINN ,18,0
2015-2016,CLOVER RIDGE ELEMENTARY,LINN ,305,10
2015-2016,CREATIVE CUBS CHILDREN'S PROGRAMS,LINN ,11,1
2015-2016,EAST LINN CHRISTIAN ACADEMY,LINN ,319,16
2015-2016,EVERGREEN MENNONITE SCHOOL,LINN ,35,0
2015-2016,FAITH LUTHERAN PRESCHOOL,LINN ,13,0
2015-2016,FAITHFUL HEART PRESCHOOL,LINN ,13,0
2015-2016,FIRST CHRISTIAN PRE-PRIMARY,LINN ,82,2
2015-2016,FIRST UNITED METHODIST EARLY LEARNING CENTER,LINN ,43,0
2015-2016,FOSTER ELEMENTARY,LINN ,274,7
2015-2016,GOOD SHEPHERD LUTHERAN SCHOOL,LINN ,123,0
2015-2016,GREEN ACRES SCHOOL,LINN ,288,10
2015-2016,HAMILTON CREEK SCHOOL,LINN ,295,11
2015-2016,HARRIS PRIVATE SCHOOL,LINN ,61,1
2015-2016,HARRISBURG ELEMENTARY,LINN ,356,15
2015-2016,HARRISBURG MIDDLE,LINN ,205,9
2015-2016,HARRISBURG UNION HIGH,LINN ,301,17
2015-2016,HAWTHORNE ELEMENTARY,LINN ,308,5
2015-2016,HEY DIDDLE DIDDLE LEARNING CENTER,LINN ,25,0
2015-2016,HOLLEY ELEMENTARY,LINN ,137,17
2015-2016,KIDCO HEAD START RIVERSIDE,LINN ,114,2
2015-2016,KIDCO HEAD START-LEBANON,LINN ,76,0
2015-2016,KIDCO HEAD START'S SOUTH ALBANY CENTER,LINN ,20,0
2015-2016,KIDCO HEADSTART / SUNNYSIDE,LINN ,55,0
2015-2016,KIDCO HEADSTART/CRAWFORDSVILLE,LINN ,34,0
2015-2016,KIDCO HEADSTART-HARRISBURG,LINN ,17,0
2015-2016,L.B.C.C. PRESCHOOL / CENTRAL LINN,LINN ,17,2
2015-2016,L.B.C.C. PRESCHOOL/SCIO MWF,LINN ,17,2
2015-2016,LACOMB SCHOOL,LINN ,205,14
2015-2016,LAFAYETTE ELEMENTARY,LINN ,323,7
2015-2016,LBL-ESD EARLY INTERVENTION/ECSE,LINN ,235,2
2015-2016,LEBANON HIGH SCHOOL,LINN ,"1,350",32
2015-2016,LEBANON I-SCHOOL,LINN ,36,1
2015-2016,LIBERTY ELEMENTARY,LINN ,343,13
2015-2016,LIGHTHOUSE MENNONITE SCHOOL,LINN ,65,21
2015-2016,LITTLE EWE CHRISTIAN PRESCHOOL,LINN ,27,0
2015-2016,LITTLE PROMISES CHILDRENS PROGRAMS,LINN ,120,3
2015-2016,LOURDES,LINN ,49,2
2015-2016,MAPLE LAWN PRESCHOOL,LINN ,73,3
2015-2016,MARI-LINN,LINN ,203,7
2015-2016,MEMORIAL MIDDLE SCHOOL,LINN ,552,9
2015-2016,NORTH ALBANY LEARNING CENTER,LINN ,34,0
2015-2016,OAK ELEMENTARY,LINN ,334,4
2015-2016,OAK HEIGHTS ELEMENTARY,LINN ,276,12
2015-2016,OREGON CONNECTIONS ACADEMY,LINN ,"3,622",419
2015-2016,OREGON YOUTH AUTHORITY OAKCREEK FACILITY,LINN ,47,0
2015-2016,P.I.E. PRESCHOOL,LINN ,60,2
2015-2016,PERIWINKLE ELEMENTARY,LINN ,378,3
2015-2016,PIONEER SCHOOL,LINN ,436,19
2015-2016,PRESBYTERIAN CHILD CARE CENTER/PRESCHOOL,LINN ,80,2
2015-2016,PUNKIN SEED PRESCHOOL,LINN ,71,1
2015-2016,RIVERVIEW SCHOOL,LINN ,408,4
2015-2016,ROOM TO BLOOM,LINN ,10,2
2015-2016,SAND RIDGE CHARTER SCHOOL,LINN ,370,23
2015-2016,SANTIAM ELEMENTARY,LINN ,296,17
2015-2016,SANTIAM JR/SR HIGH,LINN ,234,8
2015-2016,SCIO HIGH SCHOOL,LINN ,281,6
2015-2016,SCIO MIDDLE SCHOOL,LINN ,148,11
2015-2016,SEVEN OAK MIDDLE SCHOOL,LINN ,511,4
2015-2016,SOUTH ALBANY HIGH SCHOOL,LINN ,"1,329",19
2015-2016,SOUTH SHORE ELEMENTARY,LINN ,472,4
2015-2016,STANDARD CHRISTIAN SCHOOL,LINN ,31,7
2015-2016,SUNDBORN CHILDREN'S HOUSE,LINN ,31,3
2015-2016,SUNRISE ELEMENTARY SCHOOL,LINN ,393,11
2015-2016,SWEET HOME CHARTER SCHOOL,LINN ,236,13
2015-2016,SWEET HOME EARLY HEAD START,LINN ,16,0
2015-2016,SWEET HOME HIGH SCHOOL,LINN ,758,25
2015-2016,SWEET HOME JUNIOR HIGH SCHOOL,LINN ,351,10
2015-2016,TAKENA ELEMENTARY SCHOOL,LINN ,165,5
2015-2016,TANGENT ELEMENTARY SCHOOL,LINN ,146,3
2015-2016,TIMBER RIDGE SCHOOL,LINN ,682,14
2015-2016,WAVERLY ELEMENTARY SCHOOL,LINN ,236,6
2015-2016,WEST ALBANY HIGH SCHOOL,LINN ,"1,356",37
2015-2016,YMCA PRESCHOOL (FEELING GOOD),LINN ,24,0
2015-2016,ADRIAN ELEMENTARY & MIDDLE SCHOOL,MALHEUR ,187,0
2015-2016,ADRIAN HIGH SCHOOL,MALHEUR ,83,0
2015-2016,AIKEN ELEMENTARY SCHOOL,MALHEUR ,273,2
2015-2016,ALAMEDA ELEMENTARY,MALHEUR ,423,0
2015-2016,ANNEX SCHOOL,MALHEUR ,77,4
2015-2016,CAIRO SCHOOL,MALHEUR ,134,0
2015-2016,FOUR RIVERS COMMUNITY SCHOOL,MALHEUR ,251,3
2015-2016,GIGGLES AND GRACE,MALHEUR ,51,0
2015-2016,HARPER ELEMENTARY SCHOOL,MALHEUR ,98,2
2015-2016,JORDAN VALLEY ELEMENTARY SCHOOL,MALHEUR ,32,0
2015-2016,JORDAN VALLEY HIGH SCHOOL,MALHEUR ,50,0
2015-2016,MALHEUR CO. CHILD DEV. CENTER,MALHEUR ,209,1
2015-2016,MALHEUR EDUCATION CENTER,MALHEUR ,15,0
2015-2016,MAY ROBERTS ELEMENTARY,MALHEUR ,380,6
2015-2016,NYSSA ELEMENTARY SCHOOL,MALHEUR ,545,5
2015-2016,NYSSA HIGH SCHOOL,MALHEUR ,323,2
2015-2016,NYSSA MIDDLE SCHOOL,MALHEUR ,249,6
2015-2016,ONTARIO HIGH SCHOOL,MALHEUR ,685,3
2015-2016,ONTARIO MIDDLE SCHOOL,MALHEUR ,339,1
2015-2016,PIONEER SCHOOL,MALHEUR ,124,1
2015-2016,ST PETER CATHOLIC SCHOOL,MALHEUR ,62,0
2015-2016,TREASURE VALLEY CHILDREN'S RELIEF NURSERY,MALHEUR ,37,0
2015-2016,TREASURE VALLEY CHRISTIAN SCHOOL,MALHEUR ,83,6
2015-2016,VALE ELEMENTARY SCHOOL,MALHEUR ,435,7
2015-2016,VALE HIGH SCHOOL,MALHEUR ,279,9
2015-2016,VALE MIDDLE SCHOOL,MALHEUR ,133,4
2015-2016,WILLOWCREEK SCHOOL,MALHEUR ,65,1
2015-2016,WORLD OF DREAMS,MALHEUR ,11,0
2015-2016,WW JONES - AROCK SCHOOL,MALHEUR ,14,0
2015-2016,A SPECIAL PLACE PRESCHOOL,MARION ,19,0
2015-2016,A.C. GILBERTS'S DISCOVERY VILLAGE PRESCHOOL,MARION ,22,0
2015-2016,ABIQUA ACADEMY,MARION ,162,6
2015-2016,ABIQUA CHILDREN'S CENTER,MARION ,13,0
2015-2016,ADVENTURES UNLIMITED,MARION ,29,1
2015-2016,ALL STAR PRESCHOOL,MARION ,35,1
2015-2016,ARK ANGELS PRESCHOOL,MARION ,142,6
2015-2016,AUBURN ELEMENTARY,MARION ,629,13
2015-2016,AUMSVILLE ELEMENTARY 3-5,MARION ,300,13
2015-2016,AUMSVILLE ELEMENTARY K-2,MARION ,279,11
2015-2016,BATTLE CREEK ELEMENTARY,MARION ,534,22
2015-2016,BERRY PATCH KIDS,MARION ,11,0
2015-2016,BETHANY CHARTER SCHOOL,MARION ,135,24
2015-2016,BLANCHET SCHOOL,MARION ,354,3
2015-2016,BLUEBIRD MONTESSORI,MARION ,19,1
2015-2016,BRIGETT SCHWAB'S DAYCARE,MARION ,10,0
2015-2016,BRIGHT BEGINNINGS CHILD DEVELOPMENT CENTER,MARION ,16,0
2015-2016,BUD TO BLOSSOM DAY CARE,MARION ,65,0
2015-2016,BUSH ELEMENTARY,MARION ,303,13
2015-2016,BUTTERCUP HILL CHILDREN'S CENTER,MARION ,112,0
2015-2016,CANDALARIA ELEMENTARY,MARION ,356,13
2015-2016,CASCADE HIGH #5,MARION ,708,16
2015-2016,CASCADE JR. HIGH SD 5,MARION ,525,9
2015-2016,CASCADE VIEW CHRISTIAN SCHOOL,MARION ,50,0
2015-2016,CATERPILLAR CLUBHOUSE,MARION ,10,0
2015-2016,CENTENNIAL CTP,MARION ,11,2
2015-2016,CENTRAL HOWELL #4,MARION ,173,7
2015-2016,CHAVEZ ELEMENTARY,MARION ,563,13
2015-2016,CHEMAWA INDIAN CLINIC/SCHOOL,MARION ,419,0
2015-2016,CHEMEKETA CHILD DEV. CENTER,MARION ,39,5
2015-2016,CHEMEKETA CTP,MARION ,18,1
2015-2016,CHILD'S WAY DAYCARE,MARION ,10,2
2015-2016,CINDY'S KIDS,MARION ,19,0
2015-2016,CIRCLE OF FRIENDS,MARION ,18,2
2015-2016,CLAGGETT CREEK MIDDLE,MARION ,919,16
2015-2016,CLEAR LAKE ELEMENTARY,MARION ,469,16
2015-2016,CLOVERDALE SCHOOL #5,MARION ,175,16
2015-2016,COMMUNITY ACTION HEAD START-SALEM,MARION ,740,9
2015-2016,COURT ST CHRISTIAN DAY CARE,MARION ,73,5
2015-2016,CREATIVE DISCOVERIES PRESCHOOL,MARION ,32,1
2015-2016,CREATIVE KIDS LEARNING CENTER,MARION ,24,0
2015-2016,CREATIVE LEARNING CENTER-WOODBURN,MARION ,21,0
2015-2016,CROSSHILL CHRISTIAN SCHOOL NORTH CAMPUS,MARION ,91,0
2015-2016,CROSSHILL CHRISTIAN SCHOOL SOUTH CAMPUS,MARION ,249,28
2015-2016,CROSSLER MIDDLE,MARION ,694,27
2015-2016,CUMMINGS ELEMENTARY,MARION ,416,17
2015-2016,DAY DREAMS CHILDCARE,MARION ,18,0
2015-2016,DONOHUE DAY CARE,MARION ,13,0
2015-2016,DOWNTOWN CTP,MARION ,25,0
2015-2016,EAGLE CHARTER,MARION ,142,14
2015-2016,EARLY COLLEGE HIGH SCHOOL,MARION ,200,10
2015-2016,ENCHANTED CHILDCARE & PRESCHOOL,MARION ,35,0
2015-2016,ENGLEWOOD ELEMENTARY,MARION ,371,17
2015-2016,EUGENE FIELD SCHOOL #4,MARION ,460,40
2015-2016,EVERGREEN SCHOOL #4,MARION ,77,3
2015-2016,EYRE ELEMENTARY,MARION ,588,4
2015-2016,FAMILY BUILDING BLOCKS @ CHELSEAS PLACE,MARION ,70,0
2015-2016,FIVE ACRES ACADEMY,MARION ,16,0
2015-2016,FOREST RIDGE ELEMENTARY,MARION ,240,12
2015-2016,FOUR CORNERS,MARION ,512,4
2015-2016,FRENCH PRAIRIE MIDDLE #103,MARION ,590,6
2015-2016,GABY'S DAYCARE,MARION ,13,0
2015-2016,GERVAIS EARLY LEARNING CENTER,MARION ,12,0
2015-2016,GERVAIS ELEMENTARY,MARION ,442,16
2015-2016,GERVAIS HIGH,MARION ,323,24
2015-2016,GERVAIS MIDDLE,MARION ,217,12
2015-2016,GETHSEMANE CHRISTIAN ACADEMY,MARION ,19,4
2015-2016,GRANT ELEMENTARY SCHOOL,MARION ,469,13
2015-2016,GUBSER ELEMENTARY,MARION ,489,19
2015-2016,HALFPINTS PRESCHOOL,MARION ,11,2
2015-2016,HALLMAN ELEMENTARY,MARION ,449,3
2015-2016,HAMMOND ELEMENTARY,MARION ,527,9
2015-2016,HAPPY HELPER CHRISTIAN PRESCHOOL,MARION ,16,0
2015-2016,HAYESVILLE ELEMENTARY,MARION ,439,7
2015-2016,HERITAGE ELEMENTARY,MARION ,926,174
2015-2016,HERITAGE SCHOOL,MARION ,36,2
2015-2016,HIGHLAND ELEMENTARY,MARION ,388,8
2015-2016,HIGHLAND PRESCHOOL,MARION ,32,1
2015-2016,HILLCREST-ROBERT FARRELL SCHOOL,MARION ,112,0
2015-2016,HOLY FAMILY ACADEMY,MARION ,46,13
2015-2016,HOME AWAY FROM HOME,MARION ,14,0
2015-2016,HOOVER ELEMENTARY,MARION ,495,4
2015-2016,HOUCK MIDDLE,MARION ,963,11
2015-2016,HOWARD ST. CHARTER,MARION ,161,5
2015-2016,IMMANUEL LUTHERAN SCHOOL,MARION ,74,0
2015-2016,IRIS VALLEY LEARNING CENTER,MARION ,110,4
2015-2016,ISLAND ADVENTURES 1,MARION ,12,0
2015-2016,JANE GOODALL CHARTER SCHOOL,MARION ,98,8
2015-2016,JEFFERSON CHRISTIAN SCHOOL,MARION ,23,0
2015-2016,JEFFERSON ELEMENTARY #14,MARION ,382,9
2015-2016,JEFFERSON HIGH #14,MARION ,297,4
2015-2016,JEFFERSON KIDCO HEAD START,MARION ,38,0
2015-2016,JEFFERSON MIDDLE #14,MARION ,186,4
2015-2016,JOHN F. KENNEDY HIGH #91,MARION ,176,4
2015-2016,JUANA'S DAY CARE,MARION ,11,0
2015-2016,JUDSON MIDDLE,MARION ,911,24
2015-2016,KEIZER CHRISTIAN CHURCH PRESCHOOL,MARION ,32,0
2015-2016,KEIZER ELEMENTARY,MARION ,633,22
2015-2016,KENNEDY ELEMENTARY,MARION ,451,5
2015-2016,KOUNTRY KID'S EARLY LEARNING CENTER,MARION ,49,2
2015-2016,KUEBLER EARLY LEARNING CENTER,MARION ,80,1
2015-2016,LAMB ELEMENTARY,MARION ,465,6
2015-2016,LANCASTER LEARNING CENTER,MARION ,51,1
2015-2016,LEE ELEMENTARY,MARION ,317,14
2015-2016,LESLIE MIDDLE SCHOOL,MARION ,752,21
2015-2016,LIBERTY ELEMENTARY,MARION ,394,16
2015-2016,LINCOLN ELEMENTARY #103,MARION ,767,5
2015-2016,LISA'S LITTLE LEARNING FRIENDS,MARION ,10,0
2015-2016,LITTLE COUNTRY TYKES CHILDCARE,MARION ,10,0
2015-2016,LITTLE FRIENDS MONTESSORI,MARION ,71,7
2015-2016,LITTLE LAMB CHRISTIAN PRESCHOOL,MARION ,39,0
2015-2016,LITTLE LAMBS PRESCHOOL,MARION ,39,2
2015-2016,LITTLE OLY'S PRESCHOOL,MARION ,21,0
2015-2016,LITTLE VILLAGE LEARNING CENTER,MARION ,85,0
2015-2016,LITTLEST ANGEL PRESCHOOL,MARION ,22,2
2015-2016,LIVINGSTONE ADVENTIST ACADEMY,MARION ,138,17
2015-2016,LOLLIPOP TREE LEARNING CENTER,MARION ,45,0
2015-2016,MACLAREN - LORD HIGH,MARION ,21,0
2015-2016,MARK TWAIN MIDDLE SCHOOL,MARION ,308,20
2015-2016,MCKAY HIGH SCHOOL,MARION ,"2,118",19
2015-2016,MCKINLEY ELEMENTARY,MARION ,344,19
2015-2016,MCNARY HIGH SCHOOL,MARION ,"1,985",44
2015-2016,MICAH CTP,MARION ,22,0
2015-2016,MIGRANT PRIMARY SCHOOL,MARION ,30,0
2015-2016,MILLER ELEMENTARY,MARION ,434,12
2015-2016,MONTESSORI DISCOVERY CENTER,MARION ,69,3
2015-2016,MORNINGSIDE ELEMENTARY,MARION ,372,8
2015-2016,MT. ANGEL MIDDLE #91,MARION ,150,3
2015-2016,NELLIE MUIR ELEMENTARY #103,MARION ,484,6
2015-2016,NEW HOPE DAYCARE & PRESCHOOL,MARION ,92,1
2015-2016,NORTH MARION HIGH #15,MARION ,587,16
2015-2016,NORTH MARION INTERMEDIATE #15,MARION ,488,21
2015-2016,NORTH MARION MIDDLE #15,MARION ,470,21
2015-2016,NORTH MARION PRIMARY #15,MARION ,429,12
2015-2016,NORTH MARION PRIMARY PRESCHOOL,MARION ,34,2
2015-2016,NORTH SALEM HIGH,MARION ,"1,766",32
2015-2016,NORTH SANTIAM ALTERNATIVE PROGRAM,MARION ,40,0
2015-2016,OAKHILL ACADEMY,MARION ,17,0
2015-2016,OCDC -EARLY HEAD START-WOODBURN,MARION ,23,0
2015-2016,OCDC MIGRANT HEAD START  PROGRAM,MARION ,55,0
2015-2016,OCDC-EARLY HEAD START-SALEM,MARION ,34,0
2015-2016,OCDC-OHSPK PROGRAM,MARION ,309,5
2015-2016,OLE CHARTER SCHOOL,MARION ,130,4
2015-2016,ONE ACRE WOODS,MARION ,12,0
2015-2016,OREGON SCHOOL FOR DEAF,MARION ,101,4
2015-2016,OSH - QUEST ADULT SCHOOL,MARION ,16,0
2015-2016,PARRISH MIDDLE SCHOOL,MARION ,654,15
2015-2016,PATTY CAKE PRAISE,MARION ,10,1
2015-2016,PRATUM ELEMENTARY #4,MARION ,78,6
2015-2016,PRECIOUS LITTLE LAMBS DAYCARE,MARION ,22,1
2015-2016,PRICELESS TREASURES,MARION ,13,1
2015-2016,PRINGLE ELEMENTARY,MARION ,537,15
2015-2016,PROVIDENCE BENEDICTINE CHILD DEVELOPMENT CENTER,MARION ,22,0
2015-2016,QUEEN OF PEACE,MARION ,127,1
2015-2016,REDEEMER LUTHERAN PRES.,MARION ,26,1
2015-2016,REGIS HIGH SCHOOL,MARION ,169,5
2015-2016,RICHMOND ELEMENTARY,MARION ,393,15
2015-2016,RISE & SHINE CHILDREN'S LEARNING CENTER,MARION ,26,0
2015-2016,RJ PRESCHOOL,MARION ,41,2
2015-2016,ROBERT FROST SCHOOL #4,MARION ,391,32
2015-2016,ROBERTS HIGH SCHOOL SLC,MARION ,149,5
2015-2016,ROBERTS HIGH SCHOOL-DTLC,MARION ,50,0
2015-2016,ROBERTS HIGH SCHOOL-SKON,MARION ,160,8
2015-2016,ROBERTS HIGH SCHOOL-SOPH,MARION ,40,0
2015-2016,SACRED HEART - GERVAIS,MARION ,75,6
2015-2016,SAFARI KID'S DAY CARE,MARION ,12,0
2015-2016,SALEM ACADEMY ELEMENTARY,MARION ,248,10
2015-2016,SALEM ACADEMY HIGH,MARION ,241,4
2015-2016,SALEM ACADEMY MIDDLE SCHOOL,MARION ,133,8
2015-2016,SALEM ACADEMY PRESCHOOL,MARION ,83,1
2015-2016,SALEM CHILD DEVELOPMENT,MARION ,288,8
2015-2016,SALEM CHRISTIAN DAY SCHOOL,MARION ,63,0
2015-2016,SALEM HEIGHTS ELEMENTARY,MARION ,295,13
2015-2016,SALEM MONTESSORI SCHOOL,MARION ,27,0
2015-2016,SALEM-KEIZER EARLY CHILDHOOD CENTER (TPP  & BAKER),MARION ,73,0
2015-2016,SALEM-KEIZER HEAD START PRE-K,MARION ,303,4
2015-2016,SALEM-KEIZER PRESCHOOL,MARION ,337,13
2015-2016,SALEM-KEIZER TITLE 1 PRESCHOOL,MARION ,132,1
2015-2016,SAMUEL BROWN ACADEMY,MARION ,62,3
2015-2016,SCHIRLE ELEMENTARY,MARION ,458,11
2015-2016,SCOTT ELEMENTARY,MARION ,631,13
2015-2016,SCOTTS MILLS #4,MARION ,153,17
2015-2016,SHELLY'S KIDS,MARION ,17,0
2015-2016,SILETZ TRIBAL HEAD START,MARION ,39,0
2015-2016,SILVER CREST SCHOOL,MARION ,138,15
2015-2016,SILVERTON CHRISTIAN SCHOOL,MARION ,96,13
2015-2016,SILVERTON HIGH,MARION ,"1,224",102
2015-2016,SONSHINE SCHOOL,MARION ,198,6
2015-2016,SOUTH SALEM HIGH SCHOOL,MARION ,"1,820",50
2015-2016,SOUTH SALEM RIVER RD. LEARNING TREE DAY SCHOOL,MARION ,49,0
2015-2016,SPRAGUE HIGH SCHOOL,MARION ,"1,637",54
2015-2016,ST. JOHN BOSCO HIGH SCHOOL,MARION ,22,7
2015-2016,ST. JOHN'S LUTHERAN,MARION ,36,1
2015-2016,ST. JOSEPH'S SCHOOL,MARION ,205,4
2015-2016,ST. LUKE'S - WOODBURN,MARION ,155,1
2015-2016,ST. MARK'S CHILD DEV.,MARION ,41,1
2015-2016,ST. MARY'S - STAYTON,MARION ,216,13
2015-2016,ST. MARY'S SCHOOL,MARION ,354,13
2015-2016,ST. PAUL ELEMENTARY #45,MARION ,124,3
2015-2016,ST. PAUL HIGH #45,MARION ,145,1
2015-2016,ST. PAUL PAROCHIAL,MARION ,89,2
2015-2016,ST. VINCENT DE PAUL,MARION ,127,1
2015-2016,STAYTON ELEMENTARY #29,MARION ,439,10
2015-2016,STAYTON HIGH SCHOOL,MARION ,695,19
2015-2016,STAYTON INTERMEDIATE,MARION ,245,10
2015-2016,STAYTON MIDDLE SCHOOL #29,MARION ,336,8
2015-2016,STEPHENS MIDDLE SCHOOL,MARION ,"1,048",10
2015-2016,SUBLIMITY ELEMENTARY SD 7,MARION ,368,17
2015-2016,SUMPTER ELEMENTARY,MARION ,496,25
2015-2016,SUNNY DAYS PRESCHOOL,MARION ,17,0
2015-2016,SWEGLE ELEMENTARY,MARION ,564,9
2015-2016,SWINGLE DAYCARE,MARION ,11,0
2015-2016,TEEN PARENTS PROGRAM,MARION ,95,0
2015-2016,THE COMMUNITY ROOTS SCHOOL,MARION ,79,20
2015-2016,THE EARLY LEARNING CENTER,MARION ,22,0
2015-2016,THE LEARNING TREE CHILD CARE & PRESCHOOL-STAYTON,MARION ,27,0
2015-2016,THE LITTLE BIRD HOUSE DAYCARE & PRESCHOOL,MARION ,10,0
2015-2016,THE MELON PATCH,MARION ,10,2
2015-2016,TINY HANDS SPECIALIZED CHILD CARE,MARION ,15,0
2015-2016,TINY STEPS,MARION ,10,0
2015-2016,TLC CHILD DEVELOPMENT,MARION ,18,0
2015-2016,TRUTH TABERNACLE CHRISTIAN ACADEMY,MARION ,22,0
2015-2016,TURNER ELEMENTARY #5,MARION ,235,9
2015-2016,VALLEY INQUIRY CHARTER,MARION ,167,21
2015-2016,VALOR MIDDLE SCHOOL #103,MARION ,630,47
2015-2016,VICTOR POINT #4,MARION ,221,11
2015-2016,WALDO MIDDLE SCHOOL,MARION ,927,9
2015-2016,WASHINGTON ELEMENTARY,MARION ,440,1
2015-2016,WASHINGTON ELEMENTARY-WOODBURN,MARION ,558,0
2015-2016,"WDBN H.S. (WAAST) ACADEMY OF ART, SCIENCE, & TECHN",MARION ,393,0
2015-2016,WDBN H.S. (WACA) WOODBURN ARTS & COMMUNICATION ACA,MARION ,379,0
2015-2016,"WDBN H.S. (WEBSS) WOODBURN WELLNESS, BUSINESS & SP",MARION ,356,10
2015-2016,WDBN H.S.(AIS) ACADEMY OF INTERNATIONAL STUDIES,MARION ,297,0
2015-2016,WDBN H.S.SUCCESS (ALTERNATIVE PROGRAMS),MARION ,67,2
2015-2016,WEDDLE ELEMENTARY,MARION ,458,13
2015-2016,WHEATLAND CTP,MARION ,12,0
2015-2016,WHITEAKER MIDDLE,MARION ,733,20
2015-2016,WILLAMETTE ESD,MARION ,363,8
2015-2016,WILLAMETTE VALLEY BAPTIST,MARION ,56,7
2015-2016,WILLAMETTE VALLEY CHRISTIAN,MARION ,175,8
2015-2016,WILLSON HOUSE CHILD DEVELOPMENT CENTER,MARION ,39,4
2015-2016,WINEMA,MARION ,38,0
2015-2016,WOODBURN ARTHUR ACADEMY,MARION ,155,13
2015-2016,WOODBURN FAMILY LEARNING CENTER,MARION ,31,0
2015-2016,WOODBURN SCHOOL DISTRICT MIGRANT PRE-K,MARION ,20,0
2015-2016,WRIGHT ELEMENTARY,MARION ,425,15
2015-2016,YMCA CHILD DEVELOPMENT CENTER,MARION ,84,4
2015-2016,YOSHIKAI ELEMENTARY,MARION ,543,12
2015-2016,AC HOUGHTON ELEMENTARY,MORROW ,287,4
2015-2016,BOARDMAN CHILD DEVELOPMENT PRESCHOOL,MORROW ,22,2
2015-2016,CREATIVE CARE PRESCHOOL,MORROW ,10,0
2015-2016,HEPPNER DAYCARE,MORROW ,27,0
2015-2016,HEPPNER ELEMENTARY,MORROW ,183,2
2015-2016,HEPPNER HIGH/MIDDLE SCHOOL,MORROW ,161,3
2015-2016,INTERMOUNTAIN  ESD ECSE PRESCHOOL,MORROW ,22,0
2015-2016,IONE COMMUNITY SCHOOL,MORROW ,192,2
2015-2016,IRRIGON ELEMENTARY,MORROW ,169,1
2015-2016,IRRIGON JUNIOR-SENIOR HIGH SCHOOL,MORROW ,403,7
2015-2016,MORROW EDUCATION CENTER,MORROW ,35,0
2015-2016,RIVERSIDE HIGH SCHOOL,MORROW ,386,1
2015-2016,SAM BOARDMAN ELEMENTARY,MORROW ,354,2
2015-2016,UMATILLA-MORROW COUNTY HEAD START,MORROW ,68,0
2015-2016,WINDY RIVER ELEMENTARY,MORROW ,208,0
2015-2016,A PLACE 4 KIDS,MULTNOMAH ,12,0
2015-2016,ABC UNIVERSITY PRESCHOOL AT LINNTON COMMUNITY CENT,MULTNOMAH ,17,0
2015-2016,ABERNETHY ES,MULTNOMAH ,501,68
2015-2016,ACCESS,MULTNOMAH ,144,7
2015-2016,ACE ACADEMY,MULTNOMAH ,100,0
2015-2016,ADVENTURE + CHILD CARE,MULTNOMAH ,15,0
2015-2016,AINSWORTH ES,MULTNOMAH ,572,30
2015-2016,AIRPORT LEARNING TREE,MULTNOMAH ,80,1
2015-2016,ALAMEDA BEAUMONT CHILDCARE,MULTNOMAH ,18,0
2015-2016,ALAMEDA ES,MULTNOMAH ,758,56
2015-2016,ALAMEDA PLAYSCHOOL,MULTNOMAH ,19,5
2015-2016,ALBERTA EARLY LEARNING COMMUNITY,MULTNOMAH ,22,2
2015-2016,ALBINA EARLY HEAD START - NORMANDALE SITE,MULTNOMAH ,384,2
2015-2016,ALBINA HEAD START,MULTNOMAH ,628,10
2015-2016,ALDER ES,MULTNOMAH ,523,14
2015-2016,ALDER STREET LEARNING CENTER,MULTNOMAH ,23,1
2015-2016,ALICE OTT MS,MULTNOMAH ,725,29
2015-2016,ALL ABOUT KIDS DAYCARE,MULTNOMAH ,12,0
2015-2016,ALL SAINTS SCHOOL,MULTNOMAH ,492,1
2015-2016,ALLIANCE HS @ BENSON CAMPUS,MULTNOMAH ,56,0
2015-2016,ALLIANCE HS AT MEEK,MULTNOMAH ,123,4
2015-2016,ALPHA HS,MULTNOMAH ,75,3
2015-2016,AMAZING MINDS LEARNING CENTER BY GOODMAN FAMILY CH,MULTNOMAH ,12,1
2015-2016,ANGEL LOFT PRESCHOOL,MULTNOMAH ,18,0
2015-2016,APOSTOLIC CHRISTIAN ACADEMY,MULTNOMAH ,17,2
2015-2016,APPLE BLOSSOM NURSERY SCHOOL,MULTNOMAH ,16,5
2015-2016,APRENDE CON AMIGOS LLC,MULTNOMAH ,61,8
2015-2016,ARATA CREEK,MULTNOMAH ,42,2
2015-2016,ARCHBISHOP HOWARD SCHOOL,MULTNOMAH ,214,2
2015-2016,ARLETA K-8,MULTNOMAH ,463,25
2015-2016,ARTHUR ACADEMY CHARTER (DAVID DOUGLAS S. D.),MULTNOMAH ,154,11
2015-2016,ARTHUR ACADEMY CHARTER (PORTLAND PUBLIC SCHOOLS),MULTNOMAH ,176,17
2015-2016,ASCENSION EARLY CHILDHOOD CTR,MULTNOMAH ,31,0
2015-2016,ASTOR K-8,MULTNOMAH ,500,29
2015-2016,ATKINSON ES,MULTNOMAH ,437,34
2015-2016,ATLAS IMMERSION ACADEMY,MULTNOMAH ,66,9
2015-2016,B' S PRESCHOOL ANNEX,MULTNOMAH ,14,1
2015-2016,B' S PRESCHOOL LLC,MULTNOMAH ,18,2
2015-2016,BEACH PK-8,MULTNOMAH ,607,33
