SCHOOL YEAR,DATE OF REPORT,COUNTY,STATE DISTRICT ID,DISTRICT NAME,STATE LOCATION ID,LOCATION NAME,SCHOOL TYPE,SUBGROUP CODE,SUBGROUP NAME,Enrollment,PK (HALF DAY),PK (FULL DAY),KG (HALF DAY),KG (FULL DAY),GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,UNGRADED (ELEMENTARY),GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,UNGRADED (SECONDARY)
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010014,MONTESSORI MAGNET SCHOOL,PUBLIC,01,All Students,324,0,35,0,46,47,46,48,45,46,0,11,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010016,PINE HILLS ELEMENTARY SCHOOL,PUBLIC,01,All Students,442,0,0,0,66,62,77,67,66,48,55,1,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010018,DELAWARE COMMUNITY SCHOOL,PUBLIC,01,All Students,458,0,18,0,65,65,76,89,73,72,0,0,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,PUBLIC,01,All Students,484,0,0,0,67,84,80,93,89,65,0,6,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010020,NORTH ALBANY ACADEMY,PUBLIC,01,All Students,402,0,0,0,37,39,48,39,40,43,29,5,40,68,0,0,0,0,14
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010023,ALBANY SCHOOL OF HUMANITIES,PUBLIC,01,All Students,551,0,0,0,75,73,69,66,91,70,87,20,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010027,EAGLE POINT ELEMENTARY SCHOOL,PUBLIC,01,All Students,345,0,0,0,47,51,42,49,54,41,61,0,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010028,THOMAS S O'BRIEN ACAD OF SCI & TECH,PUBLIC,01,All Students,479,0,0,0,62,62,67,69,66,83,61,9,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,PUBLIC,01,All Students,560,0,35,0,71,74,85,84,72,59,80,0,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,PUBLIC,01,All Students,603,0,0,0,0,0,0,0,0,0,125,1,245,232,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010034,ALBANY HIGH SCHOOL,PUBLIC,01,All Students,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,728,612,552,559,78
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010039,ARBOR HILL ELEMENTARY SCHOOL,PUBLIC,01,All Students,382,0,18,0,55,47,60,41,47,49,55,10,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010043,P J SCHUYLER ACHIEVEMENT ACADEMY,PUBLIC,01,All Students,278,0,0,0,45,57,43,41,45,47,0,0,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010044,SHERIDAN PREP ACADEMY,PUBLIC,01,All Students,390,0,0,0,60,74,83,65,56,51,0,1,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010045,MYERS MIDDLE SCHOOL,PUBLIC,01,All Students,698,0,0,0,0,0,0,0,0,0,141,3,272,274,0,0,0,0,8
2016-17,10/2/2017,ALBANY,010100010000,ALBANY,010100010046,WEST HILL MIDDLE SCHOOL,PUBLIC,01,All Students,178,0,0,0,0,0,0,0,0,0,0,0,84,94,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010201040000,BERNE KNOX,010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,PUBLIC,01,All Students,371,0,0,0,0,0,0,0,0,0,0,0,56,52,66,58,75,61,3
2016-17,10/2/2017,ALBANY,010201040000,BERNE KNOX,010201040002,BERNE-KNOX-WESTERLO ELEM SCH,PUBLIC,01,All Students,391,0,0,0,52,47,52,58,62,66,54,0,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010306060000,BETHLEHEM,010306060003,ELSMERE ELEMENTARY SCHOOL,PUBLIC,01,All Students,286,0,0,0,50,37,48,44,50,46,0,11,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010306060000,BETHLEHEM,010306060004,GLENMONT ELEMENTARY SCHOOL,PUBLIC,01,All Students,365,0,0,0,64,59,60,56,50,76,0,0,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010306060000,BETHLEHEM,010306060005,HAMAGRAEL ELEMENTARY SCHOOL,PUBLIC,01,All Students,323,0,0,0,44,60,63,51,52,52,0,1,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010306060000,BETHLEHEM,010306060006,SLINGERLANDS ELEMENTARY SCHOOL,PUBLIC,01,All Students,499,0,0,0,74,71,73,99,86,96,0,0,0,0,0,0,0,0,0
2016-17,10/2/2017,ALBANY,010306060000,BETHLEHEM,010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,PUBLIC,01,All Students,1070,0,0,0,0,0,0,0,0,0,339,5,360,362,0,0,0,0,4
2016-17,10/2/2017,ALBANY,010306060000,BETHLEHEM,010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,PUBLIC,01,All Students,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,410,400,422,380,18
2016-17,10/2/2017,ALBANY,010306060000,BETHLEHEM,010306060009,EAGLE ELEMENTARY SCHOOL,PUBLIC,01,All Students,410,0,0,0,64,57,66,66,76,81,0,0,0,0,0,0,0,0,0
