COUNTY,BEDS Code,SCHOOL_NAME,GRADE_ORG_DESC,AFFILIATION,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
GENESEE,180300329652,ST PAUL LUTHERAN SCHOOL,Elementary,LUTHERAN,7,8,12,7,5,0,0,0,0,0,0,0,0,0,12,0,5,56
GREENE,190701859503,GRAPEVILLE CHRISTIAN SCHOOL,K-12 School,BAPTIST,2,4,10,6,0,7,7,4,6,6,4,5,0,0,5,0,0,66
GREENE,190901999257,PLATTE CLOVE SCHOOL,Elementary,INDEPENDENT,1,3,4,4,2,5,2,7,0,0,0,0,0,0,6,0,0,34
HERKIMER,210601115680,SAINT FRANCIS DE SALES REGIONAL CATHOLIC SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,14,13,12,8,6,9,0,0,0,0,0,0,0,0,9,0,39,110
HERKIMER,210800858546,MOHAWK VALLEY CHRISTIAN ACADEMY,Junior Senior School,BAPTIST,2,3,2,4,5,1,2,6,1,0,2,4,0,0,4,0,0,36
HERKIMER,212001809542,FAITH CHRISTIAN SCHOOL,Elementary,CHRISTIAN FUNDAMENTALIST,1,1,1,1,1,0,0,1,0,0,0,3,0,0,1,0,0,10
JEFFERSON,222000155013,IMMACULATE HEART ELEMENTARY SCHOOL,Elementary,ROMAN CATHOLIC - OGDENSBURG DIOCESE,51,40,37,27,38,32,0,0,0,0,0,0,0,0,35,0,86,346
JEFFERSON,222000155874,IMMACULATE HEART CENTRAL HIGH SCHOOL,Junior Senior School,ROMAN CATHOLIC - OGDENSBURG DIOCESE,0,0,0,0,0,0,47,34,49,52,50,58,0,0,0,0,0,290
JEFFERSON,222000809092,FAITH FELLOWSHIP CHRISTIAN SCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,13,11,13,13,10,12,15,16,9,8,6,5,0,0,15,0,21,167
JEFFERSON,222201155866,AUGUSTINIAN ACADEMY-ELEMENTARY,Elementary,ROMAN CATHOLIC - OGDENSBURG DIOCESE,20,21,16,7,12,6,10,9,0,0,0,0,0,0,25,0,36,162
JEFFERSON,222201809064,CHRISTIAN HERITAGE SCHOOL,Elementary,CHRISTIAN FUNDAMENTALIST,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,9
LEWIS,230901655470,MILLCREEK AMISH SCHOOL,Elementary,MENNONITES,3,5,2,3,2,3,3,3,0,0,0,0,0,0,0,0,0,24
LEWIS,230901655472,DEERBROOK SCHOOL,Elementary,MENNONITES,3,1,3,2,3,3,2,2,0,0,0,0,0,0,0,0,0,19
