SCHOOL YEAR,DATE OF REPORT,COUNTY,STATE DISTRICT ID,DISTRICT NAME,STATE LOCATION ID,LOCATION NAME,SCHOOL TYPE,SUBGROUP CODE,SUBGROUP NAME,Enrollment,PK (HALF DAY),PK (FULL DAY),KG (HALF DAY),KG (FULL DAY),GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,UNGRADED (ELEMENTARY),GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,UNGRADED (SECONDARY)
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010014,MONTESSORI MAGNET SCHOOL,PUBLIC,01,All Students,330,0,36,0,48,51,45,49,45,44,0,12,0,0,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010016,PINE HILLS ELEMENTARY SCHOOL,PUBLIC,01,All Students,438,0,0,0,72,77,76,65,51,49,48,0,0,0,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010018,DELAWARE COMMUNITY SCHOOL,PUBLIC,01,All Students,464,0,17,0,64,75,84,75,73,75,0,1,0,0,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,PUBLIC,01,All Students,508,0,0,0,79,96,89,91,72,78,0,3,0,0,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010020,NORTH ALBANY ACADEMY,PUBLIC,01,All Students,379,0,0,0,37,46,43,46,31,29,31,5,52,43,0,0,0,0,16
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010023,ALBANY SCHOOL OF HUMANITIES,PUBLIC,01,All Students,518,0,0,0,63,73,65,88,71,80,57,21,0,0,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010027,EAGLE POINT ELEMENTARY SCHOOL,PUBLIC,01,All Students,313,0,0,0,51,44,44,42,44,54,34,0,0,0,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010028,THOMAS S O'BRIEN ACAD OF SCI & TECH,PUBLIC,01,All Students,479,0,0,0,70,68,65,73,83,63,45,11,0,0,0,0,0,0,1
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,PUBLIC,01,All Students,499,0,0,0,76,80,81,58,63,71,70,0,0,0,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,PUBLIC,01,All Students,587,0,0,0,0,0,0,0,0,0,116,0,239,232,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010034,ALBANY HIGH SCHOOL,PUBLIC,01,All Students,2516,0,0,0,0,0,0,0,0,0,0,0,1,0,745,591,525,584,70
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010039,ARBOR HILL ELEMENTARY SCHOOL,PUBLIC,01,All Students,362,0,0,0,63,58,52,45,37,55,41,11,0,0,0,0,0,0,0
2015-16,4/28/2017,ALBANY,010100010000,ALBANY,010100010043,P J SCHUYLER ACHIEVEMENT ACADEMY,PUBLIC,01,All Students,226,0,0,0,41,38,32,34,39,42,0,0,0,0,0,0,0,0,0
