SCHOOL YEAR,DATE OF REPORT,COUNTY,STATE DISTRICT ID,DISTRICT NAME,STATE LOCATION ID,LOCATION NAME,SCHOOL TYPE,SUBGROUP CODE,SUBGROUP NAME,Enrollment,PK (HALF DAY),PK (FULL DAY),KG (HALF DAY),KG (FULL DAY),GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,UNGRADED (ELEMENTARY),GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,UNGRADED (SECONDARY)
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010014,MONTESSORI MAGNET SCHOOL,PUBLIC,1,All Students,321,0,36,0,52,46,47,46,42,45,0,7,0,0,0,0,0,0,0
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010016,PINE HILLS ELEMENTARY SCHOOL,PUBLIC,1,All Students,357,0,0,0,62,54,46,49,50,41,55,0,0,0,0,0,0,0,0
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010018,DELAWARE COMMUNITY SCHOOL,PUBLIC,1,All Students,410,0,17,0,67,70,66,52,78,60,0,0,0,0,0,0,0,0,0
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010019,NEW SCOTLAND ELEMENTARY SCHOOL,PUBLIC,1,All Students,499,0,0,0,102,87,79,94,65,62,0,10,0,0,0,0,0,0,0
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010020,NORTH ALBANY ACADEMY,PUBLIC,1,All Students,341,0,0,0,33,32,20,23,40,20,44,7,41,65,0,0,0,0,16
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010023,ALBANY SCHOOL OF HUMANITIES,PUBLIC,1,All Students,527,0,18,0,70,72,69,59,62,67,93,17,0,0,0,0,0,0,0
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010027,EAGLE POINT ELEMENTARY SCHOOL,PUBLIC,1,All Students,300,0,0,0,51,52,45,38,46,34,34,0,0,0,0,0,0,0,0
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010028,THOMAS S O'BRIEN ACAD OF SCI & TECH,PUBLIC,1,All Students,429,0,18,0,62,68,72,61,62,72,0,14,0,0,0,0,0,0,0
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,PUBLIC,1,All Students,403,0,18,0,74,74,53,55,54,40,35,0,0,0,0,0,0,0,0
2012-13,5/5/2017,ALBANY,10100010000,ALBANY,10100010030,WILLIAM S HACKETT MIDDLE SCHOOL,PUBLIC,1,All Students,603,0,0,0,0,0,0,0,0,0,142,0,231,228,0,0,0,0,2
