SCHOOL YEAR,DATE OF REPORT,COUNTY,STATE DISTRICT ID,DISTRICT NAME,STATE LOCATION ID,LOCATION NAME,SCHOOL TYPE,SUBGROUP CODE,SUBGROUP NAME,Enrollment,PK (HALF DAY),PK (FULL DAY),KG (HALF DAY),KG (FULL DAY),GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,UNGRADED (ELEMENTARY),GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,UNGRADED (SECONDARY)
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010014,MONTESSORI MAGNET SCHOOL,PUBLIC,01,All Students,329,0,36,0,50,48,48,48,44,46,0,9,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010016,PINE HILLS ELEMENTARY SCHOOL,PUBLIC,01,All Students,376,0,0,0,61,66,61,64,56,67,0,1,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010018,DELAWARE COMMUNITY SCHOOL,PUBLIC,01,All Students,418,0,15,0,76,57,61,68,74,67,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,PUBLIC,01,All Students,501,0,0,0,90,66,81,78,92,89,0,5,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010020,NORTH ALBANY ACADEMY,PUBLIC,01,All Students,289,0,0,0,36,40,41,65,66,40,0,1,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010023,ALBANY SCHOOL OF HUMANITIES,PUBLIC,01,All Students,504,0,0,0,65,73,65,64,63,80,67,27,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010027,EAGLE POINT ELEMENTARY SCHOOL,PUBLIC,01,All Students,325,0,0,0,47,46,47,43,46,56,40,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010028,THOMAS S O'BRIEN ACAD OF SCI & TECH,PUBLIC,01,All Students,437,0,0,0,62,62,60,62,61,64,66,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,PUBLIC,01,All Students,514,0,0,0,80,66,76,79,75,68,70,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,PUBLIC,01,All Students,676,0,0,0,0,0,0,0,0,0,132,0,273,270,0,0,0,0,1
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010034,ALBANY HIGH SCHOOL,PUBLIC,01,All Students,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,723,637,573,615,73
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010039,ARBOR HILL ELEMENTARY SCHOOL,PUBLIC,01,All Students,314,0,0,0,53,52,51,49,45,51,0,13,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010043,P J SCHUYLER ACHIEVEMENT ACADEMY,PUBLIC,01,All Students,278,0,0,0,40,44,61,46,44,43,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010044,SHERIDAN PREP ACADEMY,PUBLIC,01,All Students,379,0,0,0,70,58,72,66,58,55,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010045,MYERS MIDDLE SCHOOL,PUBLIC,01,All Students,678,0,0,0,0,0,0,0,0,0,111,0,311,256,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010100010000,ALBANY,010100010050,EDMUND J O'NEAL MS OF EXCELLENCE,PUBLIC,01,All Students,473,0,0,0,0,0,0,0,0,0,196,11,122,118,0,0,0,0,26
2017-18,10/11/2018,ALBANY,010201040000,BERNE KNOX,010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,PUBLIC,01,All Students,361,0,0,0,0,0,0,0,0,0,0,0,54,54,52,68,53,77,3
2017-18,10/11/2018,ALBANY,010201040000,BERNE KNOX,010201040002,BERNE-KNOX-WESTERLO ELEM SCH,PUBLIC,01,All Students,399,0,0,0,66,48,47,53,58,62,65,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010306060000,BETHLEHEM,010306060003,ELSMERE ELEMENTARY SCHOOL,PUBLIC,01,All Students,279,0,0,0,35,48,38,50,47,49,0,12,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010306060000,BETHLEHEM,010306060004,GLENMONT ELEMENTARY SCHOOL,PUBLIC,01,All Students,357,0,0,0,56,65,57,59,65,55,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010306060000,BETHLEHEM,010306060005,HAMAGRAEL ELEMENTARY SCHOOL,PUBLIC,01,All Students,317,0,0,0,42,47,65,59,48,54,0,2,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010306060000,BETHLEHEM,010306060006,SLINGERLANDS ELEMENTARY SCHOOL,PUBLIC,01,All Students,476,0,0,0,68,81,72,76,95,84,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010306060000,BETHLEHEM,010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,PUBLIC,01,All Students,1078,0,0,0,0,0,0,0,0,0,355,1,346,368,0,0,0,0,8
2017-18,10/11/2018,ALBANY,010306060000,BETHLEHEM,010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,PUBLIC,01,All Students,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,375,409,384,419,17
2017-18,10/11/2018,ALBANY,010306060000,BETHLEHEM,010306060009,EAGLE ELEMENTARY SCHOOL,PUBLIC,01,All Students,403,0,0,0,54,69,53,74,74,79,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010402060000,RAVENA COEYMANS,010402060001,RAVENA-COEYMANS-SELKIRK SR HS,PUBLIC,01,All Students,556,0,0,0,0,0,0,0,0,0,0,0,0,0,161,122,134,139,0
2017-18,10/11/2018,ALBANY,010402060000,RAVENA COEYMANS,010402060002,ALBERTUS W BECKER SCHOOL,PUBLIC,01,All Students,429,36,0,0,64,68,68,60,62,71,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010402060000,RAVENA COEYMANS,010402060003,PIETER B COEYMANS SCHOOL,PUBLIC,01,All Students,464,35,0,0,72,67,82,56,89,63,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010402060000,RAVENA COEYMANS,010402060008,RAVENA-COEYMANS-SELKIRK MID SCH,PUBLIC,01,All Students,410,0,0,0,0,0,0,0,0,0,145,0,126,139,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010500010000,COHOES,010500010005,ABRAM LANSING SCHOOL,PUBLIC,01,All Students,398,0,0,0,73,71,65,71,54,64,0,0,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010500010000,COHOES,010500010006,VAN SCHAICK ISLAND SCHOOL,PUBLIC,01,All Students,154,0,0,0,26,36,20,28,20,15,0,9,0,0,0,0,0,0,0
2017-18,10/11/2018,ALBANY,010500010000,COHOES,010500010007,COHOES HIGH SCHOOL,PUBLIC,01,All Students,543,0,0,0,0,0,0,0,0,0,0,0,0,0,158,153,119,104,9
2017-18,10/11/2018,ALBANY,010500010000,COHOES,010500010008,COHOES MIDDLE SCHOOL,PUBLIC,01,All Students,397,0,0,0,0,0,0,0,0,0,137,1,134,120,0,0,0,0,5
