County,BEDS Code,School Name,Grade Org,Affiliation,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,UGS,FULLK,HALFK,PREK,Enrollment
BROOME,30701998080,Children'S Unit For Treatment & Evaluation,Special School,INDEPENDENT,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,23,60
BROOME,30701998858,Children'S Home Of Wyoming Conference,K-12 School,INDEPENDENT,3,3,5,9,9,8,0,9,7,10,3,5,1,0,2,0,0,74
BROOME,31401996149,Upward Look Christian Cademy,Junior Senior School,INDEPENDENT,0,1,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,7
BROOME,31501187966,All Saints School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,22,22,22,19,19,23,0,0,0,0,0,0,0,0,19,0,51,197
BROOME,31502185486,Saint James School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,18,25,8,11,11,15,0,0,0,0,0,0,0,0,22,0,71,181
BROOME,31502995612,Crescent Academy (The),Elementary,INDEPENDENT,8,10,0,9,1,0,0,0,0,0,0,0,0,0,9,0,12,49
BROOME,31601806564,Ross Corners Christian Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,9,6,4,0,4,6,0,4,7,8,7,14,6,0,5,0,20,100
CATTARAUGUS,42400136448,Archbishop Walsh High School,Senior High,ROMAN CATHOLIC BUFFALO DIOCESE,0,0,0,0,0,0,0,0,0,9,14,17,12,0,0,0,0,52
CATTARAUGUS,42400139126,Southern Tier Catholic School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,15,18,13,10,18,17,0,11,11,0,0,0,0,0,15,0,10,138
CATTARAUGUS,42400805651,New Life Christian School,K-12 School,CHRISTIAN FUNDAMENTALIST,4,4,5,4,5,3,0,7,2,7,5,5,3,0,4,0,0,58
CATTARAUGUS,42901858658,Portville Baptist Christian School,Elementary,BAPTIST,1,0,2,1,2,2,0,0,0,0,0,0,0,0,3,0,2,13
CATTARAUGUS,43001658554,Axeville School,Elementary,MENNONITES,5,5,3,3,4,3,0,2,2,0,0,0,0,0,0,0,0,27
CATTARAUGUS,43001658555,Harris School,Elementary,MENNONITES,4,3,4,4,4,3,0,3,3,0,0,0,0,0,0,0,0,28
CATTARAUGUS,43001658557,Seager Hill School,Elementary,MENNONITES,5,5,8,3,3,3,0,3,3,0,0,0,0,0,0,0,0,33
CATTARAUGUS,43001658559,Maple Row School,Elementary,MENNONITES,5,6,3,2,3,3,0,2,2,0,0,0,0,0,0,0,0,26
CATTARAUGUS,43001658561,Gardner School,Elementary,MENNONITES,3,3,3,3,4,3,0,2,2,0,0,0,0,0,0,0,0,23
CATTARAUGUS,43001658933,Glover Hill Road Amish School,Elementary,MENNONITES,6,4,3,2,2,3,0,2,2,0,0,0,0,0,0,0,0,24
CATTARAUGUS,43001659682,Merchant Hill School,Elementary,MENNONITES,2,3,6,2,3,3,0,2,2,0,0,0,0,0,0,0,0,23
CAYUGA,50100169701,St Joseph School,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,20,14,18,14,15,16,0,16,18,0,0,0,0,0,19,0,35,185
CAYUGA,50100996140,Creative Minds Montessori School,Elementary,INDEPENDENT,2,7,1,0,0,1,0,0,0,0,0,0,0,0,3,0,5,19
CAYUGA,50100996169,John Paul Ii Academy Of Auburn,Elementary,INDEPENDENT,1,4,3,2,2,2,0,0,0,0,0,0,0,0,2,0,2,18
CAYUGA,50100999499,Tyburn Academy Of Mary Immaculate,Junior Senior School,INDEPENDENT,0,0,0,0,0,0,0,6,1,11,11,16,16,0,0,0,0,61
CAYUGA,50100999591,Montessori School Of The Finger Lakes,Elementary,INDEPENDENT,4,4,1,2,1,1,0,0,0,0,0,0,0,0,5,0,17,35
CAYUGA,50301999417,Hillside Chldrns Ctr-Finger Lakes,Junior Senior School,INDEPENDENT,0,1,2,7,0,4,0,5,5,7,13,5,5,0,0,0,0,54
CAYUGA,50701999254,Peachtown Elementary School,Elementary,INDEPENDENT,3,1,0,4,2,3,0,3,0,0,0,0,0,0,3,0,5,24
CAYUGA,51101658562,Conquest Parochial School,Elementary,MENNONITES,3,2,2,5,3,3,0,3,2,0,0,0,0,0,0,0,0,23
CAYUGA,51901425832,Union Springs Academy,Senior High,SEVENTH-DAY ADVENTIST,0,0,0,0,0,0,0,0,0,9,15,15,10,0,0,0,0,49
CAYUGA,51901427119,Frontenac Sda School,Elementary,SEVENTH-DAY ADVENTIST,3,0,3,2,1,3,0,1,4,0,0,0,0,0,1,1,0,19
CHAUTAUQUA,60201858116,Bethel Baptist Christian Academy,K-12 School,BAPTIST,7,9,3,5,4,3,0,7,2,10,7,1,4,0,5,0,0,67
