SCHOOL YEAR,DATE OF REPORT,COUNTY,STATE DISTRICT ID,DISTRICT NAME,STATE LOCATION ID,LOCATION NAME,SCHOOL TYPE,SUBGROUP CODE,SUBGROUP NAME,Enrollment,PK (HALF DAY),PK (FULL DAY),KG (HALF DAY),KG (FULL DAY),GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,UNGRADED (ELEMENTARY),GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,UNGRADED (SECONDARY)
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010014,MONTESSORI MAGNET SCHOOL,PUBLIC,1,All Students,335,0,36,0,55,57,47,47,46,41,0,6,0,0,0,0,0,0,0
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010016,PINE HILLS ELEMENTARY SCHOOL,PUBLIC,1,All Students,364,0,0,0,64,62,52,54,44,47,41,0,0,0,0,0,0,0,0
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010018,DELAWARE COMMUNITY SCHOOL,PUBLIC,1,All Students,445,0,18,0,74,80,69,70,60,74,0,0,0,0,0,0,0,0,0
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010019,NEW SCOTLAND ELEMENTARY SCHOOL,PUBLIC,1,All Students,519,0,0,0,98,96,84,80,91,61,0,9,0,0,0,0,0,0,0
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010020,NORTH ALBANY ACADEMY,PUBLIC,1,All Students,383,0,0,0,37,38,29,23,25,43,41,9,59,60,0,0,0,0,19
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010023,ALBANY SCHOOL OF HUMANITIES,PUBLIC,1,All Students,490,0,0,0,66,65,71,62,60,66,81,19,0,0,0,0,0,0,0
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010027,EAGLE POINT ELEMENTARY SCHOOL,PUBLIC,1,All Students,348,0,0,0,52,53,59,48,38,48,50,0,0,0,0,0,0,0,0
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010028,THOMAS S O'BRIEN ACAD OF SCI & TECH,PUBLIC,1,All Students,421,0,0,0,70,69,73,69,66,58,0,16,0,0,0,0,0,0,0
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,PUBLIC,1,All Students,413,0,0,0,80,69,67,49,57,49,42,0,0,0,0,0,0,0,0
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010030,WILLIAM S HACKETT MIDDLE SCHOOL,PUBLIC,1,All Students,686,0,0,0,0,0,0,0,0,0,150,0,248,287,0,0,0,0,1
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010034,ALBANY HIGH SCHOOL,PUBLIC,1,All Students,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,675,565,486,474,62
2013-14,5/4/2017,ALBANY,10100010000,ALBANY,10100010039,ARBOR HILL ELEMENTARY SCHOOL,PUBLIC,1,All Students,333,0,0,0,64,47,52,48,46,35,41,0,0,0,0,0,0,0,0
