County,BEDS Code,School Name,Grade Org Desc,Affiliation,GR 1,GR 2,GR 3,GR 4,GR 5,GR 6,GR 7,GR 8,GR 9,GR 10,GR 11,GR 12,UGE,UGS,FULLK,HALFK,PREK,Enrollment
BROOME,30200185488,Saint John School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,13,35,15,10,18,10,0,0,0,0,0,0,0,0,20,0,40,161
BROOME,30200227054,Hillel Academy,Elementary,JEWISH,6,5,3,2,4,0,0,0,0,0,0,0,0,0,5,0,4,29
BROOME,30701998080,Children'S Unit For Treatment & Evaluation,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,9,50
BROOME,30701998858,Children'S Home Of Wyoming Conference,Junior Senior School,INDEPENDENT,1,3,8,10,10,13,10,8,8,5,2,1,0,0,0,0,0,79
BROOME,31401996149,Upward Look Christian Cademy,Junior Senior School,INDEPENDENT,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,6
BROOME,31501187966,All Saints School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,25,18,22,24,27,17,0,0,0,0,0,0,0,0,28,0,59,220
BROOME,31502185486,Saint James School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,9,15,11,14,12,17,0,0,0,0,0,0,0,0,22,0,56,156
BROOME,31502995612,Crescent Academy (The),Elementary,INDEPENDENT,8,8,3,8,4,0,0,0,0,0,0,0,0,0,11,1,7,50
BROOME,31601806564,Ross Corners Christian Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,5,5,4,4,6,6,5,7,14,6,17,8,0,0,8,0,9,104
CATTARAUGUS,42400136448,Archbishop Walsh High School,Senior High,ROMAN CATHOLIC BUFFALO DIOCESE,0,0,0,0,0,0,0,0,9,15,5,7,0,0,0,0,0,36
CATTARAUGUS,42400139126,Southern Tier Catholic School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,10,12,18,17,15,13,9,11,0,0,0,0,0,0,18,0,16,139
CATTARAUGUS,42400805651,New Life Christian School,K-12 School,CHRISTIAN FUNDAMENTALIST,3,5,6,6,7,4,8,6,7,4,3,2,0,0,3,0,0,64
CATTARAUGUS,42901858658,Portville Baptist Christian School,Elementary,BAPTIST,6,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,16
CATTARAUGUS,43001658554,Axeville School,Elementary,MENNONITES,3,3,4,3,2,2,3,3,0,0,0,0,0,0,0,0,0,23
CATTARAUGUS,43001658555,Harris School,Elementary,MENNONITES,7,4,4,3,3,4,3,3,0,0,0,0,0,0,0,0,0,31
CATTARAUGUS,43001658557,Seager Hill School,Elementary,MENNONITES,8,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,30
CATTARAUGUS,43001658559,Maple Row School,Elementary,MENNONITES,3,2,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,19
CATTARAUGUS,43001658561,Gardner School,Elementary,MENNONITES,3,3,4,4,3,2,4,3,0,0,0,0,0,0,0,0,0,26
CATTARAUGUS,43001658933,Glover Hill Road Amish School,Elementary,MENNONITES,5,2,2,3,2,2,4,3,0,0,0,0,0,0,0,0,0,23
CATTARAUGUS,43001659682,Merchant Hill School,Elementary,MENNONITES,7,2,3,3,2,3,2,3,0,0,0,0,0,0,0,0,0,25
CAYUGA,50100169701,St Joseph School,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,22,16,16,13,18,17,20,17,0,0,0,0,0,0,23,0,24,186
CAYUGA,50100996140,Creative Minds Montessori School,Elementary,INDEPENDENT,0,1,0,1,2,1,2,0,0,0,0,0,0,0,5,0,0,12
CAYUGA,50100996169,John Paul Ii Academy Of Auburn,Elementary,INDEPENDENT,4,5,4,7,5,3,0,0,0,0,0,0,0,0,8,0,9,45
CAYUGA,50100999499,Tyburn Academy Of Mary Immaculate,Junior Senior School,INDEPENDENT,0,0,0,0,0,0,7,6,19,17,23,14,0,0,0,0,0,86
CAYUGA,50100999591,Montessori School Of The Finger Lakes,Elementary,INDEPENDENT,0,2,0,1,1,0,0,0,0,0,0,0,0,0,6,2,20,32
CAYUGA,50301999417,Hillside Chldrns Ctr-Finger Lakes,Junior Senior School,INDEPENDENT,0,0,0,4,1,3,5,7,5,10,7,6,0,6,0,0,0,54
CAYUGA,50701999254,Peachtown Elementary School,Elementary,INDEPENDENT,0,4,2,3,3,1,2,4,0,0,0,0,0,0,1,0,2,22
CAYUGA,51101658562,Conquest Parochial School,Elementary,MENNONITES,4,9,3,5,9,6,7,2,0,0,0,0,0,0,0,0,0,45
CAYUGA,51101658563,Cayuga Mennonite School,Elementary,MENNONITES,4,5,9,3,5,5,4,6,0,0,0,0,0,0,0,0,0,41
CAYUGA,51901425832,Union Springs Academy,Senior High,SEVENTH-DAY ADVENTIST,0,0,0,0,0,0,0,0,10,13,21,15,0,0,0,0,0,59
CAYUGA,51901427119,Frontenac Sda School,Elementary,SEVENTH-DAY ADVENTIST,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,7
CHAUTAUQUA,60201858116,Bethel Baptist Christian Academy,Junior Senior School,BAPTIST,5,6,5,6,9,1,6,4,0,5,2,5,0,0,7,0,0,61
CHAUTAUQUA,60503658575,Burdick Road Amish School,Elementary,MENNONITES,3,2,3,3,2,2,3,2,0,0,0,0,0,0,0,0,0,20
CHAUTAUQUA,60503659689,Pleasant View School,Elementary,MENNONITES,3,3,2,3,2,3,3,3,0,0,0,0,0,0,0,0,0,22
CHAUTAUQUA,60601658556,Flat Iron School,Elementary,MENNONITES,4,2,3,2,2,2,4,3,0,0,0,0,0,0,0,0,0,22
