Year,Region,County Name,Gender Name,Enrollment by Gender
2011-2012,7,ANDERSON COUNTY,Female,3989
2011-2012,7,ANDERSON COUNTY,Male,4382
2011-2012,18,ANDREWS COUNTY,Female,1634
2011-2012,18,ANDREWS COUNTY,Male,1779
2011-2012,7,ANGELINA COUNTY,Female,8588
2011-2012,7,ANGELINA COUNTY,Male,8924
2011-2012,2,ARANSAS COUNTY,Female,1446
2011-2012,2,ARANSAS COUNTY,Male,1688
2011-2012,9,ARCHER COUNTY,Female,885
2011-2012,9,ARCHER COUNTY,Male,947
2011-2012,16,ARMSTRONG COUNTY,Female,194
2011-2012,16,ARMSTRONG COUNTY,Male,170
2011-2012,20,ATASCOSA COUNTY,Female,4360
2011-2012,20,ATASCOSA COUNTY,Male,4522
2011-2012,6,AUSTIN COUNTY,Female,2703
2011-2012,6,AUSTIN COUNTY,Male,2978
2011-2012,17,BAILEY COUNTY,Female,724
2011-2012,17,BAILEY COUNTY,Male,805
2011-2012,20,BANDERA COUNTY,Female,1341
2011-2012,20,BANDERA COUNTY,Male,1395
2011-2012,13,BASTROP COUNTY,Female,7274
2011-2012,13,BASTROP COUNTY,Male,7858
2011-2012,9,BAYLOR COUNTY,Female,284
2011-2012,9,BAYLOR COUNTY,Male,286
2011-2012,AL,BEE COUNTY,Female,2611
2011-2012,AL,BEE COUNTY,Male,2668
2011-2012,AL,BELL COUNTY/ALL,Female,32337
2011-2012,AL,BELL COUNTY/ALL,Male,34156
2011-2012,20,BEXAR COUNTY,Female,163082
2011-2012,20,BEXAR COUNTY,Male,171269
2011-2012,13,BLANCO COUNTY,Female,755
2011-2012,13,BLANCO COUNTY,Male,923
2011-2012,17,BORDEN COUNTY,Female,110
2011-2012,17,BORDEN COUNTY,Male,102
2011-2012,12,BOSQUE COUNTY,Female,1500
2011-2012,12,BOSQUE COUNTY,Male,1592
2011-2012,8,BOWIE COUNTY,Female,8858
2011-2012,8,BOWIE COUNTY,Male,9060
2011-2012,4,BRAZORIA COUNTY,Female,30096
2011-2012,4,BRAZORIA COUNTY,Male,32148
2011-2012,6,BRAZOS COUNTY,Female,13462
2011-2012,6,BRAZOS COUNTY,Male,13978
2011-2012,18,BREWSTER COUNTY,Female,622
2011-2012,18,BREWSTER COUNTY,Male,675
2011-2012,16,BRISCOE COUNTY,Female,87
2011-2012,16,BRISCOE COUNTY,Male,93
2011-2012,2,BROOKS COUNTY,Female,736
2011-2012,2,BROOKS COUNTY,Male,792
2011-2012,15,BROWN COUNTY,Female,3248
2011-2012,15,BROWN COUNTY,Male,3455
2011-2012,6,BURLESON COUNTY,Female,1376
2011-2012,6,BURLESON COUNTY,Male,1521
2011-2012,13,BURNET COUNTY,Female,3590
2011-2012,13,BURNET COUNTY,Male,3752
2011-2012,13,CALDWELL COUNTY,Female,3176
2011-2012,13,CALDWELL COUNTY,Male,3255
2011-2012,3,CALHOUN COUNTY,Female,2042
2011-2012,3,CALHOUN COUNTY,Male,2196
2011-2012,14,CALLAHAN COUNTY,Female,1239
2011-2012,14,CALLAHAN COUNTY,Male,1269
2011-2012,1,CAMERON COUNTY,Female,50665
2011-2012,1,CAMERON COUNTY,Male,53262
2011-2012,8,CAMP COUNTY,Female,1177
2011-2012,8,CAMP COUNTY,Male,1302
2011-2012,16,CARSON COUNTY,Female,568
2011-2012,16,CARSON COUNTY,Male,610
2011-2012,8,CASS COUNTY,Female,2688
2011-2012,8,CASS COUNTY,Male,2931
2011-2012,16,CASTRO COUNTY,Female,837
2011-2012,16,CASTRO COUNTY,Male,878
2011-2012,4,CHAMBERS COUNTY,Female,3320
2011-2012,4,CHAMBERS COUNTY,Male,3627
2011-2012,7,CHEROKEE COUNTY,Female,4160
2011-2012,7,CHEROKEE COUNTY,Male,4436
2011-2012,16,CHILDRESS COUNTY,Female,546
2011-2012,16,CHILDRESS COUNTY,Male,590
2011-2012,9,CLAY COUNTY,Female,806
2011-2012,9,CLAY COUNTY,Male,912
2011-2012,17,COCHRAN COUNTY,Female,373
2011-2012,17,COCHRAN COUNTY,Male,339
2011-2012,15,COKE COUNTY,Female,260
2011-2012,15,COKE COUNTY,Male,253
2011-2012,15,COLEMAN COUNTY,Female,665
2011-2012,15,COLEMAN COUNTY,Male,724
2011-2012,10,COLLIN COUNTY,Female,84784
2011-2012,10,COLLIN COUNTY,Male,89512
2011-2012,16,COLLINGSWORTH COUNTY,Female,288
2011-2012,16,COLLINGSWORTH COUNTY,Male,294
2011-2012,3,COLORADO COUNTY,Female,1684
2011-2012,3,COLORADO COUNTY,Male,1800
2011-2012,13,COMAL COUNTY,Female,12507
2011-2012,13,COMAL COUNTY,Male,13515
2011-2012,14,COMANCHE COUNTY,Female,1087
2011-2012,14,COMANCHE COUNTY,Male,1164
2011-2012,15,CONCHO COUNTY,Female,219
2011-2012,15,CONCHO COUNTY,Male,227
2011-2012,11,COOKE COUNTY,Female,3039
2011-2012,11,COOKE COUNTY,Male,3161
2011-2012,12,CORYELL COUNTY,Female,5680
2011-2012,12,CORYELL COUNTY,Male,5980
2011-2012,17,COTTLE COUNTY,Female,97
2011-2012,17,COTTLE COUNTY,Male,121
2011-2012,18,CRANE COUNTY,Female,510
2011-2012,18,CRANE COUNTY,Male,522
2011-2012,15,CROCKETT COUNTY,Female,393
2011-2012,15,CROCKETT COUNTY,Male,377
2011-2012,17,CROSBY COUNTY,Female,643
2011-2012,17,CROSBY COUNTY,Male,643
2011-2012,18,CULBERSON COUNTY,Female,237
2011-2012,18,CULBERSON COUNTY,Male,226
