Year,Region,County Name,Gender Name,Enrollment by Gender
2013-2014,7,ANDERSON COUNTY,Female,3947
2013-2014,7,ANDERSON COUNTY,Male,4245
2013-2014,18,ANDREWS COUNTY,Female,1766
2013-2014,18,ANDREWS COUNTY,Male,1998
2013-2014,7,ANGELINA COUNTY,Female,8678
2013-2014,7,ANGELINA COUNTY,Male,8981
2013-2014,2,ARANSAS COUNTY,Female,1504
2013-2014,2,ARANSAS COUNTY,Male,1713
2013-2014,9,ARCHER COUNTY,Female,891
2013-2014,9,ARCHER COUNTY,Male,950
2013-2014,16,ARMSTRONG COUNTY,Female,185
2013-2014,16,ARMSTRONG COUNTY,Male,184
2013-2014,20,ATASCOSA COUNTY,Female,4490
2013-2014,20,ATASCOSA COUNTY,Male,4648
2013-2014,6,AUSTIN COUNTY,Female,2770
2013-2014,6,AUSTIN COUNTY,Male,2945
2013-2014,17,BAILEY COUNTY,Female,704
2013-2014,17,BAILEY COUNTY,Male,765
2013-2014,20,BANDERA COUNTY,Female,1282
2013-2014,20,BANDERA COUNTY,Male,1362
2013-2014,13,BASTROP COUNTY,Female,7619
2013-2014,13,BASTROP COUNTY,Male,8160
2013-2014,9,BAYLOR COUNTY,Female,285
2013-2014,9,BAYLOR COUNTY,Male,286
2013-2014,2,BEE COUNTY,Female,2579
2013-2014,2,BEE COUNTY,Male,2653
2013-2014,AL,BELL COUNTY/ALL,Female,33576
2013-2014,AL,BELL COUNTY/ALL,Male,35242
2013-2014,20,BEXAR COUNTY,Female,167973
2013-2014,20,BEXAR COUNTY,Male,176575
2013-2014,13,BLANCO COUNTY,Female,767
2013-2014,13,BLANCO COUNTY,Male,914
2013-2014,17,BORDEN COUNTY,Female,130
2013-2014,17,BORDEN COUNTY,Male,127
2013-2014,12,BOSQUE COUNTY,Female,1418
2013-2014,12,BOSQUE COUNTY,Male,1538
2013-2014,8,BOWIE COUNTY,Female,8828
2013-2014,8,BOWIE COUNTY,Male,9160
2013-2014,4,BRAZORIA COUNTY,Female,31297
2013-2014,4,BRAZORIA COUNTY,Male,33415
2013-2014,6,BRAZOS COUNTY,Female,14087
2013-2014,6,BRAZOS COUNTY,Male,14772
2013-2014,18,BREWSTER COUNTY,Female,588
2013-2014,18,BREWSTER COUNTY,Male,625
2013-2014,16,BRISCOE COUNTY,Female,87
2013-2014,16,BRISCOE COUNTY,Male,100
2013-2014,2,BROOKS COUNTY,Female,732
2013-2014,2,BROOKS COUNTY,Male,810
2013-2014,15,BROWN COUNTY,Female,3181
2013-2014,15,BROWN COUNTY,Male,3429
2013-2014,6,BURLESON COUNTY,Female,1342
2013-2014,6,BURLESON COUNTY,Male,1445
2013-2014,13,BURNET COUNTY,Female,3522
2013-2014,13,BURNET COUNTY,Male,3709
2013-2014,13,CALDWELL COUNTY,Female,3340
2013-2014,13,CALDWELL COUNTY,Male,3396
2013-2014,3,CALHOUN COUNTY,Female,2071
2013-2014,3,CALHOUN COUNTY,Male,2211
2013-2014,14,CALLAHAN COUNTY,Female,1208
2013-2014,14,CALLAHAN COUNTY,Male,1247
2013-2014,1,CAMERON COUNTY,Female,50457
2013-2014,1,CAMERON COUNTY,Male,53172
2013-2014,8,CAMP COUNTY,Female,1178
2013-2014,8,CAMP COUNTY,Male,1277
2013-2014,16,CARSON COUNTY,Female,601
2013-2014,16,CARSON COUNTY,Male,587
2013-2014,8,CASS COUNTY,Female,2721
2013-2014,8,CASS COUNTY,Male,2910
2013-2014,16,CASTRO COUNTY,Female,859
2013-2014,16,CASTRO COUNTY,Male,849
2013-2014,AL,CHAMBERS COUNTY/ALL,Female,3486
2013-2014,AL,CHAMBERS COUNTY/ALL,Male,3843
2013-2014,7,CHEROKEE COUNTY,Female,4189
2013-2014,7,CHEROKEE COUNTY,Male,4460
2013-2014,16,CHILDRESS COUNTY,Female,538
2013-2014,16,CHILDRESS COUNTY,Male,594
2013-2014,9,CLAY COUNTY,Female,804
2013-2014,9,CLAY COUNTY,Male,904
2013-2014,17,COCHRAN COUNTY,Female,417
2013-2014,17,COCHRAN COUNTY,Male,402
2013-2014,15,COKE COUNTY,Female,269
2013-2014,15,COKE COUNTY,Male,245
2013-2014,15,COLEMAN COUNTY,Female,627
2013-2014,15,COLEMAN COUNTY,Male,647
2013-2014,10,COLLIN COUNTY,Female,90021
2013-2014,10,COLLIN COUNTY,Male,94755
2013-2014,16,COLLINGSWORTH COUNTY,Female,293
2013-2014,16,COLLINGSWORTH COUNTY,Male,320
2013-2014,3,COLORADO COUNTY,Female,1705
2013-2014,3,COLORADO COUNTY,Male,1834
2013-2014,13,COMAL COUNTY,Female,13446
2013-2014,13,COMAL COUNTY,Male,14668
2013-2014,14,COMANCHE COUNTY,Female,1102
2013-2014,14,COMANCHE COUNTY,Male,1172
2013-2014,15,CONCHO COUNTY,Female,243
2013-2014,15,CONCHO COUNTY,Male,221
2013-2014,11,COOKE COUNTY,Female,3079
2013-2014,11,COOKE COUNTY,Male,3235
2013-2014,12,CORYELL COUNTY,Female,5661
2013-2014,12,CORYELL COUNTY,Male,6027
2013-2014,17,COTTLE COUNTY,Female,95
2013-2014,17,COTTLE COUNTY,Male,115
2013-2014,18,CRANE COUNTY,Female,539
2013-2014,18,CRANE COUNTY,Male,608
2013-2014,15,CROCKETT COUNTY,Female,409
