Year,Region,County Name,Gender Name,Enrollment by Gender
2012-2013,7,ANDERSON COUNTY,Female,3966
2012-2013,7,ANDERSON COUNTY,Male,4373
2012-2013,18,ANDREWS COUNTY,Female,1714
2012-2013,18,ANDREWS COUNTY,Male,1905
2012-2013,7,ANGELINA COUNTY,Female,8637
2012-2013,7,ANGELINA COUNTY,Male,8965
2012-2013,2,ARANSAS COUNTY,Female,1480
2012-2013,2,ARANSAS COUNTY,Male,1685
2012-2013,9,ARCHER COUNTY,Female,916
2012-2013,9,ARCHER COUNTY,Male,935
2012-2013,16,ARMSTRONG COUNTY,Female,191
2012-2013,16,ARMSTRONG COUNTY,Male,176
2012-2013,20,ATASCOSA COUNTY,Female,4419
2012-2013,20,ATASCOSA COUNTY,Male,4565
2012-2013,6,AUSTIN COUNTY,Female,2680
2012-2013,6,AUSTIN COUNTY,Male,2912
2012-2013,17,BAILEY COUNTY,Female,726
2012-2013,17,BAILEY COUNTY,Male,772
2012-2013,20,BANDERA COUNTY,Female,1322
2012-2013,20,BANDERA COUNTY,Male,1391
2012-2013,13,BASTROP COUNTY,Female,7403
2012-2013,13,BASTROP COUNTY,Male,8030
2012-2013,9,BAYLOR COUNTY,Female,285
2012-2013,9,BAYLOR COUNTY,Male,297
2012-2013,2,BEE COUNTY,Female,2625
2012-2013,2,BEE COUNTY,Male,2701
2012-2013,AL,BELL COUNTY/ALL,Female,33046
2012-2013,AL,BELL COUNTY/ALL,Male,34935
2012-2013,20,BEXAR COUNTY,Female,165942
2012-2013,20,BEXAR COUNTY,Male,174088
2012-2013,13,BLANCO COUNTY,Female,771
2012-2013,13,BLANCO COUNTY,Male,905
2012-2013,17,BORDEN COUNTY,Female,123
2012-2013,17,BORDEN COUNTY,Male,116
2012-2013,12,BOSQUE COUNTY,Female,1400
2012-2013,12,BOSQUE COUNTY,Male,1528
2012-2013,8,BOWIE COUNTY,Female,8814
2012-2013,8,BOWIE COUNTY,Male,9193
2012-2013,4,BRAZORIA COUNTY,Female,30765
2012-2013,4,BRAZORIA COUNTY,Male,32695
2012-2013,6,BRAZOS COUNTY,Female,13757
2012-2013,6,BRAZOS COUNTY,Male,14360
2012-2013,18,BREWSTER COUNTY,Female,613
2012-2013,18,BREWSTER COUNTY,Male,651
2012-2013,16,BRISCOE COUNTY,Female,98
2012-2013,16,BRISCOE COUNTY,Male,97
2012-2013,2,BROOKS COUNTY,Female,731
2012-2013,2,BROOKS COUNTY,Male,808
2012-2013,15,BROWN COUNTY,Female,3177
2012-2013,15,BROWN COUNTY,Male,3465
2012-2013,6,BURLESON COUNTY,Female,1339
2012-2013,6,BURLESON COUNTY,Male,1498
2012-2013,13,BURNET COUNTY,Female,3505
2012-2013,13,BURNET COUNTY,Male,3754
2012-2013,13,CALDWELL COUNTY,Female,3229
2012-2013,13,CALDWELL COUNTY,Male,3365
2012-2013,3,CALHOUN COUNTY,Female,2068
2012-2013,3,CALHOUN COUNTY,Male,2188
2012-2013,14,CALLAHAN COUNTY,Female,1227
2012-2013,14,CALLAHAN COUNTY,Male,1209
2012-2013,1,CAMERON COUNTY,Female,50474
2012-2013,1,CAMERON COUNTY,Male,53111
2012-2013,8,CAMP COUNTY,Female,1197
2012-2013,8,CAMP COUNTY,Male,1323
2012-2013,16,CARSON COUNTY,Female,593
2012-2013,16,CARSON COUNTY,Male,602
2012-2013,8,CASS COUNTY,Female,2697
2012-2013,8,CASS COUNTY,Male,2949
2012-2013,16,CASTRO COUNTY,Female,863
2012-2013,16,CASTRO COUNTY,Male,878
2012-2013,AL,CHAMBERS COUNTY/ALL,Female,3392
2012-2013,AL,CHAMBERS COUNTY/ALL,Male,3738
2012-2013,7,CHEROKEE COUNTY,Female,4122
2012-2013,7,CHEROKEE COUNTY,Male,4449
2012-2013,16,CHILDRESS COUNTY,Female,538
2012-2013,16,CHILDRESS COUNTY,Male,598
2012-2013,9,CLAY COUNTY,Female,784
2012-2013,9,CLAY COUNTY,Male,858
2012-2013,17,COCHRAN COUNTY,Female,396
2012-2013,17,COCHRAN COUNTY,Male,382
2012-2013,15,COKE COUNTY,Female,264
2012-2013,15,COKE COUNTY,Male,240
2012-2013,15,COLEMAN COUNTY,Female,632
2012-2013,15,COLEMAN COUNTY,Male,675
2012-2013,10,COLLIN COUNTY,Female,87252
2012-2013,10,COLLIN COUNTY,Male,91918
2012-2013,16,COLLINGSWORTH COUNTY,Female,282
2012-2013,16,COLLINGSWORTH COUNTY,Male,307
2012-2013,3,COLORADO COUNTY,Female,1697
2012-2013,3,COLORADO COUNTY,Male,1812
2012-2013,13,COMAL COUNTY,Female,12898
