County,School Year,Percent_PBE
Irion,2015-2016,0.62
Irion,2016-2017,0.77
Irion,2017-2018,1.08
Jack,2010-2011,0.07
Jack,2011-2012,0.07
Jack,2012-2013,0.65
Jack,2013-2014,0.26
Jack,2014-2015,0.39
Jack,2015-2016,0.78
Jack,2016-2017,1.05
Jack,2017-2018,0.95
Jackson,2010-2011,0.57
Jackson,2011-2012,0.51
Jackson,2012-2013,0.61
Jackson,2013-2014,0.41
Jackson,2014-2015,0.51
Jackson,2015-2016,0.55
Jackson,2016-2017,0.76
Jackson,2017-2018,0.6
Jasper,2010-2011,0.27
Jasper,2011-2012,0.51
Jasper,2012-2013,0.5
Jasper,2013-2014,0.47
Jasper,2014-2015,0.52
Jasper,2015-2016,0.64
Jasper,2016-2017,1.02
Jasper,2017-2018,1.38
Jeff Davis,2010-2011,3.17
Jeff Davis,2011-2012,2.03
Jeff Davis,2012-2013,2.17
Jeff Davis,2013-2014,3.07
Jeff Davis,2014-2015,2.03
Jeff Davis,2015-2016,0.3
Jeff Davis,2016-2017,0.31
Jeff Davis,2017-2018,3.19
Jefferson,2010-2011,0.16
Jefferson,2011-2012,0.19
Jefferson,2012-2013,0.3
Jefferson,2013-2014,0.37
Jefferson,2014-2015,0.41
Jefferson,2015-2016,0.53
Jefferson,2016-2017,0.49
Jefferson,2017-2018,0.66
Jim Hogg,2010-2011,0
Jim Hogg,2011-2012,0
Jim Hogg,2012-2013,0.28
Jim Hogg,2013-2014,0.29
Jim Hogg,2014-2015,0.18
Jim Hogg,2015-2016,0.09
Jim Hogg,2016-2017,0
Jim Hogg,2017-2018,0.09
Jim Wells,2010-2011,0.07
Jim Wells,2011-2012,0.09
Jim Wells,2012-2013,0.07
Jim Wells,2013-2014,0.07
Jim Wells,2014-2015,0.12
Jim Wells,2015-2016,0.16
Jim Wells,2016-2017,0.21
Jim Wells,2017-2018,0.2
Johnson,2010-2011,0.52
Johnson,2011-2012,0.7
Johnson,2012-2013,0.74
Johnson,2013-2014,0.89
Johnson,2014-2015,0.95
Johnson,2015-2016,1.26
Johnson,2016-2017,1.55
Johnson,2017-2018,1.76
Jones,2010-2011,0.04
Jones,2011-2012,0.2
Jones,2012-2013,0.3
Jones,2013-2014,0.22
Jones,2014-2015,0.43
Jones,2015-2016,0.59
Jones,2016-2017,0.66
Jones,2017-2018,0.5
Karnes,2010-2011,0.46
Karnes,2011-2012,0.1
Karnes,2012-2013,0.48
Karnes,2013-2014,0.47
Karnes,2014-2015,0.58
Karnes,2015-2016,0.38
Karnes,2016-2017,0.46
Karnes,2017-2018,0.49
Kaufman,2010-2011,0.4
Kaufman,2011-2012,0.41
Kaufman,2012-2013,0.49
Kaufman,2013-2014,0.49
Kaufman,2014-2015,0.63
Kaufman,2015-2016,0.67
Kaufman,2016-2017,0.85
Kaufman,2017-2018,0.98
Kendall,2010-2011,1.24
Kendall,2011-2012,1.73
Kendall,2012-2013,2.1
Kendall,2013-2014,2.41
Kendall,2014-2015,2.97
Kendall,2015-2016,2.5
Kendall,2016-2017,2.95
Kendall,2017-2018,3.04
Kenedy,2010-2011,0
Kenedy,2011-2012,0
Kenedy,2012-2013,0
Kenedy,2013-2014,0
Kenedy,2014-2015,0
Kenedy,2015-2016,0
Kenedy,2016-2017,0
Kenedy,2017-2018,0
Kent,2010-2011,1.31
Kent,2011-2012,1.35
Kent,2012-2013,1.48
Kent,2013-2014,1.56
Kent,2014-2015,2.65
Kent,2015-2016,2.65
Kent,2016-2017,0
Kent,2017-2018,0
Kerr,2010-2011,0.93
Kerr,2011-2012,1
Kerr,2012-2013,1.36
Kerr,2013-2014,1.33
Kerr,2014-2015,1.44
Kerr,2015-2016,1.58
Kerr,2016-2017,1.7
Kerr,2017-2018,1.95
Kimble,2010-2011,0.46
Kimble,2011-2012,0.48
Kimble,2012-2013,0.63
Kimble,2013-2014,0.16
Kimble,2014-2015,0.48
Kimble,2015-2016,0
Kimble,2016-2017,0
Kimble,2017-2018,0.87
King,2010-2011,1.75
King,2011-2012,1.96
King,2012-2013,0
King,2013-2014,0
King,2014-2015,0.89
King,2015-2016,0.87
King,2016-2017,2.8
King,2017-2018,0
Kinney,2010-2011,0
Kinney,2011-2012,0
Kinney,2012-2013,0.68
Kinney,2013-2014,0
Kinney,2014-2015,0.62
Kinney,2015-2016,0
Kinney,2016-2017,0
Kinney,2017-2018,0
Kleberg,2010-2011,0.47
Kleberg,2011-2012,0.62
Kleberg,2012-2013,0.51
Kleberg,2013-2014,0.62
Kleberg,2014-2015,0.69
Kleberg,2015-2016,0.44
Kleberg,2016-2017,0.47
Kleberg,2017-2018,0.64
Knox,2010-2011,0.28
Knox,2011-2012,0.41
Knox,2012-2013,0.26
Knox,2013-2014,0.51
Knox,2014-2015,0.25
Knox,2015-2016,0.24
Knox,2016-2017,0.28
Knox,2017-2018,0.27
Lamar,2010-2011,0.21
Lamar,2011-2012,0.36
Lamar,2012-2013,0.27
Lamar,2013-2014,0.3
Lamar,2014-2015,0.43
Lamar,2015-2016,0.75
Lamar,2016-2017,0.9
Lamar,2017-2018,1.11
Lamb,2010-2011,0
Lamb,2011-2012,0.03
Lamb,2012-2013,0.07
Lamb,2013-2014,0
Lamb,2014-2015,0.05
Lamb,2015-2016,0.07
Lamb,2016-2017,0.19
Lamb,2017-2018,0.35
Lampasas,2010-2011,0.92
Lampasas,2011-2012,0.77
Lampasas,2012-2013,0.83
Lampasas,2013-2014,5.02
Lampasas,2014-2015,1.19
Lampasas,2015-2016,1.46
Lampasas,2016-2017,1.74
Lampasas,2017-2018,2.02
La Salle,2010-2011,0.33
La Salle,2011-2012,0
La Salle,2012-2013,0.34
La Salle,2013-2014,0.22
La Salle,2014-2015,
La Salle,2015-2016,0.31
La Salle,2016-2017,0.31
La Salle,2017-2018,0.15
Lavaca,2010-2011,0.12
Lavaca,2011-2012,0.24
Lavaca,2012-2013,0.15
Lavaca,2013-2014,0.27
Lavaca,2014-2015,0.38
Lavaca,2015-2016,0.47
Lavaca,2016-2017,0.52
Lavaca,2017-2018,0.55
Lee,2010-2011,0.31
Lee,2011-2012,0.54
Lee,2012-2013,0.45
Lee,2013-2014,0.57
Lee,2014-2015,0.61
Lee,2015-2016,0.76
Lee,2016-2017,0.65
Lee,2017-2018,0.81
Leon,2010-2011,0.29
Leon,2011-2012,0.36
Leon,2012-2013,0.33
Leon,2013-2014,0.37
Leon,2014-2015,0.26
Leon,2015-2016,0.26
Leon,2016-2017,0.78
Leon,2017-2018,0.9
Liberty,2010-2011,0.25
Liberty,2011-2012,0.34
Liberty,2012-2013,0.29
Liberty,2013-2014,0.39
Liberty,2014-2015,0.35
Liberty,2015-2016,0.52
Liberty,2016-2017,0.57
Liberty,2017-2018,0.73
Limestone,2010-2011,0.13
Limestone,2011-2012,0.13
Limestone,2012-2013,0.12
Limestone,2013-2014,0.23
Limestone,2014-2015,0.28
Limestone,2015-2016,0.32
Limestone,2016-2017,0.36
Limestone,2017-2018,0.47
Lipscomb,2010-2011,0.26
Lipscomb,2011-2012,0
Lipscomb,2012-2013,0
Lipscomb,2013-2014,0.65
Lipscomb,2014-2015,0.43
Lipscomb,2015-2016,0.15
Lipscomb,2016-2017,0.13
Lipscomb,2017-2018,0.49
Live Oak,2010-2011,0.29
Live Oak,2011-2012,0.36
Live Oak,2012-2013,0.52
Live Oak,2013-2014,0.4
Live Oak,2014-2015,0.49
Live Oak,2015-2016,0.34
Live Oak,2016-2017,0.41
Live Oak,2017-2018,0.63
Llano,2010-2011,1.04
Llano,2011-2012,0.86
Llano,2012-2013,1.21
Llano,2013-2014,1.19
Llano,2014-2015,1.39
Llano,2015-2016,1.38
Llano,2016-2017,1.35
Llano,2017-2018,1.28
Loving,2010-2011,0
Loving,2011-2012,0
Loving,2012-2013,0
Loving,2013-2014,0
Loving,2014-2015,0
Loving,2015-2016,0
Loving,2016-2017,0
Loving,2017-2018,0
Lubbock,2010-2011,0.45
Lubbock,2011-2012,0.59
Lubbock,2012-2013,0.64
Lubbock,2013-2014,0.85
Lubbock,2014-2015,1.01
Lubbock,2015-2016,1.11
Lubbock,2016-2017,1.31
Lubbock,2017-2018,1.31
Lynn,2010-2011,0.41
Lynn,2011-2012,0.65
Lynn,2012-2013,0.98
Lynn,2013-2014,0.87
Lynn,2014-2015,1.07
Lynn,2015-2016,0.88
Lynn,2016-2017,0.88
Lynn,2017-2018,1.49
Madison,2010-2011,0.16
Madison,2011-2012,0.33
Madison,2012-2013,0.39
Madison,2013-2014,0.46
Madison,2014-2015,0.48
Madison,2015-2016,0.4
Madison,2016-2017,0.4
Madison,2017-2018,0.71
Marion,2010-2011,0.24
Marion,2011-2012,0.17
Marion,2012-2013,0.17
Marion,2013-2014,0.18
Marion,2014-2015,0.17
Marion,2015-2016,0.42
Marion,2016-2017,1
Marion,2017-2018,1.14
Martin,2010-2011,0.51
Martin,2011-2012,1.01
Martin,2012-2013,0.47
Martin,2013-2014,0.74
Martin,2014-2015,3.23
Martin,2015-2016,0.75
Martin,2016-2017,0.74
Martin,2017-2018,1.14
Mason,2010-2011,0.48
Mason,2011-2012,0.8
Mason,2012-2013,0.92
Mason,2013-2014,1.36
Mason,2014-2015,1.9
Mason,2015-2016,1.89
Mason,2016-2017,1.35
Mason,2017-2018,2.17
Matagorda,2010-2011,1.49
Matagorda,2011-2012,0.27
Matagorda,2012-2013,0.46
Matagorda,2013-2014,0.59
Matagorda,2014-2015,0.51
Matagorda,2015-2016,0.67
Matagorda,2016-2017,0.69
Matagorda,2017-2018,0.91
Maverick,2010-2011,0.01
Maverick,2011-2012,0.02
Maverick,2012-2013,0.03
Maverick,2013-2014,0.06
Maverick,2014-2015,0.03
Maverick,2015-2016,0.03
Maverick,2016-2017,0.07
Maverick,2017-2018,0.05
Mcculloch,2010-2011,0.13
Mcculloch,2011-2012,0.28
Mcculloch,2012-2013,0.47
Mcculloch,2013-2014,0.32
Mcculloch,2014-2015,0.54
Mcculloch,2015-2016,0.47
Mcculloch,2016-2017,0.36
Mcculloch,2017-2018,0.65
Mclennan,2010-2011,0.22
Mclennan,2011-2012,0.27
Mclennan,2012-2013,0.26
Mclennan,2013-2014,0.31
Mclennan,2014-2015,0.33
Mclennan,2015-2016,0.35
Mclennan,2016-2017,0.48
Mclennan,2017-2018,0.56
Mcmullen,2010-2011,0.61
Mcmullen,2011-2012,0.97
Mcmullen,2012-2013,0.88
Mcmullen,2013-2014,0
Mcmullen,2014-2015,0.4
Mcmullen,2015-2016,0.81
Mcmullen,2016-2017,1.21
Mcmullen,2017-2018,0.41
Medina,2010-2011,0.19
Medina,2011-2012,0.22
Medina,2012-2013,0.3
Medina,2013-2014,0.34
Medina,2014-2015,0.42
Medina,2015-2016,0.34
Medina,2016-2017,0.3
Medina,2017-2018,0.44
Menard,2010-2011,1.32
Menard,2011-2012,0
Menard,2012-2013,0
Menard,2013-2014,0
Menard,2014-2015,0
Menard,2015-2016,0.71
Menard,2016-2017,0.36
Menard,2017-2018,0
Midland,2010-2011,0.32
Midland,2011-2012,0.2
Midland,2012-2013,0.39
Midland,2013-2014,0.67
Midland,2014-2015,0.51
Midland,2015-2016,0.79
Midland,2016-2017,0.94
Midland,2017-2018,0.84
Milam,2010-2011,0.35
Milam,2011-2012,0.27
Milam,2012-2013,0.55
Milam,2013-2014,0.46
Milam,2014-2015,0.89
Milam,2015-2016,0.73
Milam,2016-2017,0.66
Milam,2017-2018,0.64
Mills,2010-2011,0.7
Mills,2011-2012,0.98
Mills,2012-2013,1.09
Mills,2013-2014,0.86
Mills,2014-2015,1.08
Mills,2015-2016,1.65
Mills,2016-2017,1.61
Mills,2017-2018,1.97
Mitchell,2010-2011,0.07
Mitchell,2011-2012,0.3
Mitchell,2012-2013,0.42
Mitchell,2013-2014,0.67
Mitchell,2014-2015,0.62
Mitchell,2015-2016,0.21
Mitchell,2016-2017,0.22
Mitchell,2017-2018,0.08
Montague,2010-2011,0.53
Montague,2011-2012,0.64
Montague,2012-2013,3.94
Montague,2013-2014,0.49
Montague,2014-2015,0.73
Montague,2015-2016,0.78
Montague,2016-2017,1.46
Montague,2017-2018,2.3
Montgomery,2010-2011,0.88
Montgomery,2011-2012,1.06
Montgomery,2012-2013,1.17
Montgomery,2013-2014,0.72
Montgomery,2014-2015,1.74
Montgomery,2015-2016,1.73
Montgomery,2016-2017,1.76
Montgomery,2017-2018,1.94
Moore,2010-2011,0.14
Moore,2011-2012,0.12
Moore,2012-2013,0.16
Moore,2013-2014,0.18
Moore,2014-2015,0.17
Moore,2015-2016,0.19
Moore,2016-2017,0.12
Moore,2017-2018,0.15
Morris,2010-2011,0
Morris,2011-2012,0.08
Morris,2012-2013,0.05
Morris,2013-2014,0.07
Morris,2014-2015,0.1
Morris,2015-2016,0.11
Morris,2016-2017,0.16
Morris,2017-2018,0.28
Motley,2010-2011,0
Motley,2011-2012,0.55
Motley,2012-2013,0
Motley,2013-2014,0
Motley,2014-2015,
Motley,2015-2016,0
Motley,2016-2017,0.65
Motley,2017-2018,0.62
Nacogdoches,2010-2011,0.29
Nacogdoches,2011-2012,0.43
Nacogdoches,2012-2013,0.6
Nacogdoches,2013-2014,0.66
Nacogdoches,2014-2015,0.54
Nacogdoches,2015-2016,1.25
Nacogdoches,2016-2017,1.32
Nacogdoches,2017-2018,0.8
Navarro,2010-2011,0.21
Navarro,2011-2012,0.25
Navarro,2012-2013,0.24
Navarro,2013-2014,0.35
Navarro,2014-2015,0.35
Navarro,2015-2016,0.35
Navarro,2016-2017,0.28
Navarro,2017-2018,0.3
Newton,2010-2011,0.45
Newton,2011-2012,0.49
Newton,2012-2013,0.46
Newton,2013-2014,0.72
Newton,2014-2015,0.22
Newton,2015-2016,1.35
Newton,2016-2017,1.1
Newton,2017-2018,1.48
Nolan,2010-2011,0.13
Nolan,2011-2012,0.25
Nolan,2012-2013,0.46
Nolan,2013-2014,0.45
Nolan,2014-2015,0.32
Nolan,2015-2016,0.54
Nolan,2016-2017,0.45
Nolan,2017-2018,0.61
Nueces,2010-2011,0.21
Nueces,2011-2012,0.25
Nueces,2012-2013,0.35
Nueces,2013-2014,0.35
Nueces,2014-2015,0.47
Nueces,2015-2016,0.52
Nueces,2016-2017,0.59
Nueces,2017-2018,0.69
Ochiltree,2010-2011,0.27
Ochiltree,2011-2012,0.22
Ochiltree,2012-2013,0.35
Ochiltree,2013-2014,0.43
Ochiltree,2014-2015,0.21
Ochiltree,2015-2016,0.13
Ochiltree,2016-2017,0.26
Ochiltree,2017-2018,0.42
Oldham,2010-2011,0.34
Oldham,2011-2012,0.55
Oldham,2012-2013,1.45
Oldham,2013-2014,0.94
Oldham,2014-2015,1.45
Oldham,2015-2016,1.28
Oldham,2016-2017,1.13
Oldham,2017-2018,1.21
Orange,2010-2011,0.73
Orange,2011-2012,0.81
Orange,2012-2013,0.45
Orange,2013-2014,0.29
Orange,2014-2015,0.75
Orange,2015-2016,0.66
Orange,2016-2017,1.01
Orange,2017-2018,0.94
Palo Pinto,2010-2011,0.78
Palo Pinto,2011-2012,0.79
Palo Pinto,2012-2013,1.07
Palo Pinto,2013-2014,0.95
Palo Pinto,2014-2015,0.92
Palo Pinto,2015-2016,0.96
Palo Pinto,2016-2017,1.1
Palo Pinto,2017-2018,1.48
Panola,2010-2011,0.25
Panola,2011-2012,0.2
Panola,2012-2013,0.41
Panola,2013-2014,0.32
Panola,2014-2015,0.25
Panola,2015-2016,0.49
Panola,2016-2017,0.65
Panola,2017-2018,0.78
Parker,2010-2011,0.6
Parker,2011-2012,0.75
Parker,2012-2013,0.8
Parker,2013-2014,1.14
Parker,2014-2015,1.4
Parker,2015-2016,1.3
Parker,2016-2017,1.61
Parker,2017-2018,1.78
Parmer,2010-2011,0.22
Parmer,2011-2012,0.43
Parmer,2012-2013,0.59
Parmer,2013-2014,0.63
Parmer,2014-2015,0.53
Parmer,2015-2016,0.95
Parmer,2016-2017,0.93
Parmer,2017-2018,0.85
Pecos,2010-2011,0
Pecos,2011-2012,0.18
Pecos,2012-2013,0.15
Pecos,2013-2014,0.31
Pecos,2014-2015,0.2
Pecos,2015-2016,0.23
Pecos,2016-2017,0.35
Pecos,2017-2018,0.37
Polk,2010-2011,0.4
Polk,2011-2012,0.31
Polk,2012-2013,0.32
Polk,2013-2014,0.48
Polk,2014-2015,0.55
Polk,2015-2016,0.54
Polk,2016-2017,0.48
Polk,2017-2018,0.76
Potter,2010-2011,0.81
Potter,2011-2012,0.8
Potter,2012-2013,0.92
Potter,2013-2014,0.94
Potter,2014-2015,0.95
Potter,2015-2016,0.9
Potter,2016-2017,1.17
Potter,2017-2018,1.21
Presidio,2010-2011,0.22
Presidio,2011-2012,0.11
Presidio,2012-2013,0.06
Presidio,2013-2014,0.06
Presidio,2014-2015,0.12
Presidio,2015-2016,0.17
Presidio,2016-2017,0.12
Presidio,2017-2018,0.33
Rains,2010-2011,0.06
Rains,2011-2012,0.06
Rains,2012-2013,0.31
Rains,2013-2014,0.45
Rains,2014-2015,1.16
Rains,2015-2016,2.85
Rains,2016-2017,1.96
Rains,2017-2018,0
Randall,2010-2011,1.21
Randall,2011-2012,1.27
Randall,2012-2013,1.3
Randall,2013-2014,1.47
Randall,2014-2015,1.67
Randall,2015-2016,1.66
Randall,2016-2017,1.75
Randall,2017-2018,1.85
Reagan,2010-2011,0
Reagan,2011-2012,0
Reagan,2012-2013,0
Reagan,2013-2014,0.12
Reagan,2014-2015,0
Reagan,2015-2016,0
Reagan,2016-2017,0
Reagan,2017-2018,0
Real,2010-2011,1.01
Real,2011-2012,0.75
Real,2012-2013,0.92
Real,2013-2014,1.05
Real,2014-2015,1.07
Real,2015-2016,1.55
Real,2016-2017,1.26
Real,2017-2018,0.76
Red River,2010-2011,0.57
Red River,2011-2012,0.8
Red River,2012-2013,1.06
Red River,2013-2014,1.19
Red River,2014-2015,1.16
Red River,2015-2016,1.21
Red River,2016-2017,1.15
Red River,2017-2018,0.85
Reeves,2010-2011,0.35
Reeves,2011-2012,0.18
Reeves,2012-2013,0.34
Reeves,2013-2014,0.38
Reeves,2014-2015,0.36
Reeves,2015-2016,0.31
Reeves,2016-2017,0.39
Reeves,2017-2018,0.37
Refugio,2010-2011,0.5
Refugio,2011-2012,0.75
Refugio,2012-2013,0.76
Refugio,2013-2014,0.89
Refugio,2014-2015,0.91
Refugio,2015-2016,0.81
Refugio,2016-2017,0.97
Refugio,2017-2018,1.38
Roberts,2010-2011,0.52
Roberts,2011-2012,0
Roberts,2012-2013,1.46
Roberts,2013-2014,0
Roberts,2014-2015,0
Roberts,2015-2016,0
Roberts,2016-2017,0
Roberts,2017-2018,0
Robertson,2010-2011,0.26
Robertson,2011-2012,0.3
Robertson,2012-2013,0.34
Robertson,2013-2014,4.14
Robertson,2014-2015,0.11
Robertson,2015-2016,0.26
Robertson,2016-2017,0.35
Robertson,2017-2018,0.29
Rockwall,2010-2011,0.94
Rockwall,2011-2012,1.16
Rockwall,2012-2013,1.33
Rockwall,2013-2014,1.44
Rockwall,2014-2015,1.41
Rockwall,2015-2016,1.49
Rockwall,2016-2017,1.77
Rockwall,2017-2018,2
Runnels,2010-2011,0.2
Runnels,2011-2012,0.41
Runnels,2012-2013,0.98
Runnels,2013-2014,0.91
Runnels,2014-2015,0.88
Runnels,2015-2016,1.06
Runnels,2016-2017,1.03
Runnels,2017-2018,0.79
Rusk,2010-2011,0.1
Rusk,2011-2012,0.25
Rusk,2012-2013,0.14
Rusk,2013-2014,0.16
Rusk,2014-2015,0.22
Rusk,2015-2016,0.27
Rusk,2016-2017,0.41
Rusk,2017-2018,0.5
Sabine,2010-2011,0.21
Sabine,2011-2012,0.05
Sabine,2012-2013,0.32
Sabine,2013-2014,0.31
Sabine,2014-2015,0.32
Sabine,2015-2016,0.67
Sabine,2016-2017,0.83
Sabine,2017-2018,1.33
San Augustine,2010-2011,0.46
San Augustine,2011-2012,0.38
San Augustine,2012-2013,0.43
San Augustine,2013-2014,0.71
San Augustine,2014-2015,0.45
San Augustine,2015-2016,0.49
San Augustine,2016-2017,0.58
San Augustine,2017-2018,0.37
San Jacinto,2010-2011,0.14
San Jacinto,2011-2012,0.68
San Jacinto,2012-2013,0.53
San Jacinto,2013-2014,0.33
San Jacinto,2014-2015,0.5
San Jacinto,2015-2016,0.58
San Jacinto,2016-2017,0.62
San Jacinto,2017-2018,0.57
San Patricio,2010-2011,0.26
San Patricio,2011-2012,0.33
San Patricio,2012-2013,0.57
San Patricio,2013-2014,0.62
San Patricio,2014-2015,0.41
San Patricio,2015-2016,0.45
San Patricio,2016-2017,0.49
San Patricio,2017-2018,0.5
San Saba,2010-2011,0.45
San Saba,2011-2012,0.67
San Saba,2012-2013,1.21
San Saba,2013-2014,0.89
San Saba,2014-2015,0.68
San Saba,2015-2016,0.67
San Saba,2016-2017,1.11
San Saba,2017-2018,1.85
Schleicher,2010-2011,0.18
Schleicher,2011-2012,0.36
Schleicher,2012-2013,0.18
Schleicher,2013-2014,0.18
Schleicher,2014-2015,0.35
Schleicher,2015-2016,0.18
Schleicher,2016-2017,0.56
Schleicher,2017-2018,0
Scurry,2010-2011,0.18
Scurry,2011-2012,0.25
Scurry,2012-2013,0
Scurry,2013-2014,0.13
Scurry,2014-2015,0.21
Scurry,2015-2016,0.25
Scurry,2016-2017,0.26
Scurry,2017-2018,0.35
Shackelford,2010-2011,0.64
Shackelford,2011-2012,1.82
Shackelford,2012-2013,1.86
Shackelford,2013-2014,0.6
Shackelford,2014-2015,1.42
Shackelford,2015-2016,1.61
Shackelford,2016-2017,2.35
Shackelford,2017-2018,2.37
Shelby,2010-2011,0.11
Shelby,2011-2012,0.2
Shelby,2012-2013,0.08
Shelby,2013-2014,0.11
Shelby,2014-2015,0.15
Shelby,2015-2016,0.17
Shelby,2016-2017,0.19
Shelby,2017-2018,0.41
Sherman,2010-2011,0.85
Sherman,2011-2012,0.86
Sherman,2012-2013,0.85
Sherman,2013-2014,1.07
Sherman,2014-2015,0.29
Sherman,2015-2016,0.43
Sherman,2016-2017,0.28
Sherman,2017-2018,0.41
Smith,2010-2011,0.47
Smith,2011-2012,0.61
Smith,2012-2013,0.64
Smith,2013-2014,0.76
Smith,2014-2015,0.89
Smith,2015-2016,0.92
Smith,2016-2017,1.14
Smith,2017-2018,1.42
Somervell,2010-2011,0.39
Somervell,2011-2012,0.66
Somervell,2012-2013,0.82
Somervell,2013-2014,0.97
Somervell,2014-2015,1.42
Somervell,2015-2016,1.66
Somervell,2016-2017,1.99
Somervell,2017-2018,2.61
Starr,2010-2011,0.01
Starr,2011-2012,0.01
Starr,2012-2013,0
Starr,2013-2014,0
Starr,2014-2015,0
Starr,2015-2016,0.01
Starr,2016-2017,0.02
Starr,2017-2018,0.02
Stephens,2010-2011,0.06
Stephens,2011-2012,0.07
Stephens,2012-2013,0.27
Stephens,2013-2014,0.35
Stephens,2014-2015,0.29
Stephens,2015-2016,0.35
Stephens,2016-2017,0.43
Stephens,2017-2018,1.19
Sterling,2010-2011,0
Sterling,2011-2012,0
Sterling,2012-2013,0
Sterling,2013-2014,0.33
Sterling,2014-2015,0.31
Sterling,2015-2016,0
Sterling,2016-2017,0
Sterling,2017-2018,1.69
Stonewall,2010-2011,0
Stonewall,2011-2012,
Stonewall,2012-2013,0.43
Stonewall,2013-2014,0
Stonewall,2014-2015,1.87
Stonewall,2015-2016,0
Stonewall,2016-2017,0
Stonewall,2017-2018,0.44
Sutton,2010-2011,0
Sutton,2011-2012,0
Sutton,2012-2013,0
Sutton,2013-2014,0
Sutton,2014-2015,0
Sutton,2015-2016,0
Sutton,2016-2017,0.13
Sutton,2017-2018,0.52
Swisher,2010-2011,0.32
Swisher,2011-2012,0.46
Swisher,2012-2013,0.4
Swisher,2013-2014,0.58
Swisher,2014-2015,0.52
Swisher,2015-2016,0.07
Swisher,2016-2017,0.32
Swisher,2017-2018,0.79
Tarrant,2010-2011,0.58
Tarrant,2011-2012,0.79
Tarrant,2012-2013,0.8
Tarrant,2013-2014,0.78
Tarrant,2014-2015,1.11
Tarrant,2015-2016,1.1
Tarrant,2016-2017,1.27
Tarrant,2017-2018,1.45
Taylor,2010-2011,0.18
Taylor,2011-2012,0.42
Taylor,2012-2013,0.33
Taylor,2013-2014,0.65
Taylor,2014-2015,0.76
Taylor,2015-2016,0.65
Taylor,2016-2017,0.8
Taylor,2017-2018,0.93
Terrell,2010-2011,0
Terrell,2011-2012,0
Terrell,2012-2013,0
Terrell,2013-2014,1.67
Terrell,2014-2015,1.54
Terrell,2015-2016,1.33
Terrell,2016-2017,0
Terrell,2017-2018,0
Terry,2010-2011,0.09
Terry,2011-2012,0.15
Terry,2012-2013,0.04
Terry,2013-2014,0.05
Terry,2014-2015,0.04
Terry,2015-2016,0
Terry,2016-2017,0.4
Terry,2017-2018,0.53
Throckmorton,2010-2011,0.32
Throckmorton,2011-2012,0
Throckmorton,2012-2013,0.67
Throckmorton,2013-2014,1.4
Throckmorton,2014-2015,0
Throckmorton,2015-2016,0.66
Throckmorton,2016-2017,0.33
Throckmorton,2017-2018,1.69
Titus,2010-2011,0.26
Titus,2011-2012,0.28
Titus,2012-2013,0.25
Titus,2013-2014,0.28
Titus,2014-2015,0.37
Titus,2015-2016,0.5
Titus,2016-2017,0.33
Titus,2017-2018,0.36
Tom Green,2010-2011,0.17
Tom Green,2011-2012,0.27
Tom Green,2012-2013,0.23
Tom Green,2013-2014,0.39
Tom Green,2014-2015,0.51
Tom Green,2015-2016,0.68
Tom Green,2016-2017,0.72
Tom Green,2017-2018,0.84
Travis,2010-2011,1.13
Travis,2011-2012,1.53
Travis,2012-2013,1.74
Travis,2013-2014,1.75
Travis,2014-2015,2.08
Travis,2015-2016,2.3
Travis,2016-2017,2.45
Travis,2017-2018,2.72
Trinity,2010-2011,0.27
Trinity,2011-2012,0.57
Trinity,2012-2013,0.41
Trinity,2013-2014,0.61
Trinity,2014-2015,0.47
Trinity,2015-2016,0.45
Trinity,2016-2017,0.41
Trinity,2017-2018,0.9
Tyler,2010-2011,0.53
Tyler,2011-2012,0.32
Tyler,2012-2013,0.76
Tyler,2013-2014,0.79
Tyler,2014-2015,0.72
Tyler,2015-2016,0.65
Tyler,2016-2017,1.01
Tyler,2017-2018,1.07
Upshur,2010-2011,2.13
Upshur,2011-2012,2.2
Upshur,2012-2013,1.92
Upshur,2013-2014,0.91
Upshur,2014-2015,1.01
Upshur,2015-2016,0.91
Upshur,2016-2017,1.08
Upshur,2017-2018,1.57
Upton,2010-2011,0
Upton,2011-2012,0
Upton,2012-2013,0
Upton,2013-2014,0.62
Upton,2014-2015,0.49
Upton,2015-2016,0.37
Upton,2016-2017,0.53
Upton,2017-2018,0.49
Uvalde,2010-2011,0.13
Uvalde,2011-2012,0.2
Uvalde,2012-2013,0.21
Uvalde,2013-2014,0.23
Uvalde,2014-2015,0.34
Uvalde,2015-2016,0.48
Uvalde,2016-2017,0.69
Uvalde,2017-2018,0.68
Val Verde,2010-2011,0.08
Val Verde,2011-2012,0.11
Val Verde,2012-2013,0.08
Val Verde,2013-2014,0.14
Val Verde,2014-2015,0.16
Val Verde,2015-2016,0.18
Val Verde,2016-2017,0.23
Val Verde,2017-2018,0.19
Van Zandt,2010-2011,0.75
Van Zandt,2011-2012,0.86
Van Zandt,2012-2013,0.99
Van Zandt,2013-2014,1.09
Van Zandt,2014-2015,1.59
Van Zandt,2015-2016,1.22
Van Zandt,2016-2017,1.59
Van Zandt,2017-2018,1.65
Victoria,2010-2011,0.15
Victoria,2011-2012,0.21
Victoria,2012-2013,0.08
Victoria,2013-2014,0.07
Victoria,2014-2015,0.21
Victoria,2015-2016,0.27
Victoria,2016-2017,0.18
Victoria,2017-2018,0.15
Walker,2010-2011,0.2
Walker,2011-2012,0.16
