County,School Year,Percent_PBE
Brooks,2012-2013,0
Brooks,2013-2014,0
Brooks,2014-2015,0
Brooks,2015-2016,0
Brooks,2016-2017,0.06
Brooks,2017-2018,0.19
Brown,2010-2011,1.21
Brown,2011-2012,1.07
Brown,2012-2013,1.43
Brown,2013-2014,0.6
Brown,2014-2015,0.7
Brown,2015-2016,0.62
Brown,2016-2017,0.99
Brown,2017-2018,1.15
Burleson,2010-2011,0.18
Burleson,2011-2012,0.22
Burleson,2012-2013,0.19
Burleson,2013-2014,0.11
Burleson,2014-2015,0.19
Burleson,2015-2016,0.19
Burleson,2016-2017,0.19
Burleson,2017-2018,0.4
Burnet,2010-2011,4.11
Burnet,2011-2012,1.25
Burnet,2012-2013,1.55
Burnet,2013-2014,1.75
Burnet,2014-2015,2.37
Burnet,2015-2016,2.21
Burnet,2016-2017,2.44
Burnet,2017-2018,2.64
Caldwell,2010-2011,0.35
Caldwell,2011-2012,0.35
Caldwell,2012-2013,0.49
Caldwell,2013-2014,0.66
Caldwell,2014-2015,0.76
Caldwell,2015-2016,1.07
Caldwell,2016-2017,1.26
Caldwell,2017-2018,1.35
Calhoun,2010-2011,0.47
Calhoun,2011-2012,0.46
Calhoun,2012-2013,0.56
Calhoun,2013-2014,0.51
Calhoun,2014-2015,0.47
Calhoun,2015-2016,0.39
Calhoun,2016-2017,0.47
Calhoun,2017-2018,0.59
Callahan,2010-2011,1.04
Callahan,2011-2012,1.38
Callahan,2012-2013,1.24
Callahan,2013-2014,1.12
Callahan,2014-2015,1.75
Callahan,2015-2016,1.39
Callahan,2016-2017,1.81
Callahan,2017-2018,1.46
Cameron,2010-2011,0.05
Cameron,2011-2012,0.08
Cameron,2012-2013,0.1
Cameron,2013-2014,0.54
Cameron,2014-2015,0.1
Cameron,2015-2016,0.12
Cameron,2016-2017,0.13
Cameron,2017-2018,0.13
Camp,2010-2011,0.04
Camp,2011-2012,0.04
Camp,2012-2013,0.13
Camp,2013-2014,0.08
Camp,2014-2015,0.04
Camp,2015-2016,0
Camp,2016-2017,0.04
Camp,2017-2018,0.04
Carson,2010-2011,0.45
Carson,2011-2012,0.48
Carson,2012-2013,0.77
Carson,2013-2014,0.95
Carson,2014-2015,1.2
Carson,2015-2016,1.26
Carson,2016-2017,1.44
Carson,2017-2018,1.94
Cass,2010-2011,0.33
Cass,2011-2012,0.32
Cass,2012-2013,0.23
Cass,2013-2014,0.32
Cass,2014-2015,0.23
Cass,2015-2016,0.57
Cass,2016-2017,0.56
Cass,2017-2018,0.74
Castro,2010-2011,0
Castro,2011-2012,0
Castro,2012-2013,0
Castro,2013-2014,0.22
Castro,2014-2015,0.07
Castro,2015-2016,0
Castro,2016-2017,0.38
Castro,2017-2018,0.44
Chambers,2010-2011,0.25
Chambers,2011-2012,0.19
Chambers,2012-2013,0.48
Chambers,2013-2014,0.44
Chambers,2014-2015,0.57
Chambers,2015-2016,0.8
Chambers,2016-2017,1.07
Chambers,2017-2018,1.16
Cherokee,2010-2011,0.31
Cherokee,2011-2012,0.18
Cherokee,2012-2013,0.26
Cherokee,2013-2014,0.24
Cherokee,2014-2015,0.3
Cherokee,2015-2016,0.36
Cherokee,2016-2017,0.39
Cherokee,2017-2018,0.49
Childress,2010-2011,0.09
Childress,2011-2012,0.18
Childress,2012-2013,0.09
Childress,2013-2014,0
Childress,2014-2015,0.09
Childress,2015-2016,0.09
Childress,2016-2017,0.18
Childress,2017-2018,0.19
Clay,2010-2011,0.34
Clay,2011-2012,0.24
Clay,2012-2013,0.38
Clay,2013-2014,0.37
Clay,2014-2015,0.42
Clay,2015-2016,0.52
Clay,2016-2017,0.33
Clay,2017-2018,0.73
Cochran,2010-2011,0.28
Cochran,2011-2012,0.44
Cochran,2012-2013,0.9
Cochran,2013-2014,0.38
Cochran,2014-2015,0.39
Cochran,2015-2016,0.29
Cochran,2016-2017,0.29
Cochran,2017-2018,0.3
Coke,2010-2011,0
Coke,2011-2012,0
Coke,2012-2013,0.41
Coke,2013-2014,1.24
Coke,2014-2015,1.37
Coke,2015-2016,0.79
Coke,2016-2017,1.93
Coke,2017-2018,2.72
Coleman,2010-2011,0.22
Coleman,2011-2012,0.23
Coleman,2012-2013,0
Coleman,2013-2014,0
Coleman,2014-2015,0.16
Coleman,2015-2016,0.28
Coleman,2016-2017,1.16
Coleman,2017-2018,0.66
Collin,2010-2011,1.06
Collin,2011-2012,1.17
Collin,2012-2013,1.39
Collin,2013-2014,1.61
Collin,2014-2015,1.74
Collin,2015-2016,1.92
Collin,2016-2017,2.08
Collin,2017-2018,2.21
Collingsworth,2010-2011,1.77
Collingsworth,2011-2012,2.05
Collingsworth,2012-2013,2.02
Collingsworth,2013-2014,2.31
Collingsworth,2014-2015,2.89
Collingsworth,2015-2016,1.16
Collingsworth,2016-2017,1.32
Collingsworth,2017-2018,1.99
Colorado,2010-2011,0.3
Colorado,2011-2012,0.43
Colorado,2012-2013,0.3
Colorado,2013-2014,0.3
Colorado,2014-2015,0.34
Colorado,2015-2016,0.39
Colorado,2016-2017,0.06
Colorado,2017-2018,0.35
Comal,2010-2011,0.87
Comal,2011-2012,0.98
Comal,2012-2013,1.09
Comal,2013-2014,1.56
Comal,2014-2015,1.4
Comal,2015-2016,1.6
Comal,2016-2017,1.77
Comal,2017-2018,2.07
Comanche,2010-2011,0.38
Comanche,2011-2012,0.4
Comanche,2012-2013,0.57
Comanche,2013-2014,1.28
Comanche,2014-2015,1.03
Comanche,2015-2016,0.73
Comanche,2016-2017,1.01
Comanche,2017-2018,0.93
Concho,2010-2011,0.51
Concho,2011-2012,0
Concho,2012-2013,0
Concho,2013-2014,0
Concho,2014-2015,0.51
Concho,2015-2016,0
Concho,2016-2017,1.4
Concho,2017-2018,0.66
Cooke,2010-2011,0.52
Cooke,2011-2012,0.89
Cooke,2012-2013,0.78
Cooke,2013-2014,0.68
Cooke,2014-2015,0.82
Cooke,2015-2016,0.87
Cooke,2016-2017,1.04
Cooke,2017-2018,1.02
Coryell,2010-2011,0.36
Coryell,2011-2012,0.36
Coryell,2012-2013,0.41
Coryell,2013-2014,1.21
Coryell,2014-2015,0.96
Coryell,2015-2016,0.74
Coryell,2016-2017,0.47
Coryell,2017-2018,1.01
Cottle,2010-2011,0
Cottle,2011-2012,0
